year,devais_VERB avoir_VERB
1800,9.432493186523061e-08
1801,6.667310969987739e-08
1802,9.622712582313397e-08
1803,3.1205427575287104e-08
1804,1.2359254242255702e-07
1805,2.842877755426798e-08
1806,6.627838899930794e-08
1807,1.9928686256776018e-08
1808,2.039466551195801e-08
1809,2.9367397402779716e-08
1810,6.786367379163494e-08
1811,4.262030373070047e-08
1812,1.440292436427626e-07
1813,7.764502640839055e-08
1814,6.293354459785405e-08
1815,9.979726911524267e-08
1816,7.879853569647821e-08
1817,1.0431051578052575e-07
1818,7.033494853203592e-08
1819,5.175525075173937e-08
1820,9.493184904840746e-08
1821,1.370746929296729e-07
1822,1.9048670196752937e-07
1823,1.4428722749926237e-07
1824,1.440010208852982e-07
1825,1.259178361578961e-07
1826,1.109806007093539e-07
1827,1.2719836206542823e-07
1828,1.2841221064263664e-07
1829,9.859152783064928e-08
1830,2.0978039572128182e-07
1831,1.7773975002910447e-07
1832,2.1377351799856115e-07
1833,1.5753734317058843e-07
1834,1.2694961526449333e-07
1835,1.5806853070898796e-07
1836,1.0618784784810487e-07
1837,1.5307360001770576e-07
1838,8.710783561127755e-08
1839,1.0207553913232914e-07
1840,1.2930468074046075e-07
1841,1.3097918838411715e-07
1842,1.2946951244430238e-07
1843,1.0750578383067477e-07
1844,9.659867572509029e-08
1845,1.1160455670733427e-07
1846,1.0069742018004035e-07
1847,9.492073616002017e-08
1848,1.1504666730388635e-07
1849,6.452149392544015e-08
1850,7.5357853290825e-08
1851,7.67483214758613e-08
1852,6.705861466116403e-08
1853,1.0510599679491861e-07
1854,9.975676107387699e-08
1855,1.5230909866659204e-07
1856,1.0561466012859455e-07
1857,1.4644527368545823e-07
1858,9.102237186198181e-08
1859,9.82789458703337e-08
1860,1.3365377071750117e-07
1861,1.2685941896961594e-07
1862,1.1972663571668818e-07
1863,1.203703590135774e-07
1864,9.589455629566146e-08
1865,1.364984854035356e-07
1866,1.1920751319394185e-07
1867,6.114542827617697e-08
1868,1.017614081888496e-07
1869,1.1085588624837328e-07
1870,9.575861525945584e-08
1871,1.401995461947081e-07
1872,1.4755508459529665e-07
1873,1.2391029713398893e-07
1874,1.2307694419178006e-07
1875,1.458989373759323e-07
1876,7.980739269441983e-08
1877,1.107082070461729e-07
1878,9.300196524009152e-08
1879,1.0874598643795252e-07
1880,1.3990904790261993e-07
1881,9.482610607847164e-08
1882,1.1846585579178281e-07
1883,1.1564389978957479e-07
1884,8.846274113238906e-08
1885,1.1537687782947614e-07
1886,8.002295004416737e-08
1887,1.1164461000134906e-07
1888,1.3061666948033235e-07
1889,1.202906219077704e-07
1890,1.264996569716459e-07
1891,9.178877036220001e-08
1892,9.716194426800939e-08
1893,1.2255249259851553e-07
1894,1.2035940244459198e-07
1895,8.967735709575209e-08
1896,1.3740077520196792e-07
