year,voulions_VERB avoir_VERB,voulions_VERB ravoir_VERB
1800,3.772997558826319e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,9.751696339321825e-09,0.0
1804,5.438072037122765e-08,0.0
1805,0.0,0.0
1806,9.797675204481493e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,5.148278958699848e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,8.631115377966125e-08,0.0
1816,0.0,0.0
1817,1.71256075987003e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,2.4842520929269085e-08,0.0
1820,3.678609061807947e-08,0.0
1821,1.972297702934611e-08,0.0
1822,2.606660132187244e-08,0.0
1823,3.162459805139406e-08,2.668325471688604e-08
1824,7.57900142644985e-09,0.0
1825,2.289415235168235e-08,0.0
1826,5.549030035467695e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,2.384798314380987e-08,0.0
1829,3.086343269842473e-08,0.0
1830,3.5485243188304594e-08,5.218417697960831e-09
1831,7.795603274018958e-09,0.0
1832,3.6530916958099624e-08,1.3529969367098715e-09
1833,3.1275796175123105e-08,0.0
1834,2.14694217959277e-08,0.0
1835,2.571449897459388e-08,0.0
1836,3.091545153210973e-08,0.0
1837,3.2006298056330706e-08,6.957891152126194e-09
1838,2.1461350030449466e-08,0.0
1839,6.9914749545318955e-09,0.0
1840,5.032054062326097e-08,0.0
1841,2.3756030032018316e-08,0.0
1842,4.695785538189057e-09,0.0
1843,2.5990408047960045e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,2.6785095030845696e-08,0.0
1846,1.2879903366069811e-08,0.0
1847,8.089835468183537e-09,0.0
1848,2.413566591030758e-08,0.0
1849,1.6758828991214614e-08,0.0
1850,6.788996032014438e-09,1.3577992064028876e-09
1851,1.2253933867611977e-08,6.449438760824933e-10
1852,1.7578472011337e-08,0.0
1853,1.3735443005202796e-08,0.0
1854,2.0782657372819813e-08,1.0391328908454511e-09
1855,2.653468555990912e-08,0.0
1856,1.1389816201301528e-08,0.0
1857,6.8341128311999455e-09,9.763018171682347e-10
1858,1.8106600663259087e-08,0.0
1859,1.0693564256314403e-08,0.0
1860,1.830873586072812e-08,0.0
1861,1.839225838295988e-08,0.0
1862,1.445755604123633e-08,0.0
1863,2.447364266799923e-08,0.0
1864,1.0548401263577034e-08,4.315255264231155e-09
1865,2.023943146411966e-08,0.0
1866,2.3354942868536455e-08,4.865612912574591e-10
1867,1.552899675516528e-08,0.0
1868,2.667531973088444e-08,0.0
1869,2.2952539424636598e-08,0.0
1870,1.490852596930381e-08,0.0
1871,1.3807530230280918e-08,0.0
1872,1.3304146229131675e-08,0.0
1873,2.5141218884527916e-08,0.0
1874,1.0156835372754358e-08,0.0
1875,2.1169650921137873e-08,5.721527140956084e-10
1876,2.1765654167893445e-08,0.0
1877,3.3398006138440905e-08,0.0
1878,2.1740719446938783e-08,0.0
1879,1.4051448005147904e-08,0.0
1880,1.6686399817444908e-08,0.0
1881,3.974329487732575e-08,0.0
1882,2.3959387362992857e-08,0.0
1883,1.4534479397809719e-08,0.0
1884,2.3105940272216685e-08,0.0
1885,1.353583467533781e-08,0.0
1886,2.452316216761119e-08,0.0
1887,1.566941953967671e-08,0.0
1888,4.12139939953704e-08,0.0
1889,2.0048437576747347e-08,0.0
1890,2.4906668727453507e-08,0.0
1891,1.4023283867459213e-08,0.0
1892,2.0686091062316336e-08,0.0
1893,2.155445777418663e-08,0.0
1894,1.0082462864602348e-08,0.0
1895,1.444467478961542e-08,2.4074457982692365e-09
1896,1.47425724961181e-08,0.0
1897,2.330685333618021e-08,0.0
1898,3.225262190653666e-08,0.0
1899,1.326618814800895e-08,5.527578395003729e-10
1900,1.453494924419374e-08,0.0
1901,2.794369535763508e-08,0.0
1902,5.892340837476695e-09,0.0
1903,1.9980815224585058e-08,0.0
1904,7.524475265086039e-09,0.0
1905,2.0643035725242953e-08,0.0
1906,5.658602919567102e-09,0.0
1907,1.2342823652033985e-08,0.0
1908,1.3260750719723546e-08,0.0
1909,1.870334465081669e-08,0.0
1910,1.1222716089775986e-08,1.068830135508847e-09
1911,1.5961122201701983e-08,0.0
1912,1.1981668990301841e-08,0.0
1913,2.0681659052002033e-08,0.0
1914,7.366418142140674e-09,0.0
