year,pourrais_VERB envoyer_VERB,pourrais_VERB renvoyer_VERB
1800,0.0,2.829747991484055e-08
1801,0.0,2.3811825400343878e-08
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,0.0
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,1.4040760554223652e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,3.1466771410748606e-09
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,9.270415546325239e-09,1.1588019432906549e-08
1817,7.784366928831332e-09,3.113746815941454e-09
1818,1.7881765401739358e-08,2.026600220972341e-08
1819,0.0,9.315945348475907e-09
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,9.861488514673056e-09,1.0847637454958203e-08
1822,1.2030739071633434e-08,3.0076847679083585e-09
1823,2.9648060007048116e-08,1.9765373782121287e-09
1824,1.3473780313688621e-08,8.421112696055388e-10
1825,1.2327619813845558e-08,7.044354433105582e-09
1826,1.4092774947016551e-08,6.1655889282974385e-09
1827,2.7651818612639545e-09,5.530363722527909e-09
1828,6.420610709767516e-09,0.0
1829,4.2865881511033876e-08,8.573175946935407e-09
1830,3.1310507520032616e-09,0.0
1831,1.5591206548037917e-08,1.091384405071949e-08
1832,8.117981842303834e-09,0.0
1833,0.0,3.4750886612755494e-09
1834,9.334530925997342e-10,1.120143711119681e-08
1835,2.4958190181223472e-08,2.2689263801112247e-09
1836,1.1425274948351216e-08,1.2769425516978572e-08
1837,9.045257876039159e-09,2.7831563720326358e-09
1838,5.680945491803868e-09,1.009945904684173e-08
1839,2.1673573158409454e-08,9.788065469251706e-09
1840,7.0066574764382494e-09,1.9746034141121527e-08
1841,9.630822361827995e-09,6.420548537278137e-09
1842,1.7441490030023488e-08,5.366612043644636e-09
1843,5.31621990873532e-09,7.088293507706567e-09
1844,7.1351298203126134e-09,1.2074834465636286e-08
1845,1.1160455670733427e-08,3.9061593959388574e-09
1846,2.3418005312692003e-08,8.781752214304106e-09
1847,5.3932236454556914e-09,1.5640349459999925e-08
1848,0.0,8.045221711050488e-10
1849,5.865590679832167e-09,6.703531951757213e-09
1850,6.788996032014438e-09,1.1541293254424545e-08
1851,2.579775504329973e-09,1.5478653025979838e-08
1852,8.463708844885787e-09,1.0416872697760482e-08
1853,1.6124216628554677e-08,1.7915795513800958e-09
1854,8.832629738719788e-09,4.1565315633818045e-09
1855,1.2205955357558196e-08,8.491099379170919e-09
1856,1.0354378465748937e-09,1.5531567143511893e-09
1857,4.881509085841174e-10,1.1715622250108026e-08
1858,8.31924928945682e-09,6.8511463169329545e-09
1859,1.171199848215565e-08,1.0693564256314403e-08
1860,1.0069804545764782e-08,4.57718396518203e-09
1861,4.715963619617014e-09,1.226150558863992e-08
1862,4.066187830886747e-09,7.228778020618165e-09
1863,2.4973103585068657e-09,6.493007020935693e-09
1864,1.4384183844029508e-09,6.233146443435089e-09
1865,7.0602665935837194e-09,5.6482134525026595e-09
1866,1.4596838404656864e-08,1.9462451650298362e-09
1867,1.747012134956094e-08,1.94112459439566e-09
1868,6.915823469455518e-09,4.44588676984381e-09
1869,9.278686263769487e-09,1.2208797528501236e-08
1870,4.013834153937523e-09,1.834895613228582e-08
1871,2.973929724703339e-08,1.274541272522356e-08
1872,1.0280476914203973e-08,4.23313739617015e-09
1873,8.979006871356887e-09,4.190203295451056e-09
1874,1.4339061493728877e-08,1.3741600746186577e-08
1875,1.0298748520654044e-08,6.865832347102696e-09
1876,6.04601479992084e-09,1.874264654588842e-08
1877,8.040260901509555e-09,6.80329748092845e-09
1878,6.6429977074733415e-09,1.8117265465633636e-09
1879,8.55305515301552e-09,6.109325489944695e-09
1880,1.0268554007097919e-08,4.492492600149944e-09
1881,1.045876096839038e-08,1.3945015142624584e-09
1882,9.983077475794744e-09,3.9932310791357395e-09
1883,3.159669414998234e-09,2.5277355764075082e-09
1884,7.2618666635548834e-09,9.902545450302114e-09
1885,2.5782542767416317e-09,6.445635580831777e-09
1886,4.5174246565693466e-09,0.0
1887,0.0,3.264462256069578e-09
1888,8.242799331981132e-09,0.0
1889,7.51816386923565e-09,9.397704836544563e-09
1890,9.176140736144589e-09,9.176140736144589e-09
1891,6.374220040683554e-10,1.9122659011827636e-09
1892,5.014809900671935e-09,0.0
1893,7.390100087434348e-09,5.542574843531156e-09
1894,9.452309157609307e-09,6.301539290376468e-09
1895,5.416753268150387e-09,5.416753268150387e-09
1896,5.307326134129653e-09,3.5382172747233653e-09
1897,8.157399200570126e-09,7.574727511894253e-09
1898,1.5277558773618694e-08,1.0185038590293516e-08
1899,1.6582735185011188e-09,1.0502398950507086e-08
1900,3.633737311048435e-09,1.5054054003371675e-08
1901,5.029864968975062e-09,1.1177477832191585e-09
1902,3.928227076954727e-09,2.455141867585553e-09
1903,8.100330184390714e-09,1.0260418292773466e-08
1904,2.6873125946735854e-09,2.1498500757388683e-09
1905,4.1286072338664326e-09,4.1286072338664326e-09
1906,5.144184633820714e-09,1.5432553013283723e-09
1907,9.771402353919711e-09,5.142843373384665e-10
1908,1.5716445034286153e-08,4.4202499438483756e-09
1909,2.2003934230241384e-09,1.1001967115120692e-09
1910,9.085056262847502e-09,2.67207544979442e-09
1911,1.5961122423746588e-09,2.128149656499545e-09
1912,5.2094213387476884e-09,4.167536982180309e-09
1913,4.242391771214216e-09,0.0
1914,3.3483718020477227e-09,2.678697486047099e-09
1915,0.0,4.712304768617059e-09
1916,0.0,4.394984820521586e-09
1917,2.1932848870420685e-09,2.1932848870420685e-09
1918,0.0,6.89182577673364e-09
1919,1.1049418269237776e-08,7.366278698128781e-09
1920,1.1358347151713133e-08,0.0
1921,8.330022005509363e-09,0.0
1922,1.0329110011753073e-08,7.377935484775833e-10
1923,6.369568872344189e-09,0.0
1924,3.867487219366694e-09,5.156649773851996e-09
1925,8.798542339150117e-09,5.499089184013428e-09
1926,3.343841648018042e-09,3.343841648018042e-09
1927,1.2264147031260109e-08,7.804457524684949e-09
1928,1.1426041224282812e-09,1.1426041224282812e-09
1929,1.0026365515614089e-08,0.0
1930,1.7856125467119455e-08,0.0
1931,3.4216069977333063e-09,0.0
1932,7.6716757391182e-09,0.0
1933,5.735331320977366e-09,4.588264879146209e-09
1934,1.1981580172459871e-08,4.7926320689839486e-09
1935,1.196828414151696e-08,4.787313656606784e-09
1936,4.849885826274658e-09,0.0
1937,2.5182236296217297e-09,3.777335333410292e-09
1938,1.2965214679638848e-08,2.5930428915188486e-09
1939,1.070583532936098e-08,3.058810094103137e-09
1940,1.0143131667916805e-08,0.0
1941,2.9515025978810172e-09,0.0
1942,6.068423541449874e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,8.714016175304096e-09,0.0
1946,1.6705325123211878e-08,2.7842208538686464e-09
1947,8.344609447874518e-09,2.3841741914054637e-09
1948,4.348755133776194e-09,1.0871887834440486e-09
1949,7.853606653895895e-09,1.9634016634739737e-09
1950,1.595304155443955e-08,4.2541445921528975e-09
1951,4.264560704569931e-09,5.330700769690111e-09
1952,5.272402070488624e-09,0.0
1953,5.386913581872932e-09,2.1547654771580937e-09
1954,2.052232517257835e-08,0.0
1955,4.6928039232341234e-09,9.385607846468247e-10
1956,8.72114114258693e-09,1.744228317335228e-09
1957,7.068030161150318e-09,3.534015080575159e-09
1958,2.4816730892496253e-09,0.0
1959,2.325224457422337e-09,3.8753737996444215e-09
1960,6.2287499602575735e-09,0.0
1961,9.72742331128984e-09,6.948159270159238e-10
1962,5.7077609305622445e-09,6.341956404476434e-10
1963,5.1728425987107585e-09,6.466053248388448e-10
1964,1.0951143103454797e-08,2.4335873316516654e-09
1965,7.1136563306595235e-09,3.2832261354087677e-09
1966,6.6468897053084675e-09,1.1078149508847446e-09
1967,8.874604162656397e-09,5.423369309198733e-09
1968,2.245707841908029e-09,1.7965663401398047e-09
1969,7.2668124850849836e-09,2.2708788183223305e-09
1970,8.7375777724219e-09,1.4256047897731605e-08
1971,3.5968783507200897e-09,5.652237344833111e-09
1972,7.69522046084603e-09,1.5390440033513642e-09
1973,6.064523994098181e-09,3.859242703185828e-09
1974,4.500457340128605e-09,2.812785782069227e-09
1975,3.998036124386317e-09,5.711480177694739e-10
1976,5.142174241967723e-09,2.856763492431469e-09
1977,8.22749424145286e-09,4.11374712072643e-09
1978,2.970295565063452e-09,0.0
1979,4.681578680276743e-09,5.851973350345929e-10
1980,7.390696055153967e-09,2.2740602734216964e-09
1981,4.427884725544118e-09,3.795329828193417e-09
1982,9.932003663948308e-09,3.1037510339615437e-09
1983,6.315316269933646e-09,1.89459470334441e-09
1984,2.3196033982486597e-09,1.1598016991243298e-09
1985,8.421781494405423e-09,0.0
1986,5.395036861699509e-09,0.0
1987,9.166225112267057e-09,1.2221633705067347e-09
1988,7.795519785247507e-09,2.99827696004229e-09
1989,1.0976243913773942e-08,3.841685636274406e-09
1990,6.538381391862913e-09,2.179460389939436e-09
1991,9.37834432335194e-09,5.861465202094962e-10
1992,4.4079553340736766e-09,1.65298330578878e-09
1993,4.4313659408601325e-09,1.1078414852150331e-09
1994,1.1077346151466827e-08,1.0549853213248639e-09
1995,8.133675954979935e-09,3.795715741716776e-09
1996,6.939520069693117e-09,1.067618438099771e-09
1997,5.753873377756236e-09,1.917957792585412e-09
1998,7.152193948201102e-09,0.0
1999,5.484241505371301e-09,9.140402323914998e-10
2000,7.510653432518666e-09,0.0
2001,7.886181485616817e-09,8.762423564512289e-10
2002,9.200564754507923e-09,8.76244299341522e-10
2003,2.9168460979889232e-09,1.6667691671301554e-09
2004,1.0571499231559756e-08,1.3214374039449694e-09
2005,9.457874483587148e-09,0.0
2006,1.070651389767363e-08,1.6471559671771274e-09
2007,9.586750948642475e-09,2.7961355453243186e-09
2008,6.811903485726134e-09,3.405951742863067e-09
2009,1.2397300963584712e-08,1.430457752249481e-09
2010,1.5588517143783065e-08,0.0
2011,1.644307978665438e-08,1.529588788962144e-09
2012,2.519147024315771e-08,6.808505426114664e-10
2013,2.7333426189102283e-08,3.0680376017500066e-09
2014,3.291476602385046e-08,2.165445156521173e-09
2015,2.6377247053233077e-08,3.103205470367243e-09
2016,2.713455415914723e-08,2.278474076078396e-09
2017,3.144514337805049e-08,1.7609279590047322e-09
2018,3.4591653985671655e-08,5.162933414126769e-10
2019,2.984655722571006e-08,1.53059265262101e-09
