year,vos_DET adieux_NOUN
1800,4.087413785214267e-08
1801,7.619784025969523e-08
1802,5.370816325012129e-08
1803,1.2287136885724692e-07
1804,1.0628959046243835e-07
1805,6.254330742194725e-08
1806,6.051505341275742e-08
1807,6.832692633906845e-08
1808,1.0650547466184435e-07
1809,9.939734635366904e-08
1810,8.89248141788812e-08
1811,8.774768467390004e-08
1812,4.000812259263853e-08
1813,1.322841143291953e-07
1814,3.1466771854837816e-08
1815,3.776112889042338e-08
1816,3.708166040894412e-08
1817,9.652614929578363e-08
1818,1.0252212678807382e-07
1819,3.726378139390363e-08
1820,5.458581409101271e-08
1821,5.9168928423503075e-08
1822,7.619468078701175e-08
1823,1.0475647904684138e-07
1824,5.894778976056614e-08
1825,8.98155159134717e-08
1826,6.605988289720699e-08
1827,5.7147091947484796e-08
1828,4.49442745242834e-08
1829,4.8009786368652385e-08
1830,5.1140497170365506e-08
1831,4.2096254482260065e-08
1832,4.464889968858188e-08
1833,6.023486998074645e-08
1834,6.254135875849443e-08
1835,9.605121675804185e-08
1836,3.965242667547386e-08
1837,4.453050062025454e-08
1838,3.7241755013184275e-08
1839,5.5232654894155075e-08
1840,4.5224788136621896e-08
1841,5.714288198177542e-08
1842,5.702025340781347e-08
1843,4.430183442316604e-08
1844,7.35467202694906e-08
1845,7.421703118737355e-08
1846,5.854501328173001e-08
1847,3.990985320001528e-08
1848,3.378993035374478e-08
1849,4.776266537831475e-08
1850,4.277067411351254e-08
1851,3.805168802273329e-08
1852,1.6927417689771573e-08
1853,4.538668063602813e-08
1854,4.416314780542052e-08
1855,5.1477289986223695e-08
1856,4.2452951820592943e-08
1857,4.198097980356863e-08
1858,6.60646262140574e-08
1859,6.212451708620392e-08
1860,7.64389711527258e-08
1861,8.064297896126504e-08
1862,8.719713662230788e-08
1863,6.34316853487249e-08
1864,4.890622518072263e-08
1865,8.378183169455156e-08
1866,4.379051610214901e-08
1867,3.979305418511103e-08
1868,5.4832602902621375e-08
1869,5.323035712212487e-08
1870,3.383088653663435e-08
1871,4.779529660936532e-08
1872,4.595977931565187e-08
1873,5.147963877405459e-08
1874,5.795370849881465e-08
1875,5.2065896483100005e-08
1876,5.018192439365521e-08
1877,7.421779280036844e-08
1878,7.005342661514646e-08
1879,3.4212222943530435e-08
1880,2.823852374156388e-08
1881,6.693606935392893e-08
1882,3.7935696584057155e-08
1883,3.728409803116506e-08
1884,5.677459391506545e-08
1885,3.0939050654765765e-08
1886,6.066255964221057e-08
1887,4.700825684267329e-08
1888,4.3116178405355754e-08
1889,3.320522468097664e-08
1890,2.752842276354528e-08
1891,2.422203548846369e-08
1892,3.823792482648969e-08
1893,2.0322774629821794e-08
1894,2.331569448621451e-08
1895,4.213030102562243e-08
1896,3.7151282716862966e-08
1897,3.6708296846654775e-08
1898,2.942344534684338e-08
1899,3.537650172802387e-08
1900,2.906989715611985e-08
1901,1.956058603980182e-08
1902,2.4060391012881155e-08
1903,3.888158595088953e-08
1904,2.042357571951925e-08
1905,2.270733934217617e-08
1906,4.2182313420013884e-08
1907,2.3657079850636364e-08
1908,2.8977195531965094e-08
1909,4.73084573182625e-08
1910,4.0081131191804786e-08
1911,2.394168319153067e-08
1912,2.7088989495993587e-08
1913,3.2878536782021683e-08
1914,2.343860305842327e-08
1915,3.062998021885477e-08
1916,3.186363883855847e-08
1917,2.412613364644045e-08
1918,1.033773866510046e-08
1919,3.038589924120316e-08
1920,3.256059599721084e-08
1921,2.877644078580488e-08
1922,3.2462916577102874e-08
1923,4.246379381456222e-08
1924,2.836157442231979e-08
1925,4.5092530598367375e-08
1926,3.12091874565823e-08
1927,3.567751882815884e-08
1928,3.199291476185806e-08
1929,3.8991423867429376e-08
1930,1.8906487042613662e-08
1931,2.2810713318222042e-08
1932,3.507051582474219e-08
1933,1.9500125958415992e-08
1934,2.036868629318178e-08
1935,2.6330225111337313e-08
1936,1.091224355320719e-08
1937,1.888667711114067e-08
1938,1.4261735792331365e-08
1939,2.4470481641003516e-08
1940,2.282204625281281e-08
1941,4.427253941230447e-08
1942,2.1239482173029955e-08
1943,2.9032351633873077e-08
1944,2.5705489292704442e-08
1945,2.178504043826024e-08
1946,2.645009811175214e-08
1947,2.3841742802233057e-08
1948,1.4133454184772631e-08
1949,1.2762110479513922e-08
1950,3.2969619256917326e-08
1951,1.3859822733941485e-08
1952,1.898064760919027e-08
1953,2.585718505976331e-08
1954,1.5636057781875934e-08
1955,2.4402580844906652e-08
1956,2.441919733087161e-08
1957,1.855357895097498e-08
1958,3.3088973006023537e-08
1959,2.325224279786653e-08
1960,3.875666770847275e-08
1961,2.9182268324046134e-08
1962,2.2831043722248978e-08
1963,1.4871922804360338e-08
1964,3.5895414529640846e-08
1965,1.751053818610515e-08
1966,2.9911003784910406e-08
1967,1.873527466500491e-08
1968,2.8295920273535557e-08
1969,1.407944960618579e-08
1970,1.1496812390987543e-08
1971,1.5415192122780752e-08
1972,2.205963234302999e-08
1973,1.6539610570021068e-08
1974,1.5751600079827455e-08
1975,9.709516302081056e-09
1976,1.8283285996290033e-08
1977,1.1753563455840776e-08
1978,1.9009891549792712e-08
1979,1.5800327823889404e-08
1980,2.4446147384171724e-08
1981,1.5813873543990553e-08
1982,1.3656505259973528e-08
1983,8.209910418166544e-09
1984,1.1018116474748041e-08
1985,9.023337077529447e-09
1986,1.0190625288064581e-08
1987,1.5277041853778428e-08
1988,8.395175221664886e-09
1989,1.0976243913773942e-08
1990,1.6345952147389653e-08
1991,1.641210245484359e-08
1992,1.708082614237938e-08
1993,2.9911721100006616e-08
1994,2.2154692247422503e-08
1995,1.5182862966867106e-08
1996,1.0676184380997711e-08
1997,9.58978851883785e-09
1998,2.1933395211171103e-08
1999,1.5995704316651427e-08
2000,1.192868470667463e-08
2001,1.0514908055370142e-08
2002,1.9277374085913124e-08
2003,1.2500769142054224e-08
2004,1.805964444656638e-08
2005,1.4411998705554652e-08
2006,1.6471560115860484e-08
2007,2.1969637137297937e-08
2008,2.682186917013496e-08
2009,2.0503227560197956e-08
2010,2.7870379448735605e-08
2011,3.7092528104576417e-08
2012,6.09361250902829e-08
2013,6.693900189702617e-08
2014,6.084900938674309e-08
2015,7.292533299452231e-08
2016,8.078226154673018e-08
2017,4.653880894545104e-08
2018,7.176477245796065e-08
2019,7.729492668140381e-08
