year,pouvais_VERB entrer_VERB,pouvais_VERB rentrer_VERB
1800,2.829747991484055e-08,9.432493897065797e-09
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,5.851017448321727e-09,3.900678446910888e-09
1804,1.2359254952798437e-08,3.460591457837836e-08
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.0331274441787173e-08,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,1.4378708002027452e-08,8.627225156487839e-09
1814,0.0,3.4613449884091096e-08
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.5568733857662664e-08,1.5568733857662664e-08
1818,1.9073883805731384e-08,2.384235475716423e-09
1819,9.315945348475907e-09,0.0
1820,2.0173018810965004e-08,1.4239777357261119e-08
1821,2.7612166775270452e-08,2.5639868894700157e-08
1822,2.4061478143266868e-08,1.2030739071633434e-08
1823,1.581229902569703e-08,3.360113609574e-08
1824,2.0210670470532932e-08,1.8526447931321854e-08
1825,3.169959583715354e-08,1.584979791857677e-08
1826,2.290075862276808e-08,9.688783109140786e-09
1827,1.566936447261469e-08,8.295545583791863e-09
1828,1.2841221419535032e-08,3.668920500743411e-09
1829,1.628903412154159e-08,1.2002446148073886e-08
1830,3.1310506187764986e-08,6.262101504006523e-09
1831,4.053713453799901e-08,3.1182412207897414e-09
1832,3.6530916958099624e-08,6.764984572527055e-09
1833,5.560141858040879e-08,6.950177322551099e-09
1834,1.7735608537350345e-08,9.334530925997342e-10
1835,2.8739734148075513e-08,7.563087933704082e-10
1836,3.293167694096155e-08,2.688300027031687e-09
1837,1.948209416013924e-08,1.530736071231331e-08
1838,3.28232410140572e-08,3.1560809521380406e-09
1839,1.5381244722334486e-08,6.9914751765765e-10
1840,7.0066574764382494e-09,2.5478754661634184e-09
1841,1.2841097074556274e-08,6.420548537278137e-10
1842,8.049918065466954e-09,5.366612043644636e-09
1843,2.4218335781256428e-08,3.5441467538532834e-09
1844,2.140538946093784e-08,1.097712254427563e-09
1845,1.7298706467272496e-08,1.674068439427856e-09
1846,1.5807152919933287e-08,4.0981511517657054e-09
1847,1.5101026207275936e-08,4.314578916364553e-09
1848,1.126331028444838e-08,0.0
1849,2.0948537127196687e-08,4.1897072478036534e-09
1850,2.5798184921654865e-08,3.869727649430388e-08
1851,2.5152811389261842e-08,1.9348316282474798e-09
1852,2.408901877970493e-08,2.6042181744401205e-09
1853,7.166318205520383e-09,5.971931837933653e-10
1854,1.610655964157104e-08,1.0391328908454511e-09
1855,1.6982198758341838e-08,0.0
1856,1.9673318973900678e-08,3.1063134287023786e-09
1857,3.7099468386259105e-08,7.322263684272912e-09
1858,2.3489644007668176e-08,5.3830437884982985e-09
1859,3.3099126994784456e-08,6.110608019582742e-09
1860,3.661747172145624e-08,9.612086238064421e-09
1861,6.036433575218325e-08,3.3011746669586728e-09
1862,1.8071945717679228e-08,6.776979422085105e-09
1863,1.2986014041871385e-08,1.9978483312144135e-09
1864,1.965838514195184e-08,5.274200631788517e-09
1865,3.718406915709238e-08,6.589582213223366e-09
1866,4.81695678899996e-08,5.352174259343201e-09
1867,2.329349513274792e-08,4.85281148598915e-09
1868,1.531360993567432e-08,2.9639244392143382e-09
1869,4.688178378842167e-08,3.906815315701806e-09
1870,2.2936195165357276e-08,6.307453670473251e-09
1871,2.442870794538976e-08,9.559059321873065e-09
1872,4.777398032729252e-08,3.0236697590169115e-09
1873,1.3169209722718733e-08,7.183205141814142e-09
1874,3.2860349108432274e-08,1.1351757756017378e-08
1875,9.7265964171811e-09,1.4303817685856757e-08
1876,8.464420275799966e-09,4.232210137899983e-09
1877,2.040989244278535e-08,3.0924081073635534e-09
1878,2.113680963589104e-08,2.4156354694326865e-09
1879,3.9099681714560575e-08,5.498392852132383e-09
1880,1.2835692508872398e-08,1.0910338410496934e-08
1881,2.9284532132578533e-08,2.091752326904839e-09
1882,3.5939081044489285e-08,1.3310770263785798e-09
1883,3.09647596452578e-08,6.951272890631799e-09
1884,1.1222884843675729e-08,7.2618666635548834e-09
1885,2.4493415295978593e-08,2.5782542767416317e-09
1886,1.5488312854472497e-08,4.5174246565693466e-09
1887,1.6322312390570914e-08,4.570247291724172e-09
1888,6.340614699951175e-09,5.706553452000662e-09
1889,1.9421923624918236e-08,5.6386229019267375e-09
1890,1.7041404731799048e-08,7.865263995654459e-09
1891,1.2748440525456317e-08,1.9122659011827636e-09
1892,1.8805536683430546e-08,5.641661360300532e-09
1893,1.7243566574620672e-08,6.774258043407144e-09
1894,1.3863386882917439e-08,6.9316934414587195e-09
1895,2.5278181325916194e-08,4.213029924926559e-09
1896,1.592197840238896e-08,3.5382172747233653e-09
1897,2.0393496669157685e-08,1.1653427112179315e-09
1898,1.3014216371232123e-08,3.960848538042683e-09
1899,1.7688250864011934e-08,1.6582735185011188e-09
1900,2.2321527737290126e-08,1.0901211489056095e-08
1901,1.5089595351014395e-08,7.265360757457984e-09
1902,7.856454153909453e-09,1.9641135384773634e-09
1903,1.7820726228023887e-08,2.1600881083827517e-09
1904,1.289910045443321e-08,1.0749250378694342e-09
1905,1.2385822145688508e-08,5.676835002077496e-09
1906,2.1091157265118454e-08,3.600929110447737e-09
1907,2.7771354993433306e-08,5.142843484406967e-09
1908,1.1787333775714615e-08,4.911389073214423e-10
1909,6.60118004702781e-09,3.300590023513905e-09
1910,1.5498036631811374e-08,9.619471441624228e-09
1911,1.5429085564733214e-08,1.5961122423746588e-09
1912,1.3023552902780011e-08,6.772247651554153e-09
1913,1.6969567084856862e-08,1.060597942803554e-09
1914,6.696743604095445e-09,2.678697486047099e-09
1915,1.6493066468115103e-08,3.534228465440492e-09
1916,2.307367097387214e-08,1.7579939282086343e-08
1917,7.676496771580332e-09,3.289927441585405e-09
1918,1.722956355365568e-08,3.44591288836682e-09
1919,2.301962176431971e-08,9.207848372660976e-10
1920,1.590168707821249e-08,7.572231730534895e-09
1921,3.559191341651058e-08,0.0
1922,2.0658220023506146e-08,1.4755870969551665e-09
1923,2.0170300985000722e-08,1.1677542488541803e-08
1924,1.5469948877466777e-08,0.0
1925,2.1996356736053713e-08,5.499089184013428e-09
