year,bonnes_ADJ règles_NOUN
1800,4.7162465932615305e-08
1801,4.286128785224719e-08
1802,7.832440473976021e-08
1803,8.191424427650418e-08
1804,6.426812149129546e-08
1805,9.665784261869703e-08
1806,1.4408345627714425e-08
1807,1.366538526781369e-07
1808,7.478044494746428e-08
1809,1.0617443280125372e-07
1810,1.1466621430145096e-07
1811,9.526891631139733e-08
1812,9.335229123053068e-08
1813,1.2365688917270745e-07
1814,9.125363931161701e-08
1815,1.8341120266995858e-07
1816,1.668674798338543e-07
1817,1.0119676829845048e-07
1818,7.629553522292554e-08
1819,8.591371170041384e-08
1820,6.289234733003468e-08
1821,1.1340711836282935e-07
1822,9.524335098376469e-08
1823,5.0401702367253165e-08
1824,1.2463246434890607e-07
1825,5.547429182684027e-08
1826,5.549030035467695e-08
1827,1.585370910106576e-07
1828,6.512333783348367e-08
1829,7.630126930280312e-08
1830,6.053365098068753e-08
1831,9.354723573551382e-08
1832,9.200379480489573e-08
1833,7.18184978154568e-08
1834,5.507373401769655e-08
1835,1.013453783116347e-07
1836,1.0215540413582858e-07
1837,8.001574514082677e-08
1838,5.617824072601252e-08
1839,6.781731087812659e-08
1840,7.261444778805526e-08
1841,5.521671653241356e-08
1842,5.970355942963579e-08
1843,7.442707783411606e-08
1844,5.2141331252641976e-08
1845,5.636030309119633e-08
1846,6.615586300995346e-08
1847,9.11454804963796e-08
1848,7.321151684891447e-08
1849,7.960444037280467e-08
1850,4.277067588986938e-08
1851,1.2769888257935236e-07
1852,7.552232972329875e-08
1853,7.524634071387482e-08
1854,1.0339372380485656e-07
1855,8.278821894691646e-08
1856,6.782117623060913e-08
1857,6.59003731584562e-08
1858,8.808616769329092e-08
1859,7.078121200265741e-08
1860,4.7602711106264906e-08
1861,5.0932406736592384e-08
1862,8.493814362964258e-08
1863,6.842630284609186e-08
1864,3.643993196078554e-08
1865,7.483882313863433e-08
1866,6.909170480184912e-08
1867,3.2513838732484146e-08
1868,7.064019769131846e-08
1869,5.7137174991339634e-08
1870,4.873941605865184e-08
1871,7.965883241922711e-08
1872,6.71254696271717e-08
1873,7.721946104766175e-08
1874,4.899179373296647e-08
1875,3.089624556196213e-08
1876,5.985554452081487e-08
1877,6.617753456339415e-08
1878,3.32149880932775e-08
1879,4.3376211067425174e-08
1880,8.214843205678335e-08
1881,6.275256936305595e-08
1882,5.457415852561098e-08
1883,7.835980397885578e-08
1884,6.997798607244476e-08
1885,5.0920522909336796e-08
1886,4.2592862570245416e-08
1887,4.700825684267329e-08
1888,6.721051448721482e-08
1889,7.956723635516028e-08
1890,3.998175657216052e-08
1891,7.394095291601843e-08
1892,4.764069316820496e-08
1893,5.7273272346947124e-08
1894,4.978215883966186e-08
1895,6.560289733670288e-08
1896,4.363801409112966e-08
1897,5.010973680441566e-08
1898,7.299277626771072e-08
1899,7.793885714590942e-08
1900,3.945200433008722e-08
1901,4.918090112937534e-08
1902,5.450415230257022e-08
1903,4.968202560462487e-08
1904,6.772027916213119e-08
1905,3.715746643706552e-08
1906,3.858138342138773e-08
1907,3.1371342856800766e-08
1908,7.317969874520713e-08
1909,5.005895076237721e-08
1910,5.9320072409718705e-08
1911,6.810078900798544e-08
1912,5.62617508137464e-08
1913,5.7272288245258096e-08
1914,7.969124737883249e-08
1915,5.654765544704787e-08
1916,5.933229374477378e-08
1917,9.211796481167767e-08
1918,5.858051821405752e-08
1919,6.997964874244644e-08
1920,1.0676846784463123e-07
1921,7.269837709600324e-08
1922,5.4596721810185045e-08
1923,6.581888101209188e-08
1924,5.0277336072213075e-08
1925,6.598907020816114e-08
1926,6.13037585139864e-08
1927,8.138934504131612e-08
1928,7.769708076921233e-08
1929,6.238627747734427e-08
1930,5.566909777598994e-08
1931,7.185374784057785e-08
1932,1.0082773371777876e-07
1933,8.373583426646292e-08
1934,8.387105765450542e-08
1935,4.906996409204112e-08
1936,4.364897421282876e-08
1937,3.651424407280501e-08
1938,6.871563584809337e-08
1939,4.5882153187903896e-08
1940,2.2822046474857416e-08
1941,9.149658097840074e-08
1942,8.799214157306778e-08
1943,8.709705667797607e-08
1944,4.4984606262232774e-08
1945,3.921307367704685e-08
1946,4.5939643200654245e-08
1947,4.887557025767819e-08
1948,5.979538286737807e-08
1949,4.0249734212238764e-08
1950,4.998619829166273e-08
1951,4.904244832459881e-08
1952,4.956057964022875e-08
1953,4.955960619668076e-08
1954,5.668070812703263e-08
1955,5.255940394022218e-08
1956,4.186147961604547e-08
1957,6.361226922990681e-08
1958,3.391619785020339e-08
1959,3.642851353902188e-08
1960,5.536666591865469e-08
1961,5.280601200752244e-08
1962,5.327243357555744e-08
1963,4.267594988505152e-08
1964,4.1979379972190145e-08
1965,5.08900050988359e-08
1966,4.375868911665748e-08
1967,1.0057884480829671e-07
1968,4.446501833399452e-08
1969,4.223834793037895e-08
1970,5.702419159092642e-08
1971,5.1897814046242274e-08
1972,4.3093233870195036e-08
1973,4.741355397186453e-08
1974,5.40054898579001e-08
1975,2.9699696924012642e-08
1976,3.25671045686704e-08
1977,4.2312830572655e-08
1978,3.326731246033887e-08
1979,4.6815785026410595e-08
1980,4.150160037852402e-08
1981,3.479052068655619e-08
1982,5.4005269589652016e-08
1983,3.978649232294629e-08
1984,4.929157171318366e-08
1985,5.8350913434424e-08
1986,4.7356433441336776e-08
1987,5.377518874638554e-08
1988,6.476278002764957e-08
1989,5.927171997655023e-08
1990,4.086488303300939e-08
1991,5.0408601737217396e-08
1992,5.509944145387635e-08
1993,5.594599628011565e-08
1994,5.644171352514604e-08
1995,4.880205750623645e-08
1996,6.032043842196799e-08
1997,4.938741327009666e-08
1998,5.721755158560882e-08
1999,4.753009363867022e-08
2000,4.9923755796044134e-08
2001,5.607951081287865e-08
2002,4.994592472939985e-08
2003,4.50027677345588e-08
2004,5.594084839799507e-08
2005,5.899912025597587e-08
2006,5.7650460405511694e-08
2007,5.752050569185485e-08
2008,6.85447787418525e-08
2009,4.100645512039591e-08
2010,6.613310432612707e-08
2011,5.697718208352853e-08
2012,5.412761794332255e-08
2013,6.777573702265727e-08
2014,3.9844191945803686e-08
2015,3.590852060142424e-08
2016,5.551191151198509e-08
2017,4.528100561174142e-08
2018,3.898014711012365e-08
2019,4.5662680747682316e-08
