year,devions_VERB avoir_VERB
1800,1.7292904885835014e-07
1801,1.142967676059925e-07
1802,6.713520406265161e-08
1803,1.950339267864365e-08
1804,7.909923027682453e-08
1805,9.381496113292087e-08
1806,4.034336598124355e-08
1807,3.131650672116848e-08
1808,7.251436784372345e-08
1809,2.9367397402779716e-08
1810,6.786367379163494e-08
1811,6.769107585569145e-08
1812,5.601137331723294e-08
1813,3.738464116054274e-08
1814,7.552024783308298e-08
1815,4.315557688983063e-08
1816,4.8669683394564345e-08
1817,2.3353100786493997e-08
1818,9.179306914575136e-08
1819,5.175525075173937e-08
1820,7.475883023744245e-08
1821,1.2228245793721726e-07
1822,6.015369535816717e-08
1823,1.591112521737159e-07
1824,8.842168597311684e-08
1825,1.2679838334861415e-07
1826,4.315912249808207e-08
1827,5.8068820862899884e-08
1828,8.89713192009367e-08
1829,4.715246859632316e-08
1830,1.1167414015744725e-07
1831,6.548306430431694e-08
1832,8.253281436054749e-08
1833,1.5174553880115127e-07
1834,1.1388127774125678e-07
1835,1.0663953986522756e-07
1836,9.409050250042128e-08
1837,1.3289572109442815e-07
1838,1.0541310047074148e-07
1839,7.131304613494649e-08
1840,7.325142092895476e-08
1841,1.0979137954336693e-07
1842,9.726984018243456e-08
1843,1.0573371156397116e-07
1844,1.103200801821913e-07
1845,9.76539880070959e-08
1846,9.308656956363848e-08
1847,7.658377398911398e-08
1848,1.1102405750307298e-07
1849,2.1199919331138517e-07
1850,7.400005586077896e-08
1851,3.676180071465751e-08
1852,1.0351767087968256e-07
1853,1.003284566536422e-07
1854,9.248282850649048e-08
1855,7.005156987816008e-08
1856,7.040977578753882e-08
1857,1.1764436891326113e-07
1858,1.0032035646645454e-07
1859,7.332729978770658e-08
1860,8.559334219171433e-08
1861,9.101810150013989e-08
1862,9.623310859296907e-08
1863,9.98924178929883e-08
1864,8.390773587052536e-08
1865,6.26010319138004e-08
1866,9.244664767038557e-08
1867,9.608567097529885e-08
1868,6.224241388963492e-08
1869,9.57169774551403e-08
1870,8.658413719331293e-08
1871,1.1577083114389097e-07
1872,1.4090301192482002e-07
1873,1.1493128226902627e-07
1874,8.304706966555386e-08
1875,7.323554740423788e-08
1876,7.073837338111844e-08
1877,8.596894218726447e-08
1878,7.18651520514868e-08
1879,1.2951770145264163e-07
1880,6.417846520889725e-08
1881,6.693607446095484e-08
1882,1.0515508819253228e-07
1883,7.204046426068089e-08
1884,6.865764845542799e-08
1885,5.672159275604827e-08
1886,7.486018205327127e-08
1887,7.442974236937516e-08
1888,7.03808211710566e-08
1889,6.57839365203472e-08
1890,8.061895329092295e-08
1891,1.0644947678883909e-07
1892,9.402768341715273e-08
1893,8.067525669730458e-08
1894,1.0208493961272325e-07
1895,7.402896073926968e-08
1896,9.31730568254352e-08
1897,6.642453342919907e-08
1898,8.430949094417883e-08
1899,6.467266899790047e-08
1900,9.551537516472308e-08
1901,7.768347387582253e-08
1902,6.334266089425e-08
1903,6.966283905285309e-08
1904,6.610788716443494e-08
1905,8.87650557501729e-08
1906,4.4754404626701216e-08
1907,4.8342727154704335e-08
1908,7.6126532633225e-08
1909,7.096268461737054e-08
1910,8.497199388557419e-08
1911,6.437652899649038e-08
1912,6.615965020273507e-08
1913,6.628737025948794e-08
1914,8.170027143705738e-08
1915,7.657494904833584e-08
1916,9.449217230894646e-08
1917,1.0418103357778818e-07
1918,1.1026921242773824e-07
1919,9.023691660559052e-08
1920,6.66356356759934e-08
1921,7.875657104250422e-08
1922,5.6810101511928224e-08
1923,5.732611896291928e-08
1924,7.734974616369072e-08
1925,7.258797296572084e-08
1926,5.461607699430715e-08
1927,9.476841000832792e-08
1928,6.284322751071159e-08
1929,5.681607362362229e-08
1930,5.882018072611572e-08
1931,7.983749839013399e-08
1932,5.4797684612140074e-08
1933,5.047091278242988e-08
1934,5.032263672433146e-08
1935,5.38572777486479e-08
1936,4.243650053581405e-08
1937,4.5328025777280345e-08
1938,4.926781471681352e-08
1939,3.976452944698394e-08
1940,4.057252667166722e-08
1941,7.083606590185809e-08
1942,6.675266206457309e-08
1943,2.9032351633873077e-08
1944,2.8918675454292497e-08
1945,7.189063211399116e-08
1946,7.238973864787113e-08
1947,6.914105199484766e-08
1948,5.762100485640076e-08
1949,6.282885323116716e-08
1950,7.232046073113452e-08
1951,8.529121231504178e-08
1952,4.2179216563908994e-08
1953,4.3095308654983455e-08
1954,5.0817188679275205e-08
1955,5.162084448784299e-08
1956,6.54085638984725e-08
1957,4.682570065028813e-08
1958,6.204182767532984e-08
1959,4.960478605653407e-08
1960,5.259833457671448e-08
1961,6.739714564218957e-08
1962,8.498221859554178e-08
1963,5.948768944108451e-08
1964,5.658090529436777e-08
1965,4.487075599968193e-08
1966,4.818994980837488e-08
1967,4.3879985867079085e-08
1968,6.46763851364085e-08
1969,5.132186231548985e-08
1970,5.564457339346518e-08
1971,5.241165368374823e-08
1972,4.052816038324636e-08
1973,3.583582497412863e-08
1974,3.3753430273009144e-08
1975,5.6543655091445544e-08
1976,5.256444879364608e-08
1977,4.4663540421652215e-08
1978,4.574255285660911e-08
1979,5.26677617074256e-08
1980,4.832378053265529e-08
1981,4.427884547908434e-08
1982,3.1658260013500694e-08
1983,4.357568172963511e-08
1984,5.5090580985961424e-08
1985,4.992913105184016e-08
1986,4.7356433441336776e-08
1987,4.399788267051008e-08
1988,4.077656612366809e-08
1989,4.829547606277629e-08
1990,4.2499475938484466e-08
1991,3.57549367890897e-08
1992,5.014049264673304e-08
1993,5.649991408063215e-08
1994,4.800183361908239e-08
1995,4.7175323203418884e-08
1996,4.217092808289635e-08
1997,4.5551498573104254e-08
1998,4.72044803245808e-08
1999,4.935817088380645e-08
2000,4.9923755796044134e-08
2001,4.775520778821374e-08
2002,4.381221430094229e-08
2003,5.583676809806093e-08
2004,4.492887129003975e-08
2005,4.4136747590073355e-08
2006,4.817931298362055e-08
2007,5.312657691547429e-08
2008,6.215861958480673e-08
2009,5.48342136141855e-08
2010,7.274640978494062e-08
2011,6.462512658345076e-08
2012,7.829780912516071e-08
2013,1.0040849929282558e-07
2014,9.54961336674387e-08
2015,1.0262743899147608e-07
2016,1.033598664434976e-07
2017,8.35182945024826e-08
2018,1.060982839362623e-07
2019,9.107026244237204e-08
