year,pas_ADV apporté_VERB,pas_ADV rapporté_VERB
1800,1.6664071722516383e-07,2.5467733166806283e-07
1801,1.571580554582397e-07,2.571677271134831e-07
1802,2.4616241489638924e-07,1.857407312400028e-07
1803,2.1258696847326064e-07,2.398917331447592e-07
1804,4.4493316408988903e-07,2.5707248596518184e-07
1805,2.388017321663938e-07,2.842877790953935e-07
1806,3.8326200524352316e-07,1.0085842205853623e-07
1807,3.017772485236492e-07,2.790015969367232e-07
1808,2.9685568847526156e-07,2.01680592226694e-07
1809,3.433726476487209e-07,2.371982077420398e-07
1810,3.135769759410323e-07,3.4399863579892553e-07
1811,3.133845893898979e-07,1.7298829391165782e-07
1812,2.800568665861647e-07,2.2937990706850542e-07
1813,3.7672214148187777e-07,2.041776525629757e-07
1814,2.4858749725353846e-07,1.6677388714469998e-07
1815,2.265667831125029e-07,2.5623623400861106e-07
1816,2.804300720526953e-07,3.1055893146003655e-07
1817,2.7089598120255687e-07,2.7868034635503136e-07
1818,2.443841253807477e-07,2.5034472628249205e-07
1819,2.3496883727602835e-07,2.5049541818589205e-07
1820,3.4531458936726267e-07,2.669958121259697e-07
1821,3.126091883132176e-07,2.889416066409467e-07
1822,2.837249439835432e-07,2.76706998647569e-07
1823,2.1050122711585573e-07,1.6009953185402992e-07
1824,2.3663326942369167e-07,3.267391832650901e-07
1825,2.9322126238184865e-07,3.169959370552533e-07
1826,2.818555060457584e-07,3.021138752501429e-07
1827,2.820485462962097e-07,3.299783770671638e-07
1828,2.5132104042313586e-07,3.081893282796955e-07
1829,3.1806482070351194e-07,3.5492948313731176e-07
1830,3.5693977906703367e-07,4.2373554265395796e-07
1831,4.038122369820485e-07,2.603731559247535e-07
1832,3.9642810634177295e-07,3.937221038086136e-07
1833,3.1275797596208577e-07,2.1313876175099722e-07
1834,3.285754814896791e-07,2.8190282819196e-07
1835,3.63784522505739e-07,2.3596834353156737e-07
1836,3.514952311434172e-07,3.682970941554231e-07
1837,3.298040383015177e-07,2.9431879511321313e-07
1838,2.872033633138926e-07,1.5969769151524815e-07
1839,3.481754617951083e-07,2.6357861315773334e-07
1840,3.2740200595071656e-07,2.471439302098588e-07
1841,3.6532921399157203e-07,2.690209726097237e-07
1842,3.5352556437828753e-07,2.2942266753034346e-07
1843,3.136569830530789e-07,2.62857554389484e-07
1844,3.5620763583210646e-07,2.7223262577535934e-07
1845,2.924039392837585e-07,2.0256227628578927e-07
1846,3.6414996884559514e-07,2.728197614487726e-07
1847,3.732110656073928e-07,1.9092011882548832e-07
1848,3.676666437968379e-07,2.5744708409547457e-07
1849,3.611527858993213e-07,2.4551684418838704e-07
1850,4.039452505821828e-07,2.4644054974487517e-07
1851,3.882562111812149e-07,2.721663179272582e-07
1852,3.4701207596299355e-07,1.7838894450505904e-07
1853,3.8698118487445754e-07,2.2514183228850015e-07
1854,3.2109207381836313e-07,2.036700408325487e-07
1855,3.0992512733973854e-07,2.2448344338954485e-07
1856,3.7482848824765824e-07,2.2883176598043065e-07
1857,3.592790562834125e-07,2.0453522608931962e-07
1858,3.7730242752331833e-07,2.2119415632460004e-07
1859,3.6663647051682347e-07,2.0826989555189357e-07
1860,3.28184086129113e-07,2.0597327932136977e-07
1861,4.201923786695261e-07,2.3532659554348356e-07
1862,3.149036444938247e-07,2.046647722409034e-07
1863,3.411325906199636e-07,2.1576761355390772e-07
1864,3.442614797677379e-07,1.6589758899954177e-07
1865,4.024352051601454e-07,2.0051156468525733e-07
1866,4.150367942656885e-07,1.8148736558032397e-07
1867,4.265621385002305e-07,2.096414561947313e-07
1868,3.92719982755807e-07,2.09450661259325e-07
1869,3.9068152091203956e-07,2.3343221755567356e-07
1870,3.7787381756970717e-07,2.064257529355018e-07
1871,4.598969667313213e-07,2.4003861653909553e-07
1872,3.894486440003675e-07,1.765823043342607e-07
1873,4.064497147737711e-07,1.7898153714668297e-07
1874,4.3495154500305944e-07,2.0672148082212516e-07
1875,3.61028355655435e-07,2.414484470136813e-07
1876,3.978277618443826e-07,1.6868381180756842e-07
1877,3.822216285698232e-07,2.1523159432490502e-07
1878,3.3094207196882053e-07,2.1257592663914693e-07
1879,4.7102898292905593e-07,2.266559704366955e-07
1880,4.447567505394545e-07,2.002367978093389e-07
1881,4.594882625497121e-07,2.1684498108243133e-07
1882,3.5007326459890464e-07,1.6239140165907884e-07
1883,4.069654266913858e-07,2.0790625399058626e-07
1884,4.066645260536461e-07,2.1323481291801727e-07
1885,3.448415100137936e-07,1.5147243459523452e-07
1886,4.2980070702469675e-07,1.96830654886071e-07
1887,4.0805778667163395e-07,1.7040493105469068e-07
1888,4.4447708091865934e-07,1.857800100424356e-07
1889,4.3417398387646244e-07,2.1740024180871842e-07
1890,4.830582724935084e-07,2.221937052127032e-07
1891,4.2006109879366704e-07,2.0843700099248963e-07
1892,3.8237925537032424e-07,1.9871184520070528e-07
1893,5.0006343599307e-07,2.1431289098927664e-07
1894,4.62532995015863e-07,2.0227940922268317e-07
1895,4.4718305503010924e-07,2.2991108039605024e-07
1896,4.2871400296462525e-07,2.4059878001025936e-07
1897,4.597276870299538e-07,2.2840717406324984e-07
1898,5.154761311132461e-07,2.744302207702276e-07
1899,4.0904080833570333e-07,2.487410313278815e-07
