year,devrions_VERB entrer_VERB,devrions_VERB rentrer_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,1.5568733857662664e-08,0.0
1818,2.384235475716423e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,1.97229765852569e-09,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,8.421112696055388e-10,0.0
1825,8.805443485471187e-09,0.0
1826,0.0,0.0
1827,3.6869092223668076e-09,0.0
1828,9.172301140836225e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,1.0436835840010872e-09,0.0
1831,2.8064171431196883e-08,0.0
1832,9.470978667991403e-09,0.0
1833,1.0425265983826648e-08,4.6334514003376626e-09
1834,4.667265685043276e-09,0.0
1835,7.563087933704082e-10,0.0
1836,9.409050427677812e-09,0.0
1837,2.0873671680021744e-09,6.957890930081589e-10
1838,5.049729523420865e-09,0.0
1839,6.292327547896548e-09,0.0
1840,7.64362617644565e-09,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,4.7255288571079745e-09,0.0
1844,5.488561161115513e-09,0.0
1845,5.580227946389016e-10,0.0
1846,5.854501328173001e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,8.84974404868899e-09,0.0
1849,5.865590679832167e-09,0.0
1850,3.394498016007219e-09,0.0
1851,2.579775504329973e-09,0.0
1852,3.906327261660181e-09,0.0
1853,1.6721408258035808e-08,0.0
1854,1.0391328908454511e-09,5.195664454227256e-10
1855,6.8990182455763716e-09,1.5920811335945473e-09
1856,2.5885946719483854e-09,0.0
1857,2.9289055625270066e-09,0.0
1858,4.893676019968041e-10,4.893676019968041e-10
1859,1.018434669930457e-09,5.092173349652285e-10
1860,2.288591982591015e-09,0.0
1861,1.4147891747029462e-09,0.0
1862,8.132375661773494e-09,4.517986262886353e-10
1863,2.4973103585068657e-09,4.994620828036034e-10
1864,6.233146443435089e-09,0.0
1865,2.3534221238463715e-09,9.41368871743009e-10
1866,6.3252967308358166e-09,0.0
1867,1.455843445796745e-08,0.0
1868,3.457911734727759e-09,4.93987406535723e-10
1869,2.441759683335931e-09,4.395167341186834e-09
1870,7.454262984651905e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,8.4662747923403e-09,0.0
1873,1.1972008939764578e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,4.005069165202713e-09,0.0
1876,1.209202959984168e-09,0.0
1877,0.0,3.0924081073635534e-09
1878,3.0195443923020093e-09,0.0
1879,1.832797580370027e-09,0.0
1880,7.701415505323439e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,1.3310770263785798e-09,0.0
1883,8.21514056781325e-09,0.0
1884,6.601696966868076e-10,6.601696966868076e-10
1885,1.2891271161663553e-08,6.445635691854079e-10
1886,5.162771099520569e-09,1.2906927748801422e-09
1887,6.528924512139156e-09,0.0
1888,5.07249175996094e-09,3.1703073499755874e-09
1889,6.265136853755848e-09,0.0
1890,5.898947996740844e-09,0.0
1891,3.824531802365527e-09,0.0
1892,1.2537024751679837e-09,0.0
1893,2.463366621796581e-09,0.0
1894,5.041231432301174e-09,3.150769645188234e-09
1895,2.4074457982692365e-09,0.0
1896,3.5382172747233653e-09,0.0
1897,9.322741689743452e-09,0.0
1898,3.3950129374460403e-09,0.0
1899,7.738609753005221e-09,5.527578395003729e-10
1900,4.15284251431558e-09,5.191053142894475e-10
