year,aurez_VERB envoyé_VERB,aurez_VERB renvoyé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,4.7623651688866175e-09
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.3905623319487859e-08,0.0
1817,1.556873407970727e-09,0.0
1818,1.9073883805731384e-08,1.1921177378582115e-09
1819,1.9666995143552413e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,6.903041693817613e-09,0.0
1822,3.408709403629473e-08,0.0
1823,4.941343334508019e-09,0.0
1824,1.8526447931321854e-08,0.0
1825,5.283265824829186e-09,1.7610886082763955e-09
1826,2.7304752237000685e-08,0.0
1827,0.0,9.217273055917019e-10
1828,1.2841221419535032e-08,0.0
1829,2.571952872898464e-09,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,1.2472964883158966e-08,0.0
1832,0.0,0.0
1833,1.1583628278799551e-08,0.0
1834,4.667265685043276e-09,0.0
1835,0.0,0.0
1836,2.083432448785061e-08,0.0
1837,2.435261770017405e-08,0.0
1838,2.398621568033832e-08,0.0
1839,2.7965899818127582e-08,0.0
1840,0.0,0.0
1841,7.704658244733764e-09,0.0
1842,2.817471411731276e-08,4.695785538189057e-09
1843,9.451057714215949e-09,0.0
1844,2.030767731753258e-08,0.0
1845,7.812318791877715e-09,6.138250796539069e-09
1846,1.7563503984519002e-09,0.0
1847,7.011190739092399e-09,1.0786447290911383e-09
1848,1.850401076808339e-08,4.02261068899179e-09
1849,7.54147322368226e-09,1.0893239199560867e-08
1850,5.431196825611551e-09,8.146795238417326e-09
1851,7.739326512989919e-09,1.1608989325395669e-08
1852,2.2135854038651814e-08,0.0
1853,5.3747388761848924e-09,5.971931837933653e-10
1854,1.9223959313308114e-08,7.27393034694046e-09
1855,2.1227748447927297e-09,3.1841622671890946e-09
1856,7.248064815001953e-09,1.0354378465748937e-09
1857,2.782460128969433e-08,4.881509085841174e-10
1858,2.104280660830682e-08,1.468102750479261e-09
1859,5.092173349652285e-09,6.619825576592575e-09
1860,4.165237399433863e-08,3.661747127736703e-09
1861,4.385846352761291e-08,4.715963730639317e-10
1862,1.626475132354699e-08,4.9697850279528666e-09
1863,1.048870412745373e-08,0.0
1864,3.212467802882202e-08,0.0
1865,3.671338433264282e-08,2.8241067262513297e-09
1866,2.919367680931373e-08,9.731225825149181e-10
1867,3.688136729351754e-08,8.249779526181555e-09
1868,5.730253960223308e-08,1.2843672791973404e-08
1869,1.3185501579471293e-08,0.0
1870,0.0,1.7202146374017957e-09
1871,5.3105884134652115e-09,0.0
1872,6.652073114565837e-09,1.2094678591978436e-09
1873,1.6760813181804224e-08,0.0
1874,1.1949218503559678e-08,1.7923826867161097e-09
1875,1.1443054281912168e-09,0.0
1876,1.209202959984168e-08,9.069021977836655e-09
1877,9.895705588292003e-09,0.0
1878,1.8117265465633636e-09,3.6234530931267273e-09
1879,1.4051448005147904e-08,6.10932526790009e-10
1880,1.5402831010646878e-08,6.417846254436199e-10
1881,1.4642266066289267e-08,3.4862537301449947e-09
1882,9.317538740560849e-09,0.0
1883,4.423537092179686e-09,1.2638677882037541e-09
1884,1.0562715146988921e-08,9.902545450302114e-09
1885,7.090199094506033e-09,3.86738152613475e-09
1886,1.2906927748801422e-09,0.0
1887,2.8727267675776602e-08,0.0
1888,9.510921827882157e-09,6.974675947901687e-09
1889,1.1277245803853475e-08,6.265136853755848e-09
1890,2.6217545912032847e-09,3.9326319978272295e-09
1891,5.736798147637501e-09,1.2748440081367107e-09
1892,8.775916882086676e-09,1.2537024751679837e-09
1893,8.621783287310336e-09,2.463366621796581e-09
1894,6.301539290376468e-10,1.2603078580752936e-09
1895,1.2639090662958097e-08,6.018614495673091e-10
1896,7.076434549446731e-09,2.358811590497112e-09
1897,5.826713556089658e-10,1.1653427112179315e-09
1898,5.6583546736987955e-09,1.13167097914868e-09
1899,1.879376654301268e-08,5.527578395003729e-10
1900,1.661137005726232e-08,2.07642125715779e-09
1901,4.470991132876634e-09,5.588738916095792e-10
1902,6.874397495693074e-09,0.0
1903,7.020286574288548e-09,2.7001101354784396e-09
1904,8.599400302955473e-09,0.0
1905,4.1286072338664326e-09,5.160759042333041e-10
1906,6.173021205313489e-09,5.144184522798412e-10
1907,5.142843373384665e-10,1.028568674676933e-09
1908,1.0313916831705683e-08,0.0
1909,1.6502950117569526e-09,0.0
1910,3.206490406526541e-09,1.6032452032632705e-09
