year,les_DET aides_NOUN,les_DET raids_NOUN
1800,8.772219217689781e-07,0.0
1801,5.238601588075653e-07,2.3811825844433088e-09
1802,6.2435739778266e-07,0.0
1803,6.514133161772406e-07,0.0
1804,5.240324014721409e-07,0.0
1805,1.893356483151365e-06,0.0
1806,1.0719808898329575e-06,0.0
1807,6.604935904874765e-07,0.0
1808,6.322346379761257e-07,0.0
1809,6.393056395381791e-07,0.0
1810,5.148278745537027e-07,0.0
1811,7.195310303131919e-07,0.0
1812,6.828052896423742e-07,0.0
1813,8.886041911182474e-07,0.0
1814,1.6520055297064573e-06,0.0
1815,8.739004111468773e-07,0.0
1816,7.833501030063417e-07,0.0
1817,6.398749580194263e-07,0.0
1818,1.258876300980205e-06,0.0
1819,7.380298470138769e-07,0.0
1820,1.1012094418560991e-06,0.0
1821,6.95234930958577e-07,0.0
1822,8.95287499247388e-07,0.0
1823,8.301457001813617e-07,0.0
1824,1.180639950248974e-06,1.6842225392110777e-09
1825,1.2204344113087018e-06,0.0
1826,1.1952434526563138e-06,0.0
1827,1.025882504279707e-06,0.0
1828,1.2492673893693684e-06,0.0
1829,1.0467847926243223e-06,8.57317605795771e-10
1830,1.3557449451973014e-06,0.0
1831,1.163103957146916e-06,0.0
1832,9.971587200396925e-07,0.0
1833,9.63757913696739e-07,0.0
1834,1.5588666322230438e-06,0.0
1835,1.016479046711538e-06,0.0
1836,9.113337181565484e-07,0.0
1837,1.1049131047879968e-06,6.957890930081589e-10
1838,1.4107681496344782e-06,0.0
1839,1.6646702953870829e-06,0.0
1840,1.3694830336419272e-06,0.0
1841,1.0780101122875863e-06,6.420548537278137e-10
1842,1.4523393465637469e-06,2.683306021822318e-09
1843,1.4779091928041055e-06,1.1813822142769936e-09
1844,1.3682983623919398e-06,1.097712254427563e-09
1845,1.292938826225054e-06,0.0
1846,9.408183827552818e-07,5.854501328173001e-10
1847,1.3278116544057639e-06,0.0
1848,1.888213567724506e-06,0.0
1849,1.143790187896343e-06,8.379414939696517e-10
1850,1.0971017596617116e-06,0.0
1851,2.025768676805484e-06,6.449438760824933e-10
1852,1.0853079257522324e-06,0.0
1853,1.2009554595238114e-06,0.0
1854,9.830197223448245e-07,1.0391328908454511e-09
1855,1.340532268301331e-06,0.0
1856,1.1571017812239681e-06,0.0
1857,9.85576673828703e-07,9.763018171682347e-10
1858,1.5512952487028997e-06,2.9362056119808244e-09
1859,1.4365020422069108e-06,0.0
1860,1.3960410716329363e-06,4.577183909670879e-10
1861,1.1238141648384214e-06,0.0
1862,1.1462131332962144e-06,4.517986262886353e-10
1863,1.6986704853838575e-06,0.0
1864,1.1291584314232495e-06,9.589455896019672e-10
1865,1.1870661333901467e-06,4.706844358715045e-10
1866,1.058270827414276e-06,4.379051787850585e-09
1867,1.640735515451297e-06,1.455843445796745e-09
1868,1.6296644879121303e-06,1.975949626142892e-09
1869,9.820757103096156e-07,3.906815315701806e-09
1870,1.2804131315213851e-06,2.8670243956696595e-09
1871,1.5793690422150064e-06,7.434824311758348e-09
1872,1.2735696697241394e-06,9.675742873582749e-09
1873,1.179841489395983e-06,4.190203295451056e-09
1874,1.7607172668743232e-06,4.182226565063729e-09
1875,1.2261232551491474e-06,4.577221712764867e-09
1876,1.2031569331938385e-06,1.0882827083946722e-08
1877,1.0749210065386094e-06,6.80329748092845e-09
1878,1.164336266956667e-06,7.246906574831513e-09
1879,2.024630379127146e-06,3.665595160740054e-09
1880,1.254047159449101e-06,2.5671385017744797e-09
1881,1.2027575548856362e-06,9.064259787194828e-09
1882,1.1533782209305343e-06,4.45910792734594e-08
1883,1.5242245203772598e-06,3.4756364897248204e-08
1884,1.6061928711508244e-06,2.9047466654219534e-08
1885,1.5347058381909306e-06,2.9005360113742995e-08
1886,1.3345763616445794e-06,1.742435196128156e-08
1887,1.3273303791638824e-06,1.1099172247952538e-08
1888,1.4107867174484312e-06,6.974676391990897e-09
1889,1.310040091295761e-06,6.891650361495749e-09
1890,9.897123621205317e-07,6.554386366985909e-09
1891,1.3322120189229736e-06,4.461953917456185e-09
1892,1.303223743809312e-06,3.761107425503951e-09
1893,1.2236773909712895e-06,2.155445821827584e-08
1894,1.4739300759902818e-06,6.301539290376468e-09
1895,1.5004405691243505e-06,1.5046536461227333e-08
