year,petites_ADJ ondes_NOUN,petites_ADJ rondes_NOUN
1800,6.917161954334006e-08,0.0
1801,3.809892135109294e-08,0.0
1802,8.727576528144709e-08,0.0
1803,7.606323038089613e-08,0.0
1804,2.9662210465630778e-08,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-09,0.0
1807,4.839823830593559e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.300593315851529e-08,0.0
1814,5.034683425719777e-08,1.2586708564299443e-08
1815,5.394447111228828e-09,2.697223555614414e-09
1816,9.270415546325239e-08,0.0
1817,4.3592454090912724e-08,3.113746815941454e-09
1818,6.675859509641668e-08,1.1921177378582115e-09
1819,4.5544620519422097e-08,2.070209959015301e-08
1820,1.1866481131050932e-08,0.0
1821,4.930744257336528e-09,0.0
1822,1.2030739071633434e-08,0.0
1823,6.226093063332883e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,4.492072136486058e-08,0.0
1827,4.885154680778214e-08,0.0
1828,5.870272801189458e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,1.6235963684607668e-08,0.0
1833,2.20088942626262e-08,0.0
1834,1.6802156110884425e-08,9.334530925997342e-10
1835,6.655517381659593e-08,0.0
1836,3.36037508930076e-08,0.0
1837,2.5048407792382932e-08,0.0
1838,5.5547026533986354e-08,0.0
1839,2.9364196407755117e-08,7.690622361167243e-09
1840,1.9746034141121527e-08,0.0
1841,2.1829865914924085e-08,1.926164561183441e-09
1842,7.379091560011375e-09,0.0
1843,1.1223130869097986e-08,0.0
1844,4.006649589882727e-08,1.097712254427563e-09
1845,2.0088821273134272e-08,0.0
1846,8.196302303531411e-09,0.0
1847,2.9662729161827883e-08,1.6179670936367074e-09
1848,0.0,0.0
1849,1.508294644736452e-08,0.0
1850,2.308258650884909e-08,0.0
1851,1.483370937194195e-08,6.449438760824933e-10
1852,2.018269107395554e-08,0.0
1853,2.5679307569248522e-08,0.0
1854,1.454786069388092e-08,1.558699391779328e-09
1855,3.290301009428731e-08,0.0
1856,2.692138423299184e-08,0.0
1857,1.8549734193129552e-08,3.905207268672939e-09
1858,2.2510910469009104e-08,9.787352039936081e-10
1859,1.5276519604867644e-08,0.0
1860,1.5562426014525954e-08,4.577183909670879e-10
1861,7.545541969022906e-09,2.357981809808507e-09
1862,2.1234535907410645e-08,2.710791813242963e-09
1863,1.1987090431375691e-08,0.0
1864,6.233146443435089e-09,9.589455896019672e-10
1865,1.694463946932956e-08,1.4120533631256649e-09
1866,5.838735361862746e-08,3.4059290943133647e-09
1867,2.426405742994575e-08,6.308654931785895e-09
1868,5.433861360870651e-08,0.0
1869,3.809144999422642e-08,1.4650557433881772e-09
1870,2.2936195165357276e-08,0.0
1871,3.717412155879174e-08,0.0
1872,2.237515595027162e-08,0.0
1873,1.3767810003173508e-08,2.9930022904522957e-09
1874,4.301718448118663e-08,0.0
1875,2.1741803024610817e-08,2.2886108563824337e-09
1876,1.813804395567331e-08,4.232210137899983e-09
1877,2.8450154232473324e-08,2.4739263970730008e-09
1878,4.1065803202400275e-08,7.2469061862534545e-09
1879,9.774920428640144e-09,9.774920428640144e-09
1880,1.3477476912271413e-08,0.0
1881,3.346803723047742e-08,2.091752326904839e-09
1882,2.994923420374107e-08,2.6621540527571597e-09
1883,1.516641390253426e-08,4.423537092179686e-09
1884,2.3105939384038265e-08,6.601696966868076e-09
1885,1.6758653131887513e-08,1.2891271383708158e-09
1886,6.453463896605172e-08,0.0
1887,1.4363633837888301e-08,1.9586774424595887e-09
1888,9.510921827882157e-09,4.4384300679212174e-09
1889,1.8168895721260014e-08,2.5060546970934183e-09
1890,2.0974036729626278e-08,1.9663159989136147e-09
1891,1.3385862196457765e-08,0.0
1892,2.7581453565517222e-08,3.1342561879199593e-09
1893,1.970693297437265e-08,0.0
1894,2.0164925729204697e-08,3.780923574225881e-09
1895,3.370423939941247e-08,6.018614495673091e-09
1896,1.592197840238896e-08,3.5382172747233653e-09
1897,2.155884004650943e-08,5.826713556089658e-10
1898,2.6028432742464247e-08,5.6583548957434e-10
1899,2.266307141951529e-08,7.185851913504848e-09
1900,1.4015843596837385e-08,0.0
1901,4.079779358789892e-08,1.1177477832191585e-09
