year,veux_VERB ajouter_VERB,veux_VERB rajouter_VERB
1800,6.288328968651058e-09,0.0
1801,3.095537337571841e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.755305234496518e-08,0.0
1804,6.179627121127851e-08,0.0
1805,0.0,0.0
1806,4.034336598124355e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,9.036122072814123e-09,0.0
1810,2.106114038724627e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,4.090680150170556e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,2.98029441125891e-08,0.0
1819,5.072014630513877e-08,0.0
1820,1.542642635854463e-08,0.0
1821,2.070912508145284e-08,0.0
1822,3.709477880420309e-08,0.0
1823,1.2847492847356534e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,4.226612659863349e-08,0.0
1826,2.3781558056157337e-08,0.0
1827,9.217273166939322e-09,0.0
1828,8.255071293206129e-09,0.0
1829,7.715858174606183e-09,0.0
1830,1.982998831806526e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,4.058990921151917e-09,0.0
1833,3.59092489077284e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,3.2259599436201825e-08,0.0
1837,1.8090515752078318e-08,0.0
1838,3.471689069556305e-08,0.0
1839,6.9914749545318955e-09,0.0
1840,2.6115722917552375e-08,0.0
1841,2.0545755319290038e-08,0.0
1842,3.018719141323345e-08,0.0
1843,1.2404512972352677e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,1.3950569588416784e-08,0.0
1846,1.9319854160926297e-08,0.0
1847,2.6426796750911308e-08,0.0
1848,1.850401076808339e-08,0.0
1849,4.1059134758825167e-08,0.0
1850,2.851378333446064e-08,0.0
1851,2.3217978650791338e-08,0.0
1852,2.4740073101270355e-08,0.0
1853,1.3138249599364826e-08,0.0
1854,1.3508727469968562e-08,0.0
1855,2.0166361025530932e-08,0.0
1856,2.5368226630462232e-08,0.0
1857,1.4156376515472857e-08,0.0
1858,2.0553439838977283e-08,0.0
1859,1.782260738991681e-08,0.0
1860,1.2816115280145368e-08,0.0
1861,2.971057178058345e-08,0.0
1862,3.027050965442868e-08,0.0
1863,3.096664968893492e-08,0.0
1864,4.554991406280351e-08,0.0
1865,3.9066808454890634e-08,0.0
1866,4.4277076227672296e-08,0.0
1867,6.842464017609018e-08,0.0
1868,3.951899429921468e-08,0.0
1869,2.9301114423674335e-08,0.0
1870,3.1537268796455464e-08,0.0
1871,5.523012092112367e-08,0.0
1872,4.898344840853497e-08,0.0
1873,3.6514627765882324e-08,0.0
1874,4.719941060216115e-08,0.0
1875,2.689117728493784e-08,0.0
1876,3.808989390563511e-08,0.0
1877,2.783167118991514e-08,0.0
1878,3.6838439854136595e-08,0.0
1879,3.604501941367744e-08,0.0
1880,3.4656370218044685e-08,0.0
1881,2.719277958362909e-08,0.0
1882,2.994923420374107e-08,0.0
1883,4.549924170760278e-08,0.0
1884,7.856019124119484e-08,0.0
1885,3.0939052209078e-08,0.0
1886,2.5168509054651622e-08,0.0
1887,4.961982824625011e-08,0.0
1888,2.1558090423923204e-08,0.0
1889,4.9494580878217675e-08,0.0
1890,3.9326319978272295e-08,0.0
1891,4.0157587477551715e-08,0.0
1892,3.5103667528346705e-08,0.0
1893,2.9560400349737392e-08,0.0
1894,2.3945849747519787e-08,0.0
1895,2.5278181325916194e-08,0.0
1896,3.2433661090180976e-08,0.0
1897,3.729096675897381e-08,0.0
1898,4.356933303029109e-08,0.0
1899,2.8743407654019393e-08,0.0
1900,3.2703635355346705e-08,0.0
1901,4.918090112937534e-08,0.0
1902,4.4192553616539954e-08,0.0
1903,4.6981917023458664e-08,0.0
1904,4.460938995975994e-08,0.0
1905,5.26397414546409e-08,0.0
1906,5.19562632916859e-08,0.0
1907,6.53141114526079e-08,0.0
1908,4.2237946473733246e-08,0.0
1909,4.290767208203761e-08,0.0
1910,7.374927690761979e-08,0.0
1911,5.160762839295785e-08,0.0
1912,4.532196484774431e-08,0.0
1913,3.340883480973389e-08,0.0
1914,3.750176347239176e-08,0.0
1915,3.534228554258334e-08,0.0
1916,5.273981784625903e-08,0.0
1917,4.7155623406069935e-08,0.0
1918,3.101321510712296e-08,0.0
1919,4.511845830279526e-08,0.0
1920,3.256059599721084e-08,0.0
1921,3.7863738810983705e-08,0.0
1922,4.131644004701229e-08,0.0
1923,6.900366145146108e-08,0.0
1924,5.285566118118368e-08,0.0
1925,3.8493624288094e-08,0.0
1926,6.35329868714507e-08,0.0
