year,as_VERB établi_VERB,as_VERB rétabli_VERB
1800,2.5153315874604232e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.3427040812530322e-08,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,2.2246657849223084e-08,0.0
1805,9.097208675257207e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,9.360507036149102e-09,0.0
1811,3.259199843341776e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.80237220096069e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,1.779972080839798e-08,0.0
1821,2.1695274909916407e-08,0.0
1822,2.90742860897808e-08,0.0
1823,1.087095569118901e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,5.283265824829186e-09,0.0
1826,2.4662355713189754e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,1.9261833017480967e-08,0.0
1829,1.457439946506156e-08,5.143905745796928e-09
1830,9.39315203396518e-09,2.0873671680021744e-09
1831,2.494592976631793e-08,1.5591206103948707e-09
1832,1.8941957335982806e-08,0.0
1833,5.791814139399776e-09,0.0
1834,1.5868701908061666e-08,0.0
1835,2.7227116561334697e-08,7.563087933704082e-10
1836,2.8227150394855016e-08,0.0
1837,8.349468672008697e-09,2.7831563720326358e-09
1838,4.102905393210676e-08,0.0
1839,4.544459031308179e-08,6.9914751765765e-10
1840,1.0191501864653674e-08,0.0
1841,1.7977535904378783e-08,0.0
1842,3.018719141323345e-08,0.0
1843,1.594865928211675e-08,0.0
1844,1.756339607084101e-08,5.488561272137815e-10
1845,3.794555070157912e-08,0.0
1846,2.1661655580373917e-08,5.854501328173001e-10
1847,2.0494249852731627e-08,0.0
1848,7.24069959545659e-09,0.0
1849,1.75967720394965e-08,0.0
1850,1.4935791270431764e-08,0.0
1851,1.6768540334055615e-08,0.0
1852,1.6927417689771573e-08,1.3021090872200602e-09
1853,2.20961471342207e-08,0.0
1854,9.871762074453727e-09,0.0
1855,1.0083180512765466e-08,0.0
1856,2.329735160344626e-08,0.0
1857,1.122747050885664e-08,9.763018171682347e-10
1858,1.663849857891364e-08,4.404308473482388e-09
1859,7.129042689513199e-09,0.0
1860,2.4716793944890014e-08,0.0
1861,1.6034276129062164e-08,0.0
1862,6.776979422085105e-09,0.0
1863,1.4484400345793347e-08,0.0
1864,1.3904711160250827e-08,0.0
1865,1.2237795665726026e-08,2.3534221238463715e-09
1866,1.0217787504984699e-08,0.0
1867,6.308654931785895e-09,4.85281148598915e-10
1868,1.6301584082611953e-08,0.0
1869,1.904572499711321e-08,0.0
1870,2.5229814681893004e-08,0.0
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,2.9027228620748247e-08,0.0
1873,1.3169209722718733e-08,0.0
1874,1.7326366119618797e-08,2.9873046258899194e-09
1875,1.3159512590732447e-08,0.0
1876,1.5719638923883394e-08,3.02300739996042e-09
1877,1.0514186854493346e-08,0.0
1878,8.4547240319921e-09,0.0
1879,1.8938909107646396e-08,3.665595160740054e-09
1880,8.343199908722454e-09,0.0
1881,9.761510710859511e-09,0.0
1882,5.989846840748214e-09,0.0
1883,8.21514056781325e-09,1.2638677882037541e-09
1884,9.242375753615306e-09,0.0
1885,9.023890079618013e-09,0.0
1886,1.7424351739236954e-08,0.0
1887,1.2404957061562527e-08,0.0
1888,3.1703073499755874e-09,0.0
1889,1.2530273707511697e-08,1.8795409673089125e-09
1890,1.2453334363726754e-08,0.0
1891,4.461953917456185e-09,0.0
1892,1.2537024751679837e-08,0.0
1893,5.542574843531156e-09,1.2316833108982905e-09
1894,5.041231432301174e-09,0.0
1895,7.22233739480771e-09,0.0
1896,1.2973464080801023e-08,0.0
1897,1.5149455023788505e-08,0.0
1898,1.1316709347397591e-08,0.0
1899,9.949641111006713e-09,0.0
1900,5.19105292084987e-09,0.0
1901,7.824234593556412e-09,0.0
1902,4.910283735171106e-09,9.820567692386817e-10
1903,1.7280704867062013e-08,0.0
1904,6.987012746151322e-09,0.0
1905,1.3417973399043603e-08,0.0
1906,4.115347618238729e-09,1.0288369045596824e-09
1907,1.1828539925318182e-08,0.0
1908,1.5225305460830896e-08,0.0
1909,1.1552065082298668e-08,1.1001967115120692e-09
1910,9.619471441624228e-09,2.67207544979442e-09
1911,9.576673676292558e-09,0.0
1912,1.1981668990301841e-08,0.0
1913,1.2727175757731857e-08,0.0
1914,4.018046340092951e-09,0.0
1915,4.712304768617059e-09,0.0
1916,7.69122365795738e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,4.594550517822427e-09,0.0
1919,8.287063479883727e-09,0.0
1920,3.786115865267448e-09,0.0
1921,9.844571380313027e-09,7.572747429129834e-10
1922,2.951174193910333e-09,0.0
1923,5.307974060286824e-09,0.0
1924,6.445812328337297e-09,0.0
1925,1.0998178368026856e-08,1.0998177923937646e-09
1926,1.0031524944054127e-08,1.1146138456652466e-09
1927,1.1149224654616319e-08,3.3447675740205796e-09
1928,5.713020723163709e-09,0.0
1929,2.2280812750352652e-09,0.0
1930,5.2518016602221e-09,1.0503603542488804e-09
1931,3.4216069977333063e-09,0.0
1932,1.0959536389520963e-08,0.0
1933,8.02946331646126e-09,0.0
1934,2.3963160344919743e-09,1.1981580172459871e-09
1935,5.98414207075848e-09,0.0
1936,1.33371855781661e-08,0.0
1937,8.813782592653752e-09,1.2591118148108649e-09
1938,1.6854778905894818e-08,0.0
1939,1.5294050470515685e-08,1.5294050470515685e-09
1940,4.3108308034334186e-08,0.0
1941,0.0,0.0
1942,2.1239483061208375e-08,0.0
1943,5.806470415592457e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,8.714016175304096e-09,0.0
1946,6.960552134671616e-09,0.0
1947,9.536696765621855e-09,0.0
1948,1.522064252412747e-08,4.348755133776194e-09
1949,7.853606653895895e-09,0.0
1950,9.571825110299415e-09,0.0
1951,3.1984206394497505e-09,0.0
1952,2.5307528517259925e-08,0.0
1953,8.619061908632375e-09,1.0773827385790469e-09
1954,1.6613311615287785e-08,0.0
1955,1.0324168187025862e-08,0.0
1956,6.976913269340912e-09,0.0
1957,8.835037590415595e-09,0.0
1958,4.9633461784992505e-09,0.0
1959,2.712761748568937e-08,7.750747821333448e-10
1960,1.7994166157109248e-08,0.0
