year,devais_VERB enseigner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,1.504245972228091e-08
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,7.57900142644985e-09
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,6.037438549100216e-09
1843,0.0
1844,0.0
1845,0.0
1846,5.854501328173001e-10
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,6.510545436100301e-10
1853,5.971931837933653e-10
1854,0.0
1855,1.0613874223963649e-09
1856,0.0
1857,9.763018171682347e-10
1858,0.0
1859,3.5645213447565993e-09
1860,0.0
1861,3.772770984511453e-09
1862,0.0
1863,0.0
1864,9.589456340108882e-09
1865,4.23615986733239e-09
1866,4.865612912574591e-10
1867,0.0
1868,6.915823469455518e-09
1869,0.0
1870,1.1468097582678638e-09
1871,0.0
1872,1.8142017887967654e-09
1873,0.0
1874,1.7923826867161097e-09
1875,0.0
1876,1.209202959984168e-09
1877,0.0
1878,2.4156354694326865e-09
1879,6.10932526790009e-10
1880,0.0
1881,6.972507571312292e-10
1882,0.0
1883,0.0
1884,6.601696966868076e-10
1885,3.2228177904158883e-09
1886,0.0
1887,0.0
1888,6.340614699951175e-10
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,6.018614495673091e-10
1896,0.0
1897,3.4960281336537946e-09
1898,2.8291773368493978e-09
1899,4.9748205555033564e-09
1900,4.671947717582725e-09
1901,0.0
1902,2.9461704187383475e-09
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,2.67207544979442e-09
1911,0.0
1912,5.2094213387476884e-09
1913,3.181793939432964e-09
1914,0.0
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,7.377935484775833e-10
1923,5.307974060286824e-09
1924,1.289162443462999e-09
1925,1.0998177923937646e-09
1926,3.343841648018042e-09
1927,0.0
1928,2.2852082448565625e-09
1929,0.0
1930,5.2518016602221e-09
1931,1.1405356659111021e-09
1932,0.0
1933,0.0
1934,2.3963160344919743e-09
1935,2.393656828303392e-09
1936,0.0
1937,3.777335333410292e-09
1938,0.0
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,5.568441707737293e-09
1947,5.960435700558264e-09
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,3.232148326759443e-09
1954,6.840775057526116e-09
1955,1.8771215692936494e-09
1956,8.72114158667614e-10
1957,8.835037701437898e-10
1958,0.0
1959,3.8753737996444215e-09
1960,4.844583401109048e-09
1961,2.08444772553662e-09
1962,6.341956404476434e-10
1963,1.939815863494232e-09
1964,1.2167936658258327e-09
1965,2.73602163147757e-09
1966,1.1078149508847446e-09
1967,4.930335584241163e-10
1968,2.245707841908029e-09
1969,4.087581828571274e-09
1970,9.197450023812337e-10
1971,2.569198631618974e-09
1972,2.0520587451500205e-09
1973,1.102640756478479e-09
1974,1.6876715580593782e-09
1975,5.711480177694739e-10
1976,3.4281160132820787e-09
1977,2.3507127355770763e-09
1978,1.7821774056514528e-09
1979,2.925986564150662e-09
1980,2.2740602734216964e-09
1981,1.8976649140967083e-09
1982,1.2415004579935385e-09
1983,1.89459470334441e-09
1984,5.219107812592938e-09
1985,2.4062232206745193e-09
1986,5.994485463567401e-10
1987,1.8332451112712533e-09
1988,4.797243047249822e-09
1989,2.7440609784434855e-09
1990,4.358920779878872e-09
1991,2.9307325455363298e-09
1992,2.2039776670368383e-09
1993,3.877445031719162e-09
1994,4.2199412852994556e-09
1995,4.337960657352369e-09
1996,2.6690460952494277e-09
1997,1.917957792585412e-09
1998,2.86087753487152e-09
1999,5.484241505371301e-09
2000,3.5344251969604557e-09
2001,7.0099388516098315e-09
2002,4.81934359086722e-09
2003,2.9168460979889232e-09
2004,6.166707589017051e-09
2005,2.702249757291497e-09
2006,3.706100981659688e-09
2007,3.1955835755326234e-09
2008,5.960415716543821e-09
2009,2.384096253749135e-09
2010,5.196172381261022e-09
2011,1.911985902935953e-09
2012,6.468080293586809e-09
2013,7.80955033974351e-09
2014,6.063246349441442e-09
2015,3.768178213903184e-09
2016,4.971216327476213e-09
2017,6.5405894034142875e-09
2018,3.3559066636712487e-09
2019,1.2754939326953263e-09
