year,belles_ADJ règles_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,1.3427040812530322e-08
1803,9.751696339321825e-09
1804,3.707776485839531e-08
1805,2.2743021688143017e-08
1806,2.305335300434308e-08
1807,0.0
1808,1.3596443970698147e-08
1809,2.259030518203531e-09
1810,2.8081521108447305e-08
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,1.1502966579257645e-08
1814,0.0
1815,3.776112933451259e-08
1816,5.0987285504788815e-08
1817,4.3592454090912724e-08
1818,2.5034472272977837e-08
1819,1.3456364911235141e-08
1820,1.0679833017945839e-08
1821,1.3806083387635226e-08
1822,1.804610860745015e-08
1823,2.2730180404550993e-08
1824,1.51580028528997e-08
1825,1.1447076175841175e-08
1826,7.927186018719112e-09
1827,2.7651818612639545e-08
1828,1.0089530988466322e-08
1829,1.457439946506156e-08
1830,1.461157062010443e-08
1831,1.091384405071949e-08
1832,9.470978667991403e-09
1833,1.1583628278799551e-08
1834,1.8669062740173104e-08
1835,9.832014313815307e-09
1836,3.5619976301859424e-08
1837,9.74104708006962e-09
1838,2.7773513266993177e-08
1839,9.788065469251706e-09
1840,1.6561189752906103e-08
1841,2.8250413564023802e-08
1842,1.6770663080478698e-08
1843,4.1939067330076796e-08
1844,8.232841963717874e-09
1845,2.6785095030845696e-08
1846,1.7563504428608212e-08
1847,2.2651539310913904e-08
1848,3.539897619475596e-08
1849,1.75967720394965e-08
1850,9.504594444820214e-09
1851,1.9993260380601896e-08
1852,1.7578472011337e-08
1853,2.6873692604567623e-08
1854,3.3252252507054436e-08
1855,1.1144567935161831e-08
1856,1.8120163147727908e-08
1857,1.5620829074691756e-08
1858,1.3702292633865909e-08
1859,2.5970084749360467e-08
1860,2.70053845952134e-08
1861,1.3676294763342867e-08
1862,1.8523744316212287e-08
1863,3.146611149418277e-08
1864,7.671564716815737e-09
1865,2.4946274379544775e-08
1866,1.897589108068587e-08
1867,1.2132028714972876e-08
1868,7.409810987013543e-09
1869,3.125452252561445e-08
1870,7.454262984651905e-09
1871,3.18635318130589e-09
1872,1.5723081503438152e-08
1873,7.781805422268917e-09
1874,1.3144139998644278e-08
1875,1.3731664694205392e-08
1876,1.753344314181504e-08
1877,1.1751150275074451e-08
1878,1.4493812372506909e-08
1879,9.163987790827832e-09
1880,1.0910338410496934e-08
1881,3.4862537301449947e-09
1882,1.1979693681496428e-08
1883,2.5277355764075082e-09
1884,4.621187876807653e-09
1885,7.090199094506033e-09
1886,7.098810428374236e-09
1887,3.264462256069578e-09
1888,2.028996703984376e-08
1889,1.0650732740202784e-08
1890,2.6217545912032847e-09
1891,8.286486163910922e-09
1892,2.005923960268774e-08
1893,1.4780200174868696e-08
1894,1.1342770278588432e-08
1895,1.8055843487019274e-09
1896,1.179405795248556e-09
1897,2.2724183423861177e-08
1898,1.1882545614128048e-08
1899,1.2713430308508578e-08
1900,4.671947717582725e-09
1901,5.58873880507349e-09
1902,7.365425602756659e-09
1903,7.560307935250421e-09
1904,7.524475265086039e-09
1905,6.708986699521802e-09
1906,3.600929110447737e-09
1907,2.5714217422034835e-09
1908,1.080505640516094e-08
1909,1.4852655993990993e-08
1910,1.1757131268552712e-08
1911,1.4365010514438836e-08
1912,1.4586379215586476e-08
1913,1.5378670781274195e-08
1914,1.339348720819089e-08
1915,7.068456930880984e-09
1916,9.888715624128963e-09
1917,1.315970976634162e-08
1918,1.2635013924011673e-08
1919,1.012863304339362e-08
1920,9.086678076641874e-09
1921,1.817459427400081e-08
1922,1.623145884366295e-08
1923,0.0
1924,5.156649773851996e-09
1925,1.6497267552040284e-08
1926,1.4489979882625903e-08
1927,1.0034302277972529e-08
1928,1.3711249025050165e-08
1929,6.684243825105796e-09
1930,6.302162347537887e-09
1931,1.2545892325022123e-08
1932,6.575722188983946e-09
1933,2.064719240024715e-08
1934,1.1981580172459871e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,2.5182236296217297e-09
1938,9.075650453382877e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,3.034211770724937e-09
1943,2.9032351633873077e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
