year,as_VERB empli_VERB,as_VERB rempli_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,1.4287095950749062e-08
1802,0.0,2.6854081625060644e-08
1803,0.0,4.4857802805609026e-08
1804,0.0,3.707776485839531e-08
1805,0.0,1.7057265822018053e-08
1806,0.0,1.152667650217154e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,1.129515236897305e-08
1810,0.0,2.574139479349924e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466772298927026e-08
1815,0.0,8.091670444798638e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,4.670620334934483e-09
1818,0.0,1.7881765401739358e-08
1819,0.0,1.1386155129855524e-08
1820,0.0,1.542642635854463e-08
1821,0.0,2.6626018723163725e-08
1822,0.0,3.0076847679083585e-08
1823,0.0,2.9648060007048116e-08
1824,0.0,9.263223965660927e-09
1825,0.0,3.169959583715354e-08
1826,0.0,2.7304752237000685e-08
1827,0.0,4.608636583469661e-09
1828,0.0,5.503380862137419e-09
1829,0.0,7.715858174606183e-09
1830,0.0,2.400472176589119e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,9.470978667991403e-09
1833,0.0,1.7375443306377747e-08
1834,0.0,1.6802156110884425e-08
1835,0.0,8.31939672707449e-09
1836,0.0,3.091545153210973e-08
1837,0.0,3.270208637218275e-08
1838,0.0,2.2723781967215473e-08
1839,0.0,2.6567605004856887e-08
1840,0.0,1.592422194107712e-08
1841,0.0,2.1829865914924085e-08
1842,0.0,6.708265054555795e-09
1843,0.0,1.2404512972352677e-08
1844,0.0,7.1351298203126134e-09
1845,0.0,1.0044410636567136e-08
1846,0.0,1.9905304071698993e-08
1847,0.0,9.168480197274675e-09
1848,0.0,1.287235473768078e-08
1849,0.0,1.1731181359664333e-08
1850,0.0,1.1541293254424545e-08
1851,1.2898877521649865e-09,1.0319102017319892e-08
1852,0.0,8.463708844885787e-09
1853,0.0,1.851298847554972e-08
1854,0.0,2.1302223984775992e-08
1855,0.0,5.306937111981824e-09
1856,0.0,6.212626857404757e-09
1857,0.0,2.782460128969433e-08
1858,0.0,1.6149130033227266e-08
1859,0.0,1.4258085379026397e-08
1860,0.0,1.9681891672007623e-08
1861,4.715963730639317e-10,1.2733101684148096e-08
1862,0.0,6.325180823552046e-09
1863,0.0,2.7470415275843152e-08
1864,0.0,2.9247839705703882e-08
1865,0.0,1.4591217123438582e-08
1866,0.0,2.092213513549268e-08
1867,0.0,1.6014277903764196e-08
1868,0.0,2.321740844024589e-08
1869,4.883519144627257e-10,7.325278605918584e-09
1870,0.0,2.0069171213776826e-08
1871,0.0,1.6993883633631413e-08
1872,1.2094678591978436e-09,1.8746751706544273e-08
1873,0.0,7.781805422268917e-09
1874,1.1949218281515073e-09,1.7326366119618797e-08
1875,5.721527140956084e-10,9.7265964171811e-09
1876,0.0,2.478866001354163e-08
1877,0.0,1.36065949618569e-08
1878,0.0,1.268208649207736e-08
1879,6.10932526790009e-10,1.7717043832021773e-08
1880,0.0,5.134277003548959e-09
1881,0.0,7.669758161910067e-09
1882,0.0,1.3310770263785798e-08
1883,1.2638677882037541e-09,2.274962085380139e-08
1884,0.0,7.922036360241691e-09
1885,6.445635691854079e-10,5.80107206715752e-09
1886,0.0,2.0651084398082276e-08
1887,0.0,1.7628096316002484e-08
1888,0.0,3.1703073499755874e-09
1889,6.265136742733546e-10,1.0650732740202784e-08
1890,0.0,7.865263995654459e-09
1891,0.0,5.099376032546843e-09
1892,3.1342561879199593e-09,6.268512375839919e-09
1893,6.158416554491453e-10,1.847525021858587e-09
1894,1.2603078580752936e-09,1.0082462864602348e-08
1895,0.0,7.824199066419624e-09
1896,0.0,4.717623180994224e-09
1897,0.0,5.826713334045053e-09
1898,1.6975064687230201e-09,3.3950129374460403e-09
1899,0.0,7.185851913504848e-09
1900,0.0,9.34389543516545e-09
1901,0.0,3.353243460679778e-09
1902,0.0,9.820567692386817e-10
1903,0.0,7.020286574288548e-09
1904,0.0,9.674325340824907e-09
1905,5.160759042333041e-10,5.676835002077496e-09
1906,0.0,7.201858220895474e-09
1907,5.142843373384665e-10,7.71426478252124e-09
1908,0.0,1.080505640516094e-08
1909,0.0,1.4302557360679202e-08
1910,0.0,1.60324518105881e-08
1911,0.0,6.916486494645824e-09
1912,0.0,3.646594803896619e-09
1913,0.0,1.7499866444836698e-08
1914,0.0,6.696743604095445e-09
1915,0.0,4.712304768617059e-09
1916,0.0,7.69122365795738e-09
1917,0.0,5.483212106582869e-09
1918,0.0,1.2635013924011673e-08
1919,9.207848372660976e-10,8.287063479883727e-09
1920,0.0,1.817335615328375e-08
1921,0.0,9.087297137000405e-09
1922,0.0,8.853522359686394e-09
1923,0.0,1.0615948120573648e-09
1924,0.0,2.578324886925998e-09
1925,0.0,3.299453377181294e-09
1926,0.0,7.802296586589819e-09
1927,0.0,6.689535148041159e-09
1928,0.0,6.8556245125250825e-09
1929,3.342121912552898e-09,4.4561625500705304e-09
1930,0.0,9.453243521306831e-09
1931,0.0,7.983749661377715e-09
1932,0.0,1.6439305028370654e-08
1933,0.0,6.882397318719313e-09
1934,0.0,3.5944740517379614e-09
1935,0.0,4.787313656606784e-09
1936,0.0,9.699771652549316e-09
1937,0.0,1.3850230295986421e-08
1938,0.0,3.8895642262559704e-09
1939,0.0,9.176430282309411e-09
1940,0.0,1.0143131667916805e-08
1941,0.0,1.1806010391524069e-08
1942,0.0,3.034211770724937e-09
1943,0.0,2.9032352077962287e-09
1944,0.0,3.534504600111177e-08
1945,2.178504043826024e-09,2.178504043826024e-09
1946,0.0,1.1136883415474585e-08
1947,2.3841741914054637e-09,1.7881307101674793e-08
1948,0.0,1.0871888278529696e-08
1949,0.0,9.817008539414473e-09
1950,0.0,1.701657836861159e-08
1951,0.0,6.396841278899501e-09
1952,0.0,2.1089607837865287e-09
1953,0.0,7.54167928107563e-09
1954,0.0,6.840775057526116e-09
1955,9.385607846468247e-10,9.385607846468247e-10
1956,8.72114158667614e-10,6.104799332717903e-09
1957,0.0,2.03205861026845e-08
1958,8.272243445794913e-10,9.099467845885556e-09
1959,7.750747821333448e-10,6.200598257066758e-09
1960,0.0,2.7683333403416555e-09
1961,0.0,1.111705483225478e-08
1962,0.0,1.1415521861124489e-08
1963,1.939815863494232e-09,1.2285501505004959e-08
1964,1.8251904432275978e-09,7.909158661334459e-09
1965,0.0,8.755269398363907e-09
1966,0.0,7.200797291773142e-09
1967,4.930335584241163e-10,1.2818872185960117e-08
1968,0.0,7.635406973349745e-09
1969,4.5417578031781147e-10,7.72098829315837e-09
1970,0.0,7.817832603507213e-09
1971,0.0,1.3359833239690033e-08
1972,0.0,9.747279428040656e-09
1973,0.0,5.513203671370093e-09
1974,5.625571675160757e-10,7.313243344242437e-09
1975,0.0,8.567219822452898e-09
1976,0.0,6.2848797277581525e-09
1977,0.0,7.052138428775834e-09
1978,0.0,3.5643548113029055e-09
1979,0.0,7.022368020415115e-09
1980,5.685150683554241e-10,5.6851505725319385e-09
1981,6.325549528618524e-10,7.590659656386833e-09
1982,6.207502289967692e-10,1.8622506869903077e-09
1983,0.0,1.3893695083311286e-08
1984,5.799008495621649e-10,1.739702604197646e-08
1985,6.015558051686298e-10,1.142956040922627e-08
1986,0.0,5.994485352545098e-09
1987,6.110816852533674e-10,7.332980445085013e-09
1988,0.0,7.795519785247507e-09
1989,0.0,6.585746614717891e-09
1990,5.44865097484859e-10,8.717841559757744e-09
1991,3.5168792322792797e-09,5.8614650910726596e-09
1992,0.0,7.713921945651236e-09
1993,0.0,7.754890063438324e-09
1994,5.274926606624319e-10,1.160483886764041e-08
1995,2.7112254663563817e-09,6.506940763983948e-09
1996,5.338092190498855e-10,5.3380921904988554e-09
1997,4.79489448146353e-10,8.151320507465698e-09
1998,4.768129224785866e-10,9.536258005482523e-09
1999,0.0,1.7823785114501334e-08
2000,4.4180314962005696e-10,1.7230322058026104e-08
2001,0.0,7.0099388516098315e-09
2002,1.3143663935011318e-09,7.886198361006791e-09
2003,4.1669229178253886e-10,8.333845613606172e-09
2004,8.809582507929292e-10,8.369103632333008e-09
2005,1.8014998381943315e-09,1.4411998705554652e-08
2006,4.1178899179428186e-10,7.823991232669414e-09
2007,0.0,1.078509459517818e-08
2008,8.514879357157668e-10,1.958422224390688e-08
2009,0.0,1.1443662017995848e-08
2010,4.723793023408973e-10,2.645324137517946e-08
2011,0.0,2.4855816960211996e-08
2012,1.3617010852229328e-09,3.063827591631707e-08
2013,1.3945624655065103e-09,3.904775169871755e-08
2014,1.5158115873603606e-09,3.443057750018852e-08
2015,1.994917786518613e-09,3.147536986602972e-08
2016,1.0356699942093428e-09,4.432667566334203e-08
2017,7.54683426862357e-10,4.6790372465466135e-08
2018,1.8070267504555204e-09,4.1303465536657313e-08
2019,3.5713827450933877e-09,5.1274852808091964e-08
