year,plusieurs_DET arts_NOUN,plusieurs_DET rares_ADJ
1800,7.766086334015654e-07,0.0
1801,5.357660786131646e-07,9.524730337773235e-09
1802,5.661735258399858e-07,3.1329761895904085e-08
1803,5.577970290104872e-07,1.950339267864365e-08
1804,4.7212353271319785e-07,9.887403784603066e-09
1805,4.093743901645297e-07,1.421438877713399e-08
1806,2.9681191904273874e-07,0.0
1807,3.871858860193811e-07,0.0
1808,4.1922368332336646e-07,1.8128591960930862e-08
1809,7.635523013860279e-07,0.0
1810,3.112368620605821e-07,0.0
1811,4.512738200901367e-07,3.008491944456182e-08
1812,2.853912830502736e-07,2.6672082320544632e-09
1813,2.990771328370556e-07,5.751483289628823e-09
1814,2.6746754855366817e-07,0.0
1815,1.6722785467493395e-07,0.0
1816,1.4832664518849015e-07,2.3176038865813098e-09
1817,4.1568520714463375e-07,4.670620334934483e-09
1818,3.016057954496887e-07,1.1921176934492905e-08
1819,4.357792082743117e-07,1.5526575580793178e-08
1820,3.4650124192125986e-07,0.0
1821,3.471243843478078e-07,0.0
1822,3.8498363608141517e-07,8.02049271442229e-09
1823,3.9333094969951077e-07,1.8777104315859106e-08
1824,2.4758071415220684e-07,2.6105450245950124e-08
1825,3.099516074911435e-07,1.7610886970942374e-08
1826,2.5366994194087056e-07,8.80798456392995e-09
1827,2.1752764922666756e-07,1.1060727445055818e-08
1828,3.21947770887121e-07,5.503380862137419e-09
1829,3.0263310835110246e-07,0.0
1830,2.6092088400986313e-07,1.461157062010443e-08
1831,2.728461083734146e-07,1.5591206103948707e-08
1832,2.638344049898933e-07,1.3529969367098715e-09
1833,2.050302256861869e-07,3.4750886612755494e-09
1834,2.0535968037194152e-07,1.213489042584115e-08
1835,3.494146625371286e-07,1.3613558280667348e-08
1836,2.2447305703110487e-07,1.5457725766054864e-08
1837,1.405494008954733e-07,9.74104708006962e-09
1838,2.0451403881516228e-07,1.0730675015224733e-08
1839,2.1323999810363148e-07,7.690622361167243e-09
1840,1.5350949489345567e-07,1.0828470564661075e-08
1841,1.5794548735570402e-07,5.1364388298225094e-09
1842,1.0599058430926789e-07,1.341653010911159e-09
1843,1.4058448238873922e-07,1.7720733769266417e-09
1844,1.7673167462817219e-07,6.586273748609983e-09
1845,8.258737693722651e-08,1.1160455892778032e-09
1846,8.898842129845264e-08,2.9272506640865004e-09
1847,9.707802473002403e-08,4.314578916364553e-09
1848,7.884317199113866e-08,6.43617736884039e-09
1849,4.1897074254393374e-08,5.02764896381791e-09
