year,pouvez_VERB établir_VERB,pouvez_VERB rétablir_VERB
1800,2.5153315874604232e-08,0.0
1801,0.0,0.0
1802,1.5664880947952042e-08,0.0
1803,7.801356893821776e-09,1.950339223455444e-09
1804,0.0,1.730295728918918e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,0.0
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,9.360507036149102e-09
1811,2.5070767684098882e-09,1.7549536934780008e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,8.627225156487839e-09
1814,1.2586708564299443e-08,0.0
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,6.952811659743929e-09,0.0
1817,0.0,7.784366928831332e-09
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,8.280840013696888e-09,0.0
1820,2.4919611263385377e-08,1.4239777357261119e-08
1821,1.7750679148775816e-08,9.86148829262845e-10
1822,1.1028177482330648e-08,0.0
1823,2.4706716672540097e-08,4.941343334508019e-09
1824,1.431589158329416e-08,8.421112696055388e-10
1825,1.2327619813845558e-08,8.805443041381977e-10
1826,1.4092774947016551e-08,0.0
1827,1.474763688946723e-08,0.0
1828,8.255071293206129e-09,1.559291185060374e-08
1829,1.5431716349212365e-08,8.57317605795771e-10
1830,5.218417697960831e-09,4.174734336004349e-09
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,2.705993873419743e-09
1833,4.6334514003376626e-09,0.0
1834,2.14694217959277e-08,1.8669061851994684e-09
1835,1.5882484660778573e-08,3.025235173481633e-09
1836,5.376600054063374e-09,1.344150035720304e-08
1837,2.7831563720326358e-09,3.478945576063097e-09
1838,4.418513555037862e-09,0.0
1839,2.0974425751774106e-08,6.9914751765765e-10
1840,1.2102408852854296e-08,4.458782232319436e-09
1841,8.346713542550788e-09,1.926164561183441e-09
1842,2.1466448174578545e-08,0.0
1843,8.860366662588604e-09,4.7255288571079745e-09
1844,1.5916826967554698e-08,5.488561272137815e-10
1845,8.928364714222425e-09,5.580227946389016e-10
1846,2.2832555401919308e-08,3.5127007969038004e-09
1847,1.6179670936367074e-08,2.6966118227278457e-09
1848,1.689496542667257e-08,0.0
1849,3.351765798242923e-08,1.6758829879393033e-09
1850,2.7155984128057753e-08,3.394498016007219e-09
1851,3.2247193804124663e-09,0.0
1852,1.5625309046640723e-08,5.208436348880241e-09
1853,9.555090940693844e-09,1.911018188138769e-08
1854,1.0391328686409906e-08,5.195664454227256e-10
1855,2.2289135870323662e-08,1.0613874223963649e-09
1856,6.73034605824796e-09,5.177189232874468e-10
1857,1.4644527368545823e-08,0.0
1858,8.808616946964776e-09,0.0
1859,1.323965115318515e-08,1.018434669930457e-09
1860,1.785101666484934e-08,5.492620580582752e-09
1861,1.0375120318428799e-08,1.4147891747029462e-09
1862,2.2138133104476765e-08,4.517986262886353e-10
1863,1.6482248454963155e-08,9.989241434027463e-09
1864,3.931677028390368e-08,0.0
1865,1.2708479601997169e-08,0.0
1866,9.244664589402873e-09,1.9462451650298362e-09
1867,1.7955402498159856e-08,1.455843445796745e-09
1868,1.4819621974027086e-08,4.93987406535723e-10
1869,1.7580669364747337e-08,0.0
1870,1.548193218070537e-08,5.734048791339319e-10
1871,1.274541272522356e-08,1.0621177271019633e-09
1872,2.8422494580127022e-08,4.8378714367913744e-09
1873,1.1972009161809183e-08,5.986004469882289e-10
1874,6.572069999322139e-09,1.1949218281515073e-09
1875,1.830888685105947e-08,1.1443054281912168e-09
1876,4.232210137899983e-09,1.813804439976252e-09
1877,1.4225077116236662e-08,6.184815992682502e-10
1878,1.6305540029293297e-08,0.0
1879,2.1382637882538802e-08,5.498392852132383e-09
1880,1.2193908105473383e-08,0.0
1881,1.6036766581351003e-08,6.972507571312292e-10
1882,9.983077475794744e-09,6.655385131892899e-10
1883,2.338155447034751e-08,8.847074184359371e-09
1884,1.2543224237049344e-08,5.941527270181268e-09
1885,1.4180398189012067e-08,0.0
1886,1.2906927970846027e-08,1.2906927748801422e-09
1887,1.3057849024278312e-08,6.528924623161458e-10
1888,1.521747527988282e-08,0.0
1889,9.397704836544563e-09,0.0
1890,1.0487018364813139e-08,3.2771931834929546e-09
1891,1.0836173736095134e-08,1.2748440081367107e-09
1892,8.149066310636499e-09,1.002961980134387e-08
1893,1.1085149687062312e-08,4.926733243593162e-09
1894,1.0082462864602348e-08,1.2603078580752936e-09
1895,1.444467478961542e-08,1.2037228991346183e-09
1896,1.47425724961181e-08,3.5382172747233653e-09
1897,1.1070755867592652e-08,2.9133566670225264e-09
1898,1.3014216371232123e-08,5.6583548957434e-10
1899,7.738609753005221e-09,3.8693048765026106e-09
1900,7.26747462209687e-09,1.557315876254961e-08
1901,8.941982265753268e-09,3.912117296778206e-09
1902,5.892340837476695e-09,1.4730852093691738e-09
1903,1.4040573148577096e-08,7.560307935250421e-09
1904,2.203596238814498e-08,0.0
1905,8.773290538499623e-09,0.0
1906,5.658602919567102e-09,1.0288369045596824e-09
1907,1.1828539925318182e-08,6.1714118260169926e-09
1908,7.367083831866239e-09,0.0
1909,9.351672325408344e-09,5.5009836685826485e-09
1910,9.619471441624228e-09,3.206490406526541e-09
1911,1.0108711201439746e-08,1.0640748282497725e-09
1912,1.2502610502451716e-08,2.6047106693738442e-09
1913,5.833288518886093e-09,0.0
1914,8.705766774141921e-09,6.696743604095445e-09
1915,1.5314990164938536e-08,9.424609537234119e-09
1916,1.538244731591476e-08,1.2086208478478966e-08
1917,1.4256351654751143e-08,4.386569774084137e-09
1918,1.6080926812378493e-08,1.1486376294556067e-09
1919,8.287063479883727e-09,1.8415696745321952e-09
1920,1.590168707821249e-08,0.0
1921,1.741731914250977e-08,0.0
1922,1.2542490601674672e-08,7.377935484775833e-10
1923,3.1847844361720945e-09,0.0
1924,7.734974438733389e-09,3.867487219366694e-09
1925,1.0998178368026856e-08,0.0
1926,6.687683296036084e-09,0.0
1927,8.919379901328739e-09,1.0034302277972529e-08
1928,3.4278122562625413e-09,4.570416489713125e-09
1929,4.4561625500705304e-09,8.912325100141061e-09
1930,1.470504518152893e-08,1.0503603542488804e-09
1931,1.4826963656844327e-08,0.0
1932,8.767629289252454e-09,0.0
1933,4.588264879146209e-09,0.0
1934,5.990790086229936e-09,1.1981580172459871e-09
1935,2.393656828303392e-09,0.0
1936,2.424942913137329e-09,0.0
1937,7.554670666820584e-09,0.0
1938,7.779128452511941e-09,3.8895642262559704e-09
1939,1.5294050470515685e-09,0.0
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,6.068423541449874e-09,0.0
1943,2.9032352077962287e-09,8.709705845433291e-09
1944,0.0,0.0
1945,0.0,2.178504043826024e-09
1946,6.960552134671616e-09,5.568441707737293e-09
1947,8.344609447874518e-09,0.0
1948,2.174377566888097e-09,2.174377566888097e-09
1949,1.9634016634739737e-09,0.0
1950,1.2762433776458693e-08,0.0
1951,1.0661401539380222e-08,3.1984206394497505e-09
1952,7.381362632230548e-09,4.2179215675730575e-09
1953,3.232148326759443e-09,2.1547654771580937e-09
1954,9.772536113672459e-10,9.772536113672459e-10
1955,8.447047505910632e-09,1.8771215692936494e-09
1956,6.104799332717903e-09,0.0
1957,5.301022731885041e-09,0.0
1958,4.1361216673863055e-09,2.4816730892496253e-09
1959,3.100299128533379e-09,7.750747821333448e-10
1960,7.612916519406099e-09,0.0
1961,6.948159270159238e-10,6.948159270159238e-10
1962,4.43936931660005e-09,0.0
1963,4.526237162849611e-09,0.0
1964,1.1559539991878864e-08,6.083968329129164e-10
1965,7.1136563306595235e-09,5.472043373977442e-10
1966,5.539074976468328e-09,0.0
1967,9.367637332502454e-09,2.465167847631733e-09
1968,1.3025106326836067e-08,1.3474247273492779e-09
1969,1.3171097990039016e-08,5.904285060864822e-09
1970,2.0694262303777577e-08,1.8394900047624674e-09
1971,8.735275613958038e-09,3.5968783507200897e-09
1972,7.182205497002769e-09,1.5390440033513642e-09
1973,7.718485406371656e-09,1.102640756478479e-09
1974,3.937900228123681e-09,5.625571675160757e-10
1975,1.1422960355389478e-09,5.711480177694739e-10
1976,6.2848797277581525e-09,2.285410749536254e-09
1977,1.23412418062685e-08,5.876781838942691e-10
1978,4.752473081737207e-09,5.940591352171509e-10
1979,5.851973128301324e-09,0.0
1980,9.664756106531058e-09,1.7055452605774235e-09
1981,7.590659656386833e-09,1.2651099057237047e-09
1982,4.345251713999687e-09,6.207502289967692e-10
1983,6.946847541655643e-09,3.78918940668882e-09
1984,8.118611560803402e-09,5.799008495621649e-10
1985,1.8046674155058895e-09,0.0
1986,8.991728250862252e-09,1.1988970927134801e-09
1987,9.166225112267057e-09,0.0
1988,5.99655392008458e-09,1.1993107618124554e-09
1989,1.3171493229435782e-08,0.0
1990,7.083246433836621e-09,5.44865097484859e-10
1991,8.7921980806982e-09,1.1722930404189924e-09
1992,3.30596661157756e-09,0.0
1993,3.323524566667402e-09,5.539207426075166e-10
1994,7.384897138251745e-09,0.0
1995,4.337960657352369e-09,5.422450821690461e-10
1996,8.540947504798169e-09,0.0
1997,3.3564262480467733e-09,0.0
1998,6.198567881199324e-09,0.0
1999,6.8553016596695215e-09,9.140402323914998e-10
2000,7.068850393920911e-09,0.0
2001,9.20054432640427e-09,4.3812117822561447e-10
2002,1.1391176002462089e-08,3.9430991805033955e-09
2003,6.250384210204629e-09,1.2500769308587678e-09
2004,1.4535810777260849e-08,3.0833537945085254e-09
2005,1.170974872621855e-08,5.404499514582994e-09
2006,8.64756888319107e-09,8.235779835885637e-10
2007,1.917350189728495e-08,5.592271090648637e-09
2008,2.1287197782271505e-08,4.257439734089985e-09
2009,2.574823909640145e-08,6.198650481792356e-09
2010,2.4563723499682055e-08,1.4171379625338432e-09
2011,3.823971894689748e-08,2.6767803529281764e-09
2012,2.8936147700164838e-08,3.744677901096338e-09
2013,2.2312999448104165e-08,3.6258624991347688e-09
2014,2.9450054839230688e-08,3.897801192920269e-09
2015,2.659890441236712e-08,3.546520632724537e-09
2016,2.8998760726040018e-08,4.142679976837371e-09
2017,2.1885819379008353e-08,3.2702947017071438e-09
2018,2.9945013579890656e-08,1.5488800242380307e-09
2019,2.8826161013739693e-08,1.7856913725466939e-09
