year,mieux_ADV entré_VERB,mieux_ADV rentré_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.562259560079383e-08,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.400487453257938e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.1588019432906549e-08,0.0
1817,7.784366928831332e-09,0.0
1818,8.344824387052086e-09,0.0
1819,4.140420006848444e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,1.2819934447350079e-08,0.0
1822,1.604098542884458e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,6.736890156844311e-09,0.0
1825,9.68598712347557e-09,0.0
1826,0.0,0.0
1827,6.452091305675367e-09,0.0
1828,2.109629271274116e-08,0.0
1829,7.715858174606183e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,1.0823975493678972e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334531370086552e-09,0.0
1835,6.050470346963266e-09,0.0
1836,9.409050427677812e-09,0.0
1837,2.7831563720326358e-09,0.0
1838,9.468243078458727e-09,0.0
1839,8.38977065598101e-09,0.0
1840,1.4013314952876499e-08,0.0
1841,2.5682194149112547e-09,0.0
1842,6.037438549100216e-09,0.0
1843,7.088293507706567e-09,0.0
1844,1.5367971784030487e-08,1.6465684371524958e-09
1845,1.1160455892778032e-09,0.0
1846,1.4636253098387897e-08,0.0
1847,3.235934187273415e-09,0.0
1848,0.0,0.0
1849,3.3517659758786067e-09,0.0
1850,1.5614691761811628e-08,0.0
1851,5.8044946626978344e-09,0.0
1852,3.906327261660181e-09,6.510545436100301e-10
1853,6.569124799682413e-09,0.0
1854,3.63696517347023e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,3.1063134287023786e-09,0.0
1857,7.322263684272912e-09,0.0
1858,2.4468380654951716e-09,0.0
1859,1.323965115318515e-08,0.0
1860,7.323494255473406e-09,0.0
1861,1.0375120318428799e-08,0.0
1862,8.584174260306554e-09,0.0
1863,2.9967726078439227e-09,9.989241656072068e-10
1864,1.4384183844029508e-09,0.0
1865,4.706844247692743e-09,0.0
1866,6.811858188626729e-09,0.0
1867,5.338092634588065e-09,4.85281148598915e-10
1868,9.87974857480367e-09,4.93987406535723e-10
1869,3.4184632902167778e-09,0.0
1870,4.013834153937523e-09,0.0
1871,1.911811864374613e-08,0.0
1872,9.675742873582749e-09,0.0
1873,4.788803575905831e-09,0.0
1874,5.974609251779839e-09,0.0
1875,8.010138330405425e-09,0.0
1876,4.232210137899983e-09,6.04601479992084e-10
1877,8.040260901509555e-09,0.0
1878,5.435179861734696e-09,6.039088673581716e-10
1879,5.498392852132383e-09,0.0
1880,0.0,0.0
1881,1.045876096839038e-08,0.0
1882,2.6621540527571597e-09,0.0
1883,4.423537092179686e-09,0.0
1884,4.621187876807653e-09,0.0
1885,4.511945039809007e-09,0.0
1886,3.872078213618124e-09,0.0
1887,2.6115698492645834e-09,1.3057849246322917e-09
1888,3.804368819970705e-09,0.0
1889,1.2530273485467092e-09,3.759081934617825e-09
1890,1.9663159989136147e-09,0.0
1891,5.099376032546843e-09,6.374220040683554e-10
1892,6.8953633913793055e-09,6.268512375839919e-10
1893,1.847525021858587e-09,0.0
1894,6.301539290376468e-09,0.0
1895,2.4074457982692365e-09,3.0093072478365457e-09
1896,3.5382172747233653e-09,0.0
1897,1.7480140668268973e-09,1.1653427112179315e-09
1898,5.6583546736987955e-09,0.0
1899,3.3165470370022376e-09,2.2110313580014918e-09
