year,veux_VERB appeler_VERB,veux_VERB rappeler_VERB
1800,6.288328968651058e-09,4.087413785214267e-08
1801,0.0,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,7.801356893821776e-09,1.755305234496518e-08
1804,4.943701892301533e-09,2.2246657849223084e-08
1805,5.685755422035754e-09,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,6.798221985349073e-09,1.1330369531492579e-08
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,2.2563691359778204e-08,2.5070767684098882e-09
1812,5.067695596494559e-08,0.0
1813,2.8757416448144113e-09,1.7254450312975678e-08
1814,0.0,2.8320094713762956e-08
1815,1.3486118000116676e-08,8.091670444798638e-09
1816,2.0858434979231788e-08,9.270415546325239e-09
1817,1.5568733857662664e-08,7.784366928831332e-09
1818,2.384235475716423e-09,5.960588467246453e-09
1819,0.0,5.175524897538253e-09
1820,1.898636980968149e-08,1.0679833017945839e-08
1821,1.2819934447350079e-08,3.648750634965836e-08
1822,2.4061478143266868e-08,5.012807946513931e-09
1823,2.2730180404550993e-08,9.882686669016039e-09
1824,9.263223965660927e-09,1.6842225392110777e-08
1825,5.283265824829186e-09,7.924898959288385e-09
1826,2.906634755106552e-08,2.642395191543301e-09
1827,1.3825909306319772e-08,2.3043183361437514e-08
1828,5.503380862137419e-09,2.2013523448549677e-08
1829,1.457439946506156e-08,2.4004892296147773e-08
1830,3.1310507520032616e-09,4.174734158368665e-08
1831,2.6505050598757407e-08,6.080570358335535e-08
1832,2.1647950987357945e-08,1.2176972319366541e-08
1833,2.89590715851773e-08,1.7375443306377747e-08
1834,1.213489042584115e-08,2.6136685704614138e-08
1835,1.285724948729694e-08,4.689114518896531e-08
1836,1.2769425516978572e-08,2.083432448785061e-08
1837,1.7394727436226276e-08,2.99189295560609e-08
1838,1.0730675015224733e-08,1.9567702125300457e-08
1839,2.307186797168015e-08,1.2584655095793096e-08
1840,4.458782143501594e-08,2.8026629905752998e-08
1841,1.8619591202195807e-08,3.146068650039524e-08
1842,2.4820581145945653e-08,2.2808102073668124e-08
1843,2.539971788451112e-08,2.0674189471492355e-08
1844,3.622450606144412e-08,6.037417232818143e-09
1845,3.5155437672074186e-08,3.1807299905040054e-08
1846,1.7563504428608212e-08,2.3418005312692003e-08
1847,2.1033571329098777e-08,7.172987182002544e-08
1848,6.355725190587691e-08,5.873011943435813e-08
1849,7.0387088157986e-08,5.1952373070207614e-08
1850,5.5669765686161554e-08,1.765138968323754e-08
1851,4.772584816237213e-08,2.96674187438839e-08
1852,3.450589147746541e-08,1.5625309046640723e-08
1853,3.0456853039595444e-08,2.9262466227919504e-08
1854,4.72805474771576e-08,3.688921879074769e-08
1855,7.005156987816008e-08,3.343370380548549e-08
1856,3.31340110903966e-08,1.8120163147727908e-08
1857,6.638852312335075e-08,2.5871997877402464e-08
1858,4.061751113226819e-08,2.397901255335455e-08
1859,2.34239969643113e-08,2.49516496353408e-08
1860,5.2637613379147297e-08,2.7920821210614122e-08
1861,3.489813238388706e-08,4.8574428035408346e-08
1862,8.448634503110952e-08,4.111367601922211e-08
1863,6.293222298836554e-08,3.8958042125614156e-08
1864,6.760566151342573e-08,6.281093334337129e-08
1865,5.742350239756888e-08,5.0833918407988676e-08
1866,7.20110691077025e-08,5.887391552050758e-08
1867,7.861554252031056e-08,5.192508467644075e-08
1868,5.878450082263953e-08,4.742279102742941e-08
1869,6.543915986867432e-08,5.4695412643468444e-08
1870,6.135432073506308e-08,9.23181886491875e-08
1871,7.647247457498452e-08,6.266494523288202e-08
1872,6.954439868422924e-08,6.833493415570047e-08
1873,8.979007048992571e-08,3.831042860724665e-08
1874,7.766991672042423e-08,3.883495836021211e-08
1875,5.2065896483100005e-08,8.124568751100014e-08
1876,7.557518699741195e-08,4.53451107773617e-08
1877,8.535045736834945e-08,6.80329748092845e-08
1878,6.280652087298222e-08,4.5293166550663955e-08
1879,6.964630472339195e-08,5.803859082220697e-08
1880,5.455169471701993e-08,4.043243251317108e-08
1881,7.042232397225234e-08,7.111957955885373e-08
1882,5.590523599607877e-08,4.3925542314582344e-08
1883,4.486730631469982e-08,7.456819872686538e-08
1884,7.591951600716129e-08,6.139578090369469e-08
1885,9.21725913372029e-08,4.640857653726016e-08
1886,5.2918402104751294e-08,6.582533274013258e-08
1887,8.814048158001242e-08,5.092561039532484e-08
1888,5.833365435137239e-08,4.628648753168818e-08
1889,4.8868066926388565e-08,3.3831739187917265e-08
1890,7.275369284798217e-08,4.9813337454907014e-08
1891,7.585321526448752e-08,6.501704774564132e-08
1892,4.952124754709075e-08,6.143142172732041e-08
1893,6.527921669885473e-08,6.281585029910275e-08
1894,4.7261544011689693e-08,5.8604314290278126e-08
1895,6.801034402315054e-08,4.814891596538473e-08
1896,4.9535042734305534e-08,6.014969500256484e-08
1897,7.516460698298033e-08,6.642453342919907e-08
1898,5.6583548513344795e-08,4.5266837389590364e-08
1899,5.859233098703953e-08,5.085372123403431e-08
1900,5.3467847038746186e-08,4.6200373304827735e-08
1901,5.756401222356544e-08,6.930036278163243e-08
1902,4.0264328760031276e-08,3.928226988136885e-08
1903,3.726151831529023e-08,6.048246348200337e-08
1904,4.08471514390385e-08,4.2997001514777367e-08
1905,6.399341145879589e-08,6.812202002492995e-08
1906,4.5268823356536814e-08,7.304741700409068e-08
1907,4.525702124169584e-08,6.891410464504588e-08
1908,6.286578013714461e-08,4.7640472899956876e-08
1909,4.565816524859656e-08,4.0707277548790444e-08
1910,5.985448581213859e-08,5.71824116946118e-08
1911,3.511446777793026e-08,5.586392859413536e-08
1912,4.740573444905749e-08,5.574080574888285e-08
1913,3.4999732889673396e-08,6.840856769940729e-08
1914,6.227971738326232e-08,7.835190274363413e-08
1915,3.887651445211304e-08,7.068457108516668e-08
1916,3.955486249651585e-08,6.482602543655958e-08
1917,3.947912929902486e-08,8.444146715191891e-08
1918,6.776961924970237e-08,9.993147642717304e-08
1919,4.1435317399418636e-08,8.65537757022139e-08
1920,2.6502810612782923e-08,6.66356356759934e-08
1921,2.120369302360814e-08,5.2251955651172466e-08
1922,3.24629176873259e-08,9.812654155894052e-08
1923,2.9724654737606215e-08,7.218844899625765e-08
1924,2.5783249313349188e-08,9.024137170854374e-08
1925,4.8391981977147225e-08,7.6987248576188e-08
1926,3.566764306128789e-08,8.916910587686289e-08
1927,3.9022285847067906e-08,8.919379723693055e-08
1928,2.742249805010033e-08,8.455270261720216e-08
1929,4.0105462062456354e-08,5.7930112262738476e-08
1930,3.151081173768944e-08,7.457558837131728e-08
1931,3.193499864551086e-08,8.89617837174228e-08
1932,3.835837958376942e-08,8.219652158913959e-08
1933,1.4911860191091364e-08,4.817677989876756e-08
1934,2.3963160344919743e-08,1.0543790551764687e-07
1935,9.574627313213568e-09,8.497481474023516e-08
1936,2.66743711563322e-08,7.1535815493462e-08
1937,3.399602022113868e-08,7.932404599841902e-08
1938,1.9447821131279852e-08,8.427389275311725e-08
1939,2.4470480752825097e-08,7.188203454688846e-08
1940,2.2822046474857416e-08,8.368083825871508e-08
1941,2.6563522936839945e-08,4.7224041566096275e-08
1942,9.102635090130207e-09,5.461581054078124e-08
1943,2.6129116648121453e-08,4.935499831049128e-08
1944,2.8918675454292497e-08,7.069009200222354e-08
1945,6.535512131478072e-09,1.0892519952676594e-07
1946,2.7842208538686464e-08,7.099762910911522e-08
1947,1.7881307101674793e-08,1.0371157799227149e-07
1948,1.195907639583993e-08,1.4568330186648382e-07
1949,2.3560819073509265e-08,1.7670615193310368e-07
1950,2.5524867552917385e-08,1.6803871005777182e-07
1951,2.3455083209000804e-08,1.0768015812345766e-07
1952,2.1089608281954497e-08,7.592258555177978e-08
1953,1.6160740301529586e-08,1.3467284531998303e-07
1954,2.247683283940205e-08,8.013479657620337e-08
1955,2.3464020060259827e-08,9.197895423085356e-08
1956,2.3547082506070183e-08,6.54085638984725e-08
1957,8.835037590415595e-09,6.449577227840564e-08
1958,9.926692356998501e-09,4.4670112941957996e-08
1959,1.2401196514133517e-08,6.66564332618691e-08
1960,1.9378333604436193e-08,6.851625045101173e-08
1961,1.042223907177231e-08,3.126671543896009e-08
1962,9.512934440181198e-09,5.327243357555744e-08
1963,7.1126584622049904e-09,3.814971449855875e-08
1964,2.1293889318485526e-08,5.7189303959148674e-08
1965,2.0793764932136583e-08,5.855086371298057e-08
1966,1.38476865529924e-08,4.652822838124848e-08
1967,1.5777073869571723e-08,6.508042815767112e-08
1968,9.431973424511852e-09,4.4015873612579526e-08
1969,9.537691525451919e-09,4.360087402233148e-08
1970,2.2533752641606952e-08,5.28853369985427e-08
1971,1.3359833239690033e-08,3.853797991837382e-08
1972,1.4364410994005539e-08,5.4379555081141007e-08
1973,1.268036875501366e-08,4.190034985640523e-08
1974,1.012602890426706e-08,4.444201451292429e-08
1975,1.2565256390928425e-08,3.8838066984681063e-08
1976,7.427584769459372e-09,3.94233339306993e-08
1977,9.402850942308305e-09,4.8777287986467854e-08
1978,5.346532105932056e-09,3.801978465389766e-08
1979,1.1118749476679568e-08,4.096381189810927e-08
1980,5.6851505725319385e-09,3.752199617679253e-08
1981,7.590659656386833e-09,3.0362638625547334e-08
1982,8.690503427999374e-09,3.3520510811513304e-08
1983,3.78918940668882e-09,3.2839643893112225e-08
1984,6.958810416790584e-09,4.1172960152380256e-08
1985,7.820225356169885e-09,4.3913573222198465e-08
1986,4.196139880008332e-09,4.495863947795442e-08
1987,5.49973533381376e-09,3.788706592899871e-08
1988,7.795519785247507e-09,3.597932263232906e-08
