year,veux_VERB avoir_VERB,veux_VERB ravoir_VERB
1800,2.578214832738013e-07,3.144164484325529e-09
1801,5.476720161823323e-07,4.7623651688866175e-09
1802,3.1329761895904085e-07,1.5664880947952042e-08
1803,2.4184205926758295e-07,0.0
1804,5.709975425816083e-07,1.2359254952798437e-08
1805,2.956592766167887e-07,5.685755422035754e-09
1806,4.1496036828903016e-07,2.5935023018064385e-08
1807,2.3345032218458073e-07,5.693910232196231e-09
1808,1.8581806671136292e-07,4.5321479902327155e-09
1809,3.591858614981902e-07,3.162642769893864e-08
1810,4.1888267787726363e-07,7.020380277111826e-09
1811,2.63243066456198e-07,2.5070767684098882e-09
1812,2.667208320872305e-07,8.00162425207418e-09
1813,2.473137783454149e-07,8.627225156487839e-09
1814,2.8320093292677484e-07,0.0
1815,2.454473531088297e-07,5.394447111228828e-09
1816,1.9467873357825738e-07,0.0
1817,5.651450578625372e-07,1.5568733857662664e-08
1818,3.945909838876105e-07,2.384235475716423e-09
1819,3.333038023356494e-07,7.24573512300708e-09
1820,3.868472902013309e-07,7.119888678630559e-09
1821,7.080548698468192e-07,6.903041693817613e-09
1822,4.44134798271989e-07,2.5064039732569654e-08
1823,4.2792035515049065e-07,3.261286707356703e-08
1824,4.1937141759262886e-07,1.1789557774477544e-08
1825,3.8039513583498774e-07,1.2327619813845558e-08
1826,3.311802174721379e-07,9.688783109140786e-09
1827,2.0923209831380518e-07,1.1982455028203276e-08
1828,3.467129943146574e-07,9.172301251858528e-10
1829,2.4519283670088043e-07,7.715858174606183e-09
1830,3.8407554825425905e-07,1.0436835840010872e-09
1831,3.648342215001321e-07,1.5591206103948707e-09
1832,4.491949709972687e-07,6.764984572527055e-09
1833,3.5561740219236526e-07,6.950177322551099e-09
1834,2.8937046181454207e-07,5.600718555598405e-09
1835,4.1067568190555903e-07,1.5126175867408165e-08
1836,3.340212799685105e-07,1.2769425516978572e-08
1837,3.2354193990613567e-07,1.7394727436226276e-08
1838,3.610556689181976e-07,1.5149188570262595e-08
1839,3.0552746466128156e-07,1.3982950353153e-09
1840,2.579724025508767e-07,1.9109065441114126e-09
1841,2.670948333616252e-07,1.926164561183441e-09
1842,3.2602167721051956e-07,4.695785538189057e-09
