year,dois_VERB appeler_VERB,dois_VERB rappeler_VERB
1800,3.458580977167003e-08,1.1633408547595536e-07
1801,1.6668277424969347e-08,1.4763331535050384e-07
1802,2.2378401354217203e-08,1.879785713754245e-07
1803,4.095712213825209e-08,1.2287136996746995e-07
1804,2.7190360185613827e-08,1.4336735887354735e-07
1805,3.4114531644036106e-08,1.3930100806192058e-07
1806,8.645007376628655e-09,1.2679343797117326e-07
1807,1.4234775136401367e-08,2.0498076480635063e-07
1808,4.985362878073829e-08,1.3143228727585665e-07
1809,8.810219043198231e-08,3.2981844810819894e-07
1810,5.8503168531842675e-08,1.5210824244604737e-07
1811,1.7549536934780008e-08,1.7048121492280188e-07
1812,3.200649700829672e-08,1.3869482984318893e-07
1813,3.163315653864629e-08,2.6169249167651287e-07
1814,9.440030979135372e-09,2.3285410577500443e-07
1815,6.203614333344376e-08,2.022917726662854e-07
1816,1.622322720606917e-08,2.9201808615653135e-07
1817,5.916118794857539e-08,1.1676550570882682e-07
1818,4.6492591110336434e-08,1.3709353652302525e-07
1819,7.03871378959775e-08,1.583710655950199e-07
1820,3.797273961936298e-08,1.3646453567162098e-07
1821,3.254291058851777e-08,1.6271455649530253e-07
1822,5.012807946513931e-08,1.7544827812798758e-07
1823,3.9530746676064155e-08,1.2551012673611694e-07
1824,2.3579115548955087e-08,1.4821158345057484e-07
1825,2.8177417732422327e-08,1.893170207267758e-07
1826,3.52319382557198e-08,2.2548439915226481e-07
1827,3.871254605769536e-08,1.5024154720322258e-07
1828,4.3109814384934e-08,1.71522032132998e-07
1829,7.372931065674493e-08,2.211879461810895e-07
1830,3.444155893816969e-08,2.1499882052467e-07
1831,2.6505050598757407e-08,2.946737822639989e-07
1832,8.117981309396782e-08,4.126640646973101e-07
1833,5.560141858040879e-08,2.942241508208099e-07
1834,4.85395617033646e-08,1.736222685622124e-07
1835,4.235329242874286e-08,2.1857323417862062e-07
1836,7.796069922960669e-08,2.2783342501497827e-07
1837,6.74915412446353e-08,2.44917771397013e-07
1838,7.132742751991827e-08,2.0388283417105413e-07
1839,5.3135210009713774e-08,2.3840929941343347e-07
1840,6.369688776430849e-08,2.1975425568143692e-07
1841,5.008027770259105e-08,2.7030509386349877e-07
1842,1.0397810967788246e-07,2.0862704275259603e-07
1843,8.32874462730615e-08,2.179650238076647e-07
1844,6.970472554712615e-08,2.1624931889618892e-07
1845,6.640470928687137e-08,1.6796485624581692e-07
1846,1.0772282621474005e-07,2.83943307977097e-07
1847,8.359496916909848e-08,2.2381878750366013e-07
1848,1.247009322469239e-07,2.7595109486355796e-07
1849,8.547003460535052e-08,3.075245160744089e-07
1850,7.943125268639051e-08,2.4711945911803923e-07
1851,5.546517201082679e-08,2.7603599050962657e-07
1852,6.77096707590863e-08,2.454475520607957e-07
1853,9.017617230711039e-08,2.1678113171219593e-07
1854,8.624802916301633e-08,2.2705053481786308e-07
1855,8.491099379170919e-08,2.1227748447927297e-07
1856,6.316170697573398e-08,1.9414459018207708e-07
1857,9.323682093054231e-08,1.7915138528223906e-07
1858,7.976692018019094e-08,2.50066847229391e-07
1859,4.4811123700583266e-08,1.7771685634215828e-07
1860,4.668727626722102e-08,2.462524832935742e-07
1861,1.1789909137860377e-07,2.9191815542617405e-07
1862,6.731799828685325e-08,3.3658997722341155e-07
1863,7.392038980924553e-08,1.9429074882282293e-07
1864,9.73329790099342e-08,2.0569382286339533e-07
1865,8.801799111779474e-08,2.1745620415458689e-07
1866,4.9142691693759843e-08,2.4863282988007995e-07
1867,6.648351558169452e-08,2.6205182734884147e-07
1868,7.16281718382561e-08,2.57861415775551e-07
1869,7.569454396616493e-08,2.544313417729427e-07
1870,7.97032768673489e-08,4.214525972656702e-07
1871,9.028000391708701e-08,2.676536610124458e-07
1872,1.0220003332506167e-07,2.3282255767753668e-07
1873,9.218447161174481e-08,3.100750234352745e-07
1874,5.496640298474631e-08,2.7542947123038175e-07
1875,8.639506177132716e-08,2.60329471757359e-07
