year,pouvions_VERB aller_VERB
1800,6.288328791015374e-08
1801,3.095537337571841e-08
1802,1.7902721083373763e-08
1803,2.145373123596528e-08
1804,1.9774807569206132e-08
1805,1.7057265822018053e-08
1806,2.5935023018064385e-08
1807,8.540865792383556e-09
1808,9.064295980465431e-09
1809,2.4849335034105025e-08
1810,3.510190182964834e-08
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,6.608021863030444e-08
1815,1.0788894222457657e-08
1816,2.7811246638975717e-08
1817,2.0239355080775567e-08
1818,2.6226590676969863e-08
1819,1.6561680027393777e-08
1820,3.322614716694261e-08
1821,1.972297702934611e-08
1822,8.120748873352568e-08
1823,1.3045146829426812e-07
1824,4.7158231097910175e-08
1825,2.7296874094417944e-08
1826,3.8755132436563144e-08
1827,2.027800150017356e-08
1828,5.044765671868845e-08
1829,1.800366966620004e-08
1830,4.696576283436116e-08
1831,1.4032085715598441e-08
1832,4.058990921151917e-09
1833,3.70676112027013e-08
1834,9.334531370086552e-09
1835,3.479020449503878e-08
1836,2.688300071440608e-08
1837,4.383471363667013e-08
1838,4.5447563934430946e-08
1839,3.216078425793967e-08
1840,3.248541347034006e-08
1841,1.5409316489467528e-08
1842,2.6162233268678392e-08
1843,1.8902115428431898e-08
1844,1.4819115712327857e-08
1845,1.2834524554250493e-08
1846,2.4588905134237393e-08
1847,2.1033571329098777e-08
1848,1.850401076808339e-08
1849,2.513824526317876e-08
1850,4.412847331991543e-08
1851,2.257303499675345e-08
1852,2.4740073101270355e-08
1853,2.6276499198729653e-08
1854,2.5458755104068587e-08
1855,1.8574279891936385e-08
1856,1.2942972915652717e-08
1857,2.9777204701986193e-08
1858,3.034079298913639e-08
1859,2.5970084749360467e-08
1860,2.6089947979812678e-08
1861,2.452301117727984e-08
1862,1.626475132354699e-08
1863,2.6471489888990618e-08
1864,3.068625886726295e-08
1865,1.9298061815220535e-08
1866,2.3354942868536455e-08
1867,2.2808213984149006e-08
1868,2.9145256874585357e-08
1869,1.0255390314739543e-08
1870,1.490852596930381e-08
1871,5.2043770182308435e-08
1872,3.749350341308855e-08
1873,3.292302608315367e-08
1874,5.257655999457711e-08
1875,4.3483606049221635e-08
1876,1.269663130187837e-08
1877,2.288381928394756e-08
1878,2.2344627481629686e-08
1879,3.421222061206208e-08
1880,1.8611753915820373e-08
1881,3.5559789779426865e-08
1882,2.0631693686823382e-08
1883,1.7062214752172622e-08
1884,1.1883054540362536e-08
1885,3.545099502844096e-08
1886,2.9040586824180536e-08
1887,2.0892558794116667e-08
1888,1.6485598663962264e-08
1889,2.318100555953606e-08
