year,nos_DET oies_NOUN,nos_DET rois_NOUN
1800,1.8864987794131594e-08,2.310960919515992e-06
1801,2.1430643926123594e-08,4.831419516904134e-06
1802,8.951360541686881e-09,2.6003701520949107e-06
1803,5.070882025393075e-08,3.1985563637704217e-06
1804,1.4831105232815389e-08,3.804178703603611e-06
1805,3.41145314219915e-08,4.12217259793124e-06
1806,5.76333825108577e-09,5.034275801563126e-06
1807,8.540865792383556e-09,4.623454913144087e-06
1808,4.5321479902327155e-09,6.934186501439399e-06
1809,4.0662548883574345e-08,3.548936888364551e-06
1810,0.0,4.191166922851153e-06
1811,5.0141535368197765e-09,3.6603321404982125e-06
1812,8.00162425207418e-09,4.45957221018034e-06
1813,0.0,4.2791035070877115e-06
1814,3.1466771410748606e-09,1.281956249954419e-05
1815,0.0,8.614932198725e-06
1816,9.270415546325239e-09,6.862425223630453e-06
1817,2.8023721676539992e-08,6.2492900099186954e-06
1818,4.172412104708201e-08,8.98975963536941e-06
1819,7.24573512300708e-09,9.707215127718882e-06
1820,1.6613073583471305e-08,5.468074590453398e-06
1821,8.875339574387908e-09,5.956338753776436e-06
1822,1.2030739071633434e-08,7.21042310658504e-06
1823,5.929612023614084e-09,5.059935503481938e-06
1824,1.1789557774477544e-08,6.229097152754548e-06
1825,3.25801385869795e-08,7.996222677775222e-06
1826,1.7615968683770689e-09,7.872576162526457e-06
1827,7.373818444733615e-09,8.054975097593342e-06
1828,3.485474309172787e-08,5.614365591100068e-06
1829,2.5719527840806222e-08,6.202692730994386e-06
1830,6.262101504006523e-09,5.464727408366343e-06
1831,1.5591206548037917e-08,3.5438812631127803e-06
1832,1.352996914505411e-08,4.872142056910889e-06
1833,2.3167257445777523e-08,4.892924508226315e-06
1834,1.8669062296083894e-08,4.594456086692844e-06
1835,1.5882484660778573e-08,3.4238099715366843e-06
1836,2.8899224790990274e-08,4.023040986567139e-06
1837,2.574419688539109e-08,4.253358738992574e-06
1838,1.325553999897977e-08,1.140607677996286e-05
1839,8.389769878824893e-09,3.7851847025649477e-06
1840,1.2102408852854296e-08,4.134564917990247e-06
1841,3.017657901338566e-08,3.852971232731761e-06
1842,1.408735617047796e-08,3.580200953479107e-06
1843,6.497602123012314e-09,3.7680185442923175e-06
1844,6.037417454862748e-09,3.873826557310167e-06
1845,5.5802281129224696e-09,3.2119791057994007e-06
