year,toutes_DET règles_NOUN
1800,2.829747991484055e-08
1801,1.9049460009412655e-08
1802,3.1329761895904085e-08
1803,4.290746247193056e-08
1804,3.9549614250233844e-08
1805,7.391481915419718e-08
1806,8.645007376628655e-09
1807,5.4092146317685774e-08
1808,4.078933102391602e-08
1809,2.710836710662079e-08
1810,1.6380887313260928e-08
1811,1.504245972228091e-08
1812,1.0668832928217853e-08
1813,1.1502966579257645e-08
1814,4.405347908686963e-08
1815,1.3486118000116676e-08
1816,3.244645441213834e-08
1817,9.341240314597599e-08
1818,2.5034472272977837e-08
1819,2.2772310259711048e-08
1820,3.797273961936298e-08
1821,2.9584464655840748e-08
1822,6.51665033046811e-08
1823,8.696764552951208e-08
1824,3.621078548121659e-08
1825,2.289415235168235e-08
1826,7.134467239211517e-08
1827,1.5669364195058932e-08
1828,4.402704451011985e-08
1829,8.058785283537873e-08
1830,6.262101237552997e-08
1831,1.091384405071949e-08
1832,6.900284277300273e-08
1833,3.4750886612755494e-08
1834,3.640467127752345e-08
1835,2.7983425354705105e-08
1836,4.973355061110851e-08
1837,3.965997708021973e-08
1838,4.481634818809255e-08
1839,4.754203075663099e-08
1840,5.987507023519356e-08
1841,4.173356416004026e-08
1842,5.2995293486901573e-08
1843,3.18973185642335e-08
1844,4.8848196598783034e-08
1845,2.343695709727811e-08
1846,4.0396058276215285e-08
1847,3.7752563741833e-08
1848,2.172209789819135e-08
1849,3.603148357456121e-08
1850,3.93761752093269e-08
1851,3.4826967976187007e-08
1852,3.2552726736412296e-08
1853,4.5386680858072737e-08
1854,3.377181895247716e-08
1855,2.4942604426314574e-08
1856,3.209857268871019e-08
1857,4.1980979637035176e-08
1858,3.425573069648635e-08
1859,4.073738679721828e-08
1860,3.3413442679375294e-08
1861,3.395494019287071e-08
1862,4.698705791117419e-08
1863,2.447364222391002e-08
1864,2.1576274988888144e-08
1865,4.800981262542692e-08
1866,2.6274308950746672e-08
1867,2.91168689159349e-08
1868,5.0386717020955984e-08
1869,4.053320823427242e-08
1870,3.899153000475053e-08
1871,3.823623728749226e-08
1872,3.1446163006876304e-08
1873,3.052862351804464e-08
1874,5.5563863898822063e-08
1875,3.032409523484603e-08
1876,3.808989390563511e-08
1877,4.391219476929109e-08
