year,ils_PRON entrent_VERB,ils_PRON rentrent_VERB
1800,1.5878030694693734e-06,4.2446220760439246e-07
1801,1.3715611828502006e-06,4.595682447927629e-07
1802,1.1636768419975851e-06,3.1329761895904085e-07
1803,1.708497109120799e-06,6.397112670697425e-07
1804,1.4188424302119529e-06,3.6583394091849186e-07
1805,1.1172509601919955e-06,3.8947423774970957e-07
1806,1.1584309902445966e-06,3.02575251964754e-07
1807,1.178639422505512e-06,3.587163419638273e-07
1808,1.4185623626872257e-06,4.3282014239309774e-07
1809,1.2673160938447836e-06,3.7951713949269106e-07
1810,1.193464669313471e-06,4.1420243590550854e-07
1811,1.007844844025385e-06,3.158916683787538e-07
1812,1.1842404603612522e-06,6.801381005061558e-07
1813,1.1675511188968812e-06,4.1698254449329397e-07
1814,8.118427103909198e-07,5.097616870841648e-07
1815,9.95275485138336e-07,5.286558319994583e-07
1816,1.4160559373976866e-06,4.751088056309527e-07
1817,1.1785531910391e-06,5.85384377416176e-07
1818,1.2386103662720416e-06,5.066500392558737e-07
1819,1.985331437026616e-06,4.533760034064471e-07
1820,1.821504838517285e-06,4.592328295416337e-07
1821,1.279035018342256e-06,5.34492670567488e-07
1822,1.3715042541662115e-06,3.930041430066922e-07
1823,1.1473799474970292e-06,3.923426845631184e-07
1824,1.306956704638651e-06,3.62949954535452e-07
1825,1.0504893737106613e-06,4.261834476437798e-07
1826,1.1247796294355794e-06,5.108630887207255e-07
1827,9.991523768348998e-07,5.447408497616379e-07
1828,1.1703856159783754e-06,3.760643494388205e-07
1829,1.240538551883219e-06,3.7979169320578876e-07
1830,1.0572514952400525e-06,4.4147816780082394e-07
1831,1.256651216863247e-06,4.0537136669627216e-07
1832,1.053984590271284e-06,4.6543095777451526e-07
1833,1.0946529016564455e-06,3.9152664754738e-07
1834,1.2620285474440607e-06,4.47124026692336e-07
1835,1.2199261050227506e-06,4.870628700359703e-07
1836,1.030290974313175e-06,4.240793387566555e-07
1837,1.241287719722095e-06,4.731365805810128e-07
1838,9.190507910261658e-07,4.2543971190411867e-07
1839,9.585312454873929e-07,5.43237646866146e-07
1840,9.701035565967686e-07,4.2676914269179633e-07
1841,1.0792941793624777e-06,5.174962112164394e-07
1842,1.0283770279784221e-06,3.843835933992068e-07
1843,9.728682783816112e-07,4.2175343750727734e-07
1844,1.1608306920152245e-06,4.4512233188243044e-07
1845,1.127764051034319e-06,5.250994590255686e-07
1846,9.138876464476198e-07,4.273786089470377e-07
1847,8.548259700091876e-07,4.395477191110331e-07
1848,8.954331462973641e-07,4.4731432424782724e-07
1849,8.572141609874961e-07,3.9048072153491376e-07
1850,9.253401884734558e-07,4.399269428745356e-07
1851,9.596764840580363e-07,4.1082925150703886e-07
1852,9.218932461863005e-07,4.225344056862923e-07
1853,9.435652401634798e-07,3.9832784892723794e-07
1854,8.671564302176193e-07,3.4707037954717634e-07
1855,9.419813551403422e-07,3.683014355715386e-07
1856,9.950557569027296e-07,3.986435821445866e-07
1857,8.606100578845144e-07,3.7782879047654205e-07
1858,8.358398417840363e-07,3.949196525354637e-07
1859,9.333953983059473e-07,4.526942021243485e-07
1860,8.097038488585895e-07,3.5473174975209076e-07
1861,9.328176133749366e-07,4.0651605814900904e-07
1862,8.927541159664543e-07,3.939683921316828e-07
1863,8.246118881061193e-07,4.3752877587621697e-07
1864,9.01408839126816e-07,4.1186711996488157e-07
1865,8.359355661013979e-07,4.358537921689276e-07
1866,9.152217614882829e-07,3.386466680410649e-07
1867,9.14754963332598e-07,3.7318120860163617e-07
1868,7.523427996147802e-07,4.549623966454419e-07
1869,8.170127472340027e-07,4.01913617054106e-07
1870,8.354508906904812e-07,4.1399832895194777e-07
1871,8.656259353756468e-07,4.737045102842785e-07
1872,8.569079881226571e-07,3.761445057648416e-07
1873,7.410673390495504e-07,4.351825353410277e-07
1874,7.67737247997502e-07,4.194175602378891e-07
1875,7.518086846403094e-07,4.3254743786746985e-07
1876,8.343500610408228e-07,4.389406740301638e-07
1877,8.609264057213295e-07,4.032499916206689e-07
1878,8.786873877397738e-07,3.4845541918571143e-07
1879,8.589711057993554e-07,3.958842711426769e-07
1880,7.59231184588316e-07,4.421896022677174e-07
1881,7.711593354997603e-07,4.106806841264188e-07
1882,7.793455978344355e-07,3.9067111856638803e-07
1883,8.120350685203448e-07,4.366663333144061e-07
1884,7.816409208771802e-07,4.1788740645642974e-07
1885,8.076381874388971e-07,4.769770427515141e-07
1886,7.802237860232708e-07,3.9172524424202493e-07
1887,9.623635008892961e-07,4.557189399179151e-07
1888,8.090624277201641e-07,3.950203044666978e-07
1889,8.965410813743802e-07,4.379330675874371e-07
1890,8.232309340883148e-07,4.25379681701088e-07
1891,8.362976871012506e-07,4.895401062299243e-07
1892,8.155334398907144e-07,4.036921978922692e-07
1893,8.701842517666591e-07,4.212356898847247e-07
1894,7.914733402003549e-07,4.3354590673061466e-07
1895,7.408914228790309e-07,3.731541085016943e-07
1896,7.406668345311118e-07,4.558403290388924e-07
1897,8.198186094432458e-07,4.41664894879068e-07
1898,8.742158144059431e-07,4.1645492387942795e-07
1899,8.954676786743221e-07,3.758753450711083e-07
1900,7.72428705886341e-07,4.339720334201047e-07
1901,7.757169839806011e-07,3.8618186692929157e-07
1902,6.73690962571527e-07,3.702353943424441e-07
1903,7.522506848545163e-07,4.1203680467560844e-07
1904,6.755903996236157e-07,4.331948062485935e-07
1905,7.225062859106401e-07,4.216340201423918e-07
1906,7.309886029815971e-07,4.274817442251333e-07
1907,6.737124920164206e-07,3.9702752019366017e-07
1908,7.632298775206436e-07,4.2385287457591403e-07
1909,7.283302068117337e-07,4.3402759786204115e-07
1910,7.759706477372674e-07,3.8638210497765613e-07
1911,8.273181890672276e-07,3.5220876526409484e-07
1912,6.579498972314468e-07,3.755992636911287e-07
1913,7.864333753104802e-07,3.722698735941776e-07
1914,6.817284798898982e-07,3.709996008183225e-07
1915,8.034479748175727e-07,3.6520362556302643e-07
1916,6.713339359976089e-07,3.977461204840438e-07
1917,6.88691457639834e-07,4.3536707039493194e-07
1918,6.983716929198636e-07,4.0087453356818514e-07
1919,6.675689974144916e-07,4.953822383413353e-07
1920,7.049747523524275e-07,3.786115883031016e-07
1921,7.110810003041479e-07,4.0362744613275936e-07
1922,6.47044927859497e-07,2.9659300082585105e-07
1923,6.613735621385786e-07,3.8960529025189317e-07
1924,6.149304851987836e-07,3.609654797287476e-07
1925,6.774877761017706e-07,3.9263494500119123e-07
1926,7.178113037298317e-07,3.7116640783096955e-07
1927,7.391935810119321e-07,3.2555736595440976e-07
1928,6.478565381939916e-07,3.564924924148727e-07
