year,pouvez_VERB avoir_VERB,pouvez_VERB ravoir_VERB
1800,3.9930890238792927e-07,0.0
1801,4.548058711861813e-07,0.0
1802,4.968005100636219e-07,0.0
1803,4.427270141604822e-07,0.0
1804,4.671798308208963e-07,0.0
1805,3.439882050315646e-07,2.842877711017877e-09
1806,5.532804721042339e-07,0.0
1807,3.3024679169102455e-07,0.0
1808,2.6739672875919496e-07,0.0
1809,4.156616171258065e-07,0.0
1810,4.773858677253884e-07,0.0
1811,2.356652117896374e-07,0.0
1812,3.867451994210569e-07,0.0
1813,2.8469841595324397e-07,0.0
1814,2.454408161156607e-07,3.1466771410748606e-09
1815,3.0478625490104605e-07,2.697223555614414e-09
1816,4.357095235718589e-07,0.0
1817,4.966425990460266e-07,0.0
1818,3.5644319495986565e-07,0.0
1819,4.2542816913737624e-07,0.0
1820,4.687260002356197e-07,0.0
1821,8.747140327614034e-07,0.0
1822,6.025395009601198e-07,0.0
1823,4.822751407118631e-07,0.0
1824,7.587422601318394e-07,0.0
1825,5.353709298105969e-07,0.0
1826,6.236052740860032e-07,0.0
1827,4.839068310502626e-07,0.0
1828,4.852147412748309e-07,0.0
1829,4.586649140492227e-07,0.0
1830,5.343659950085566e-07,0.0
1831,4.4434938217818853e-07,0.0
1832,7.833852464500524e-07,0.0
1833,5.722312721445633e-07,0.0
1834,5.535376885745791e-07,0.0
1835,7.215185746645147e-07,0.0
1836,6.377991894623847e-07,0.0
1837,4.974892249265395e-07,0.0
1838,5.106538765176083e-07,0.0
1839,5.94974551404448e-07,0.0
1840,5.140338998899097e-07,0.0
1841,3.6725538166137994e-07,0.0
1842,4.2194986349386454e-07,0.0
1843,4.276603533526213e-07,0.0
1844,4.923239202980767e-07,0.0
1845,4.559046260510513e-07,0.0
1846,4.449420885066502e-07,0.0
1847,3.9208737234730506e-07,0.0
1848,5.17307739755779e-07,0.0
1849,3.8545309166693187e-07,0.0
1850,4.74550830631415e-07,0.0
1851,5.120854211781989e-07,0.0
1852,4.140706835187302e-07,1.3021090872200602e-09
1853,3.7742609038105e-07,2.9859659189668264e-09
1854,5.938644562775153e-07,0.0
1855,4.134103903652431e-07,0.0
1856,4.5093318590261333e-07,0.0
1857,4.2859650761783996e-07,0.0
1858,4.903463377559092e-07,0.0
1859,3.8598673768319713e-07,0.0
1860,3.886029276145564e-07,0.0
1861,4.305674963234196e-07,0.0
1862,5.764950401498936e-07,4.517986262886353e-10
1863,4.954663950229587e-07,0.0
1864,5.072822091278795e-07,0.0
1865,5.008082553104032e-07,0.0
1866,5.196474717195088e-07,4.865612912574591e-10
1867,4.280179837223841e-07,0.0
1868,4.465646270546131e-07,0.0
1869,4.2242439235451457e-07,2.441759683335931e-09
1870,4.63311152998358e-07,2.8670243956696595e-09
1871,4.3971672880616097e-07,0.0
1872,5.170475105842343e-07,4.23313739617015e-09
1873,4.1542870121702435e-07,5.986004469882289e-10
1874,4.5048551555737504e-07,3.5847653734322193e-09
1875,5.372514237933501e-07,0.0
1876,4.909364292871032e-07,0.0
1877,3.846955678454833e-07,0.0
1878,3.430202468734933e-07,0.0
1879,4.2093250840480323e-07,0.0
1880,3.574740503609064e-07,0.0
1881,4.39965219811711e-07,0.0
1882,3.9932311324264447e-07,2.6621540527571597e-09
1883,3.728409865288995e-07,0.0
1884,3.1424076496477937e-07,0.0
1885,3.3839586421891e-07,0.0
1886,3.233185452700127e-07,0.0
1887,3.434214477238129e-07,0.0
1888,3.7473031966328563e-07,0.0
1889,3.3393178000551416e-07,6.265136742733546e-10
1890,3.093670386533631e-07,0.0
1891,3.282723355368944e-07,0.0
1892,3.284700369476923e-07,0.0
1893,3.319386507882882e-07,0.0
1894,3.7683204823224514e-07,0.0
