year,veux_VERB emporter_VERB,veux_VERB remporter_VERB
1800,1.5720821977538435e-08,9.432493897065797e-09
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,1.8721014072298203e-08
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,3.163315653864629e-08
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,1.3486118000116676e-08,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,9.341240669868967e-09
1818,0.0,8.344824387052086e-09
1819,6.210630232317271e-09,0.0
1820,0.0,4.746592452420373e-09
1821,8.875339574387908e-09,2.9584463767662328e-09
1822,6.015369535816717e-09,8.02049271442229e-09
1823,1.4824030003524058e-08,0.0
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,3.522177216552791e-09,0.0
1826,8.807984341885344e-10,0.0
1827,6.452091305675367e-09,0.0
1828,4.586150570418113e-09,0.0
1829,8.57317605795771e-10,8.57317605795771e-10
1830,6.262101504006523e-09,1.2524203008013046e-08
1831,1.870944643656003e-08,0.0
1832,5.411987746839486e-09,0.0
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,1.0267983796552471e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,2.688300027031687e-09,0.0
1837,4.87052354003481e-09,6.957890930081589e-10
1838,1.5780404538645598e-08,0.0
1839,1.11863602825224e-08,1.3982950353153e-09
1840,7.0066574764382494e-09,0.0
1841,9.630822361827995e-09,2.5682194149112547e-09
1842,1.2745703159566801e-08,0.0
1843,1.1813821920725331e-08,0.0
1844,1.0977122322231025e-08,1.6465684371524958e-09
1845,8.928364714222425e-09,0.0
1846,9.952652035849496e-09,5.854501328173001e-10
1847,5.3932236454556914e-09,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0
1849,4.1897072478036534e-09,0.0
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,8.384270167027807e-09,0.0
1852,9.765818376195057e-09,0.0
1853,5.971931837933653e-09,5.971931837933653e-10
1854,1.2989160858012383e-08,5.195664454227256e-10
1855,7.960405667972736e-09,0.0
1856,8.801221973442352e-09,2.5885946719483854e-09
1857,4.393358121745905e-09,4.881509085841174e-10
1858,5.872411001917044e-09,4.893676019968041e-10
1859,6.110608019582742e-09,1.018434669930457e-09
1860,5.034902272882391e-09,0.0
1861,6.13075279431996e-09,3.3011746669586728e-09
1862,2.6656119089807362e-08,1.3553959066214816e-09
1863,1.5982786649715308e-08,1.4983863039219614e-09
1864,2.8768367688059016e-09,2.3973640850272204e-09
1865,1.4120533631256649e-09,0.0
1866,1.0704348518686402e-08,3.4059290943133647e-09
1867,1.2132028714972876e-08,4.85281148598915e-10
1868,8.89177353968762e-09,0.0
1869,1.2208797528501236e-08,0.0
1870,9.747882501187632e-09,4.013834153937523e-09
1871,3.18635318130589e-09,2.1242354542039266e-09
1872,1.2094679036067646e-08,0.0
1873,1.0176207432266438e-08,1.7958012854535355e-09
1874,1.7923826867161097e-09,1.1949218281515073e-09
1875,3.432916173551348e-09,1.5448122780981066e-08
1876,1.5115036333668286e-08,0.0
1877,3.710889595609501e-09,0.0
1878,7.850815109122777e-09,1.2078177347163432e-09
1879,1.1607718342077078e-08,0.0
1880,5.134277003548959e-09,5.776061406947974e-09
1881,2.7890030285249168e-09,0.0
1882,1.4641846846075168e-08,0.0
1883,8.21514056781325e-09,6.319338941018771e-10
1884,1.3203393933736152e-09,0.0
1885,7.7347630522695e-09,0.0
1886,8.38950331427668e-09,0.0
1887,6.528924512139156e-09,5.223139698529167e-09
1888,7.60873763994141e-09,1.9021844099853524e-09
1889,1.1277245803853475e-08,0.0
1890,7.865263995654459e-09,0.0
1891,8.92390783491237e-09,0.0
1892,3.761107425503951e-09,1.2537024751679837e-09
1893,2.5249507373814595e-08,0.0
1894,6.9316934414587195e-09,0.0
1895,9.027921521465032e-09,0.0
1896,5.897029087265082e-09,5.89702897624278e-10
1897,1.2236098356765979e-08,0.0
1898,9.619203211741478e-09,5.6583548957434e-10
1899,7.738609753005221e-09,0.0
1900,1.2977633190303095e-08,0.0
1901,3.912117296778206e-09,0.0
1902,2.9461704187383475e-09,0.0
1903,4.320176216765503e-09,2.1600881083827517e-09
1904,6.987012746151322e-09,0.0
1905,4.64468330463319e-09,0.0
1906,1.0288369267641428e-08,0.0
1907,1.7999951751335175e-08,0.0
1908,7.367083831866239e-09,0.0
1909,1.1001967337165297e-08,0.0
1910,1.068830179917768e-08,4.809735720812114e-09
1911,5.852411444351446e-09,4.788336838146279e-09
1912,7.293189607793238e-09,0.0
1913,7.42418571064718e-09,5.30298971401777e-10
1914,1.3393487430235496e-09,0.0
1915,3.534228465440492e-09,0.0
1916,7.69122365795738e-09,0.0
1917,7.676496771580332e-09,0.0
1918,1.2635013924011673e-08,0.0
1919,8.287063479883727e-09,9.207848372660976e-10
1920,3.786115865267448e-09,7.572231730534895e-10
1921,9.844571380313027e-09,1.5145494858259667e-09
1922,1.0329110011753073e-08,1.4755870969551665e-09
1923,2.7601466001669905e-08,1.0615948120573648e-09
1924,2.578324886925998e-09,2.578324886925998e-09
1925,3.299453377181294e-09,0.0
1926,1.1146138456652466e-09,1.1146138456652466e-09
1927,1.6723836537835268e-08,1.1149224876660924e-09
