year,petites_ADJ règles_NOUN
1800,4.4018303668735825e-08
1801,4.0480102825313224e-08
1802,2.4616241489638924e-08
1803,4.095712213825209e-08
1804,4.449331569844617e-08
1805,1.421438877713399e-08
1806,1.440834500598953e-07
1807,5.9786056549882e-08
1808,5.211970277585465e-08
1809,5.6475763177132876e-08
1810,1.4976811435474247e-07
1811,1.1783261077980001e-07
1812,1.226915742336132e-07
1813,1.1502966579257645e-08
1814,1.8880061958270744e-08
1815,2.966945977789237e-08
1816,4.6352077731626196e-08
1817,3.269434145636296e-08
1818,7.152706271718046e-08
1819,4.657972552113421e-08
1820,4.9839218974057076e-08
1821,6.114122974576475e-08
1822,1.0426640528748976e-07
1823,4.941343334508019e-08
1824,6.484257131234017e-08
1825,7.660735112935413e-08
1826,6.517908701653141e-08
1827,5.7147094167930845e-08
1828,4.7695967397842765e-08
1829,4.629515065746048e-08
1830,3.235419043789989e-08
1831,2.3386808933878456e-08
1832,2.1647950987357945e-08
1833,2.5483982257767934e-08
1834,4.387229379787527e-08
1835,4.235329242874286e-08
1836,5.5782227281753194e-08
1837,5.496733890275607e-08
1838,3.7241755013184275e-08
1839,4.894032745728083e-08
1840,6.43338523564907e-08
1841,3.338685328202473e-08
1842,2.884553929050071e-08
1843,3.307870199975582e-08
1844,5.54344696812592e-08
1845,4.1851708987294955e-08
1846,2.92725064188204e-08
1847,4.0988498817284835e-08
1848,3.5398974196354516e-08
1849,4.524883934209356e-08
1850,8.078904922825814e-08
1851,9.480675111639414e-08
1852,2.018269107395554e-08
1853,4.77754538152908e-08
1854,1.1794157828148855e-07
1855,4.6701046585440054e-08
1856,2.6403665032148638e-08
1857,7.175818561577785e-08
1858,3.425573114057556e-08
1859,2.953460587207246e-08
1860,7.048863182035348e-08
1861,3.584132457490341e-08
1862,2.801151513520672e-08
1863,4.045642887362533e-08
1864,7.671564639100126e-08
1865,7.154403647291474e-08
1866,3.941146431429843e-08
1867,3.494024092276504e-08
1868,6.125443841042966e-08
1869,7.032267690387783e-08
1870,6.536815799762508e-08
1871,1.3807530230280918e-08
1872,3.144616467221084e-08
1873,2.6338419945037828e-08
1874,3.943242177228967e-08
1875,4.2339301842275745e-08
1876,2.478866001354163e-08
1877,2.040989199869614e-08
1878,5.8579159190053076e-08
1879,1.466238042091561e-08
1880,2.1178892639639457e-08
1881,2.858728165300306e-08
1882,3.993231145749121e-08
1883,2.1485751844352308e-08
1884,3.828984329601326e-08
1885,4.060750313783501e-08
1886,2.6459201052375647e-08
1887,2.285123557044244e-08
1888,2.9800888423636707e-08
1889,1.816889694250534e-08
1890,1.7041404731799048e-08
1891,4.079500726117402e-08
1892,2.4447198709864892e-08
1893,4.3724757203822406e-08
1894,4.285046628638156e-08
1895,2.5278180881826984e-08
1896,1.1794057674929803e-08
1897,2.6220211779559577e-08
1898,2.3765091228256097e-08
1899,1.326618814800895e-08
1900,3.581826624188267e-08
1901,1.8442838367604963e-08
1902,2.1605249145295602e-08
1903,2.4841012802312434e-08
1904,3.0097901060344157e-08
1905,3.251278357652154e-08
1906,2.9321851613417493e-08
1907,2.4171363022240655e-08
1908,2.4556945366072114e-08
1909,2.9705311987981986e-08
1910,2.8323998924051352e-08
1911,1.5961122756813495e-08
1912,3.3861237369592345e-08
1913,1.856046477621831e-08
1914,2.343860305842327e-08
1915,1.1780762143587253e-08
1916,1.8678685265172135e-08
1917,2.0836205649743533e-08
1918,2.8715941624568586e-08
1919,1.2890988110303425e-08
1920,2.2716694303426266e-08
1921,3.786373803382759e-08
1922,3.393850267485732e-08
1923,2.7601466001669905e-08
1924,4.125319785774906e-08
1925,6.158979815040766e-08
1926,1.7833821197577038e-08
1927,4.125213082240009e-08
1928,2.5137290915466792e-08
1929,4.3447585085232276e-08
1930,1.8906487042613662e-08
1931,2.737285598186645e-08
1932,4.274219334021723e-08
1933,2.4088391503696016e-08
1934,2.516131836216573e-08
1935,1.196828414151696e-08
1936,4.001155717858751e-08
1937,2.6441348222050465e-08
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,5.832300686847702e-08
1941,2.3612020783048138e-08
1942,4.551317611678485e-08
1943,1.1612940831184915e-08
1944,1.6065930807940276e-08
1945,3.7034568745042407e-08
1946,2.5057987684817817e-08
1947,4.4107222763045684e-08
1948,2.511406129723781e-07
1949,1.9634016856784342e-08
1950,9.040056925258e-08
1951,5.437314953837813e-08
