year,pourrez_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,2.4275012222574333e-08
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,5.175524897538253e-09
1820,7.119888678630559e-09
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,3.9530747564242574e-09
1824,0.0
1825,8.805443041381977e-10
1826,5.284790383086602e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,5.791814139399776e-09
1834,4.667265685043276e-09
1835,1.5126175867408165e-09
1836,2.016224964762614e-09
1837,5.5663127440652715e-09
1838,6.312161904276081e-10
1839,0.0
1840,6.369688665408546e-10
1841,1.2841097074556274e-09
1842,3.3541325272778977e-09
1843,4.134837805480629e-09
1844,3.841992946007622e-09
1845,2.2320911785556063e-09
1846,0.0
1847,5.9325460100012606e-09
1848,9.65426583121598e-09
1849,4.1897072478036534e-09
1850,1.3577992064028876e-09
1851,5.8044946626978344e-09
1852,3.906327261660181e-09
1853,7.763511611358354e-09
1854,3.117398783558656e-09
1855,1.5920811335945473e-09
1856,1.5531567143511893e-09
1857,1.9526036343364694e-09
1858,3.4255731584664773e-09
1859,4.073738679721828e-09
1860,2.288591982591015e-09
1861,3.3011746669586728e-09
1862,5.421583626485926e-09
1863,1.1487627737949424e-08
1864,9.589455896019672e-10
1865,3.765475486972036e-09
1866,1.1190909532388105e-08
1867,3.396968040192405e-09
1868,9.87974813071446e-10
1869,2.9301114867763545e-09
1870,3.4404292748035914e-09
1871,0.0
1872,3.628403577593531e-09
1873,5.9860045809045914e-09
1874,4.779687312606029e-09
1875,2.2886108563824337e-09
1876,6.04601479992084e-09
1877,9.895705588292003e-09
1878,1.2078177347163432e-09
1879,3.0546627449723474e-09
1880,3.2089231272180996e-09
1881,2.091752326904839e-09
1882,1.9966155395678697e-09
1883,5.687405213450347e-09
1884,1.9805090900604227e-09
1885,3.86738152613475e-09
1886,1.936039106809062e-09
1887,3.9173548849191775e-09
1888,9.510921827882157e-09
1889,6.265136853755848e-09
1890,3.2771931834929546e-09
1891,1.3385862196457765e-08
1892,5.641661360300532e-09
1893,3.079208221734575e-09
1894,5.671385139294216e-09
1895,1.444467478961542e-08
1896,2.948514543632541e-09
1897,8.157399200570126e-09
1898,1.0750873968845553e-08
1899,2.7637891975018647e-09
1900,2.595526460424935e-09
1901,1.0059729937950124e-08
1902,1.9641135384773634e-09
1903,8.100330184390714e-09
1904,2.1498500757388683e-09
1905,1.5482277682110634e-09
1906,5.658602919567102e-09
1907,7.199980611716228e-09
1908,9.822778146428846e-10
1909,6.60118004702781e-09
1910,3.206490406526541e-09
