year,longues_ADJ rames_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,5.6852570651244605e-08
1805,0.0
1806,3.7461699520235925e-08
1807,0.0
1808,6.798221985349073e-09
1809,2.0331274441787173e-08
1810,1.4040760554223652e-08
1811,2.5070767684098882e-09
1812,1.3336041604361526e-08
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,0.0
1818,3.5763532135746345e-09
1819,3.3123360054787554e-08
1820,1.898636980968149e-08
1821,1.0847637454958203e-08
1822,1.5038423839541792e-08
1823,7.906149512848515e-09
1824,6.736890156844311e-09
1825,7.044354433105582e-09
1826,0.0
1827,3.6869092223668076e-09
1828,6.420610709767516e-09
1829,2.2290258527846163e-08
1830,2.0873671680021744e-09
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,4.749287541017111e-08
1834,1.3068342852307069e-08
1835,3.403389570166837e-08
1836,2.2178475944656384e-08
1837,2.1569462660409044e-08
1838,4.418513555037862e-09
1839,5.5931801412612e-09
1840,6.3696887764308485e-09
1841,2.632424944692957e-08
1842,2.750388716776797e-08
1843,1.4176587015413133e-08
1844,1.3172547497219966e-08
1845,2.2320911785556063e-09
1846,9.367202125076801e-09
1847,9.707802561820245e-09
1848,6.43617736884039e-09
1849,1.3407063903514427e-08
1850,1.6972489191857676e-08
1851,2.0638204034639784e-08
1852,2.669323606596663e-08
1853,2.508211416341055e-08
1854,2.1302223984775992e-08
1855,7.429711956774554e-09
1856,1.6049286344355096e-08
1857,1.610898081594314e-08
1858,1.7127865348243176e-08
1859,5.092173349652285e-09
1860,1.327383358784573e-08
1861,1.131831339762357e-08
1862,6.776979422085105e-09
1863,2.6970951694238465e-08
1864,6.233146443435089e-09
1865,1.4591217123438582e-08
1866,2.8707116683790446e-08
1867,2.135237053835226e-08
1868,5.433861360870651e-09
1869,1.0743741896135361e-08
1870,9.747882501187632e-09
1871,1.0621176826930423e-08
1872,9.071008832961525e-09
1873,2.8134220286801792e-08
1874,5.974609251779839e-09
1875,1.3731664694205392e-08
1876,9.673623679873344e-09
1877,8.040260901509555e-09
1878,9.058632954861423e-09
