year,vos_DET aigles_NOUN,vos_DET règles_NOUN
1800,9.432493897065797e-09,3.144164439916608e-08
1801,9.524730337773235e-09,4.286128785224719e-08
1802,0.0,4.475680270843441e-09
1803,0.0,2.9255089017965474e-08
1804,2.4718509461507665e-09,6.921182915675672e-08
1805,2.842877711017877e-09,3.1271653710973624e-08
1806,4.610670600868616e-08,1.2967510709671615e-07
1807,2.8469551160981155e-08,1.9928686256776018e-08
1808,2.7192887941396293e-08,3.852325747288887e-08
1809,8.132510176395158e-08,2.0331274441787173e-08
1810,3.7442028144596406e-08,1.0296557917399696e-07
1811,1.2535383842049441e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,4.000812481308458e-08
1813,1.7254450312975678e-08,3.1633157648869314e-08
1814,5.97868634599763e-08,2.5173417128598885e-08
1815,1.8341119512044202e-07,1.0788894222457657e-08
1816,2.7811246638975717e-08,9.270415368689555e-08
1817,3.113746771532533e-08,3.42512151974006e-08
1818,2.5034472272977837e-08,1.0252212856443066e-07
1819,1.4491470468058765e-08,5.796588153916815e-08
1820,3.9159388620646496e-08,1.6613073583471305e-08
1821,3.0570614484304315e-08,8.678109697513037e-08
1822,8.72228582693424e-08,8.020492714422289e-08
1823,1.1859224713361982e-08,1.0376821080182452e-07
1824,2.863178316658832e-08,8.336901569094834e-08
1825,1.8491431275080572e-08,4.226612748681191e-08
1826,2.1139161532346407e-08,6.341749070326586e-08
1827,3.3182182335167454e-08,6.82078233893435e-08
1828,2.5682442839070063e-08,7.613009955775851e-08
1829,1.457439946506156e-08,5.915491385621863e-08
1830,2.2961039292113128e-08,5.63589133140141e-08
1831,4.2096257146795324e-08,4.053713453799901e-08
1832,6.764984572527055e-09,4.329590197471589e-08
1833,1.2741991461950875e-08,3.243415902520752e-08
1834,3.080395316601425e-08,6.347481251722797e-08
1835,2.193295500774184e-08,6.958040899007756e-08
1836,2.5538849701689514e-08,1.1626897372662981e-07
1837,1.6003149028165353e-08,7.236206300831327e-08
1838,2.0830134062066463e-08,4.923486174313041e-08
1839,2.3771015378315496e-08,3.7054818102788545e-08
1840,1.9109066329292546e-08,3.3759348205819606e-08
1841,1.7977535904378783e-08,7.897274878487792e-08
1842,2.683305977413397e-08,5.0311989241436095e-08
1843,1.3585895075607368e-08,5.906911254571767e-08
1844,2.4698525891153622e-08,8.013299557241282e-08
1845,2.0646844234306627e-08,1.1439467062501762e-07
1846,1.4050803187615202e-08,7.55230664672979e-08
1847,2.9123407685460734e-08,4.422443389273667e-08
1848,8.84974404868899e-09,6.114368644727364e-08
1849,1.005529792763582e-08,3.0165893560862855e-08
1850,1.2220192857625989e-08,4.0055077477063605e-08
1851,1.4188765273814852e-08,5.997978114180569e-08
1852,2.408901789152651e-08,5.7292798727459626e-08
1853,2.5679306681070102e-08,8.778740046011535e-08
