year,devez_VERB avoir_VERB
1800,6.822837121944758e-07
1801,7.857902346586343e-07
1802,5.572221652982989e-07
1803,5.616976750388858e-07
1804,1.0109870345331728e-06
1805,4.406460334394069e-07
1806,1.5157579582592007e-06
1807,3.9287979802793416e-07
1808,6.050417482583725e-07
1809,6.890043096063891e-07
1810,8.377653557545273e-07
1811,4.437525831235689e-07
1812,3.787435787216964e-07
1813,6.815507731516846e-07
1814,5.569618792833353e-07
1815,5.879947480025294e-07
1816,8.575134415877983e-07
1817,8.531666253475123e-07
1818,6.49704190891498e-07
1819,8.912253974813211e-07
1820,9.505051252745034e-07
1821,1.566990476931096e-06
1822,1.0957998028970906e-06
1823,9.111837471209583e-07
1824,7.966372663759103e-07
1825,8.400392630392162e-07
1826,7.275394864336704e-07
1827,7.383035836028284e-07
1828,8.062452820922772e-07
1829,7.115735911611409e-07
1830,8.067673888945137e-07
1831,7.530552466050722e-07
1832,1.2028142464259872e-06
1833,7.69152904922521e-07
1834,6.142121264929301e-07
1835,7.162244060054945e-07
1836,9.099895805775304e-07
1837,9.135710570262745e-07
1838,6.425780725294317e-07
1839,9.270696068597317e-07
1840,6.261403768803575e-07
1841,6.34992261439038e-07
1842,7.191260351646633e-07
1843,5.641099960485008e-07
1844,7.343695074268908e-07
1845,7.103629968696623e-07
1846,6.235043770175253e-07
1847,5.155922053745599e-07
1848,4.3685554373951163e-07
1849,4.533263506800722e-07
1850,4.7522971158286964e-07
1851,4.701640818893793e-07
1852,5.143330668033741e-07
1853,6.778142846997071e-07
1854,8.240323836616881e-07
1855,7.052919386296708e-07
1856,7.99358019776264e-07
1857,6.448473754971928e-07
1858,1.019352680486918e-06
1859,9.104805940296501e-07
1860,1.1548235079317237e-06
1861,1.0280800779582933e-06
1862,1.0233238754153717e-06
1863,1.2846164736401988e-06
1864,8.596946940997441e-07
1865,1.0797500635817414e-06
1866,7.240032005029207e-07
1867,7.293775752259535e-07
1868,8.442244734396809e-07
1869,7.847815481909493e-07
1870,6.542549613186566e-07
1871,5.703572014681413e-07
1872,6.452510774579423e-07
1873,6.309248874458717e-07
1874,6.870800461911131e-07
1875,7.117579912119254e-07
1876,7.630070513187093e-07
1877,6.537350714097556e-07
1878,4.958091608386894e-07
1879,5.889389740332263e-07
1880,7.502462153752276e-07
1881,6.826085154898465e-07
1882,7.713591116953467e-07
1883,5.112345320412714e-07
1884,5.063501475888188e-07
1885,5.414333941189398e-07
1886,4.1947515683204983e-07
1887,5.732395607083163e-07
1888,4.413067813402449e-07
1889,5.181267965781444e-07
1890,4.0637195297676953e-07
1891,4.149617325310828e-07
1892,4.431838362961571e-07
1893,4.267782571787393e-07
1894,4.0581912230663875e-07
1895,4.622295932676934e-07
1896,3.420276755150553e-07
1897,4.643890747502155e-07
1898,4.1815243889686826e-07
1899,4.720552055914595e-07
1900,4.324147369061393e-07
1901,3.4929618664136797e-07
1902,3.1671331157667737e-07
1903,3.5371442663745256e-07
1904,3.724615282862942e-07
1905,4.0253920019495126e-07
1906,3.986743024597672e-07
1907,3.687418654862995e-07
1908,4.719844923783967e-07
1909,4.5163073991716374e-07
1910,4.2806647115867236e-07
1911,4.0381638655162533e-07
1912,4.308191421387164e-07
