year,aux_ADP ondes_NOUN,aux_ADP rondes_NOUN
1800,1.5720823043352539e-07,0.0
1801,2.3335588750228453e-07,1.1905912700171939e-08
1802,1.3650824826072494e-07,0.0
1803,8.386458461018265e-08,2.7304748684287006e-08
1804,1.87860678790841e-07,4.943701892301533e-09
1805,1.0802935390685775e-07,2.842877711017877e-09
1806,1.671368039524168e-07,5.76333825108577e-09
1807,1.195721210933698e-07,5.693910232196231e-09
1808,1.5409302811519865e-07,1.3596443970698147e-08
1809,1.3780085539316644e-07,3.388545621874073e-08
1810,1.8721013361755467e-07,2.3401267590372754e-09
1811,1.2284675676710322e-07,1.0028307073639553e-08
1812,1.0935553973467904e-07,1.0668832928217853e-08
1813,1.1790540810352468e-07,1.1502966579257645e-08
1814,5.97868634599763e-08,0.0
1815,5.39444717784221e-08,1.8880564667256294e-08
1816,1.1356259221884102e-07,1.622322720606917e-08
1817,1.71256075987003e-07,0.0
1818,1.4424624339426373e-07,4.768470951432846e-09
1819,4.5544620519422097e-08,0.0
1820,8.899861114741725e-08,7.119888678630559e-09
1821,1.3017164235407108e-07,5.9168927535324656e-09
1822,9.724847416237026e-08,1.0025615893027862e-09
1823,2.065481496948962e-07,8.894418535021487e-09
1824,1.4484314192486636e-07,2.4421225930382207e-08
1825,2.0164463876426453e-07,0.0
1826,1.2243098135300556e-07,6.1655889282974385e-09
1827,1.843454668915001e-07,3.6869092223668076e-09
1828,1.1281930528683759e-07,7.337841001486822e-09
1829,6.687077558353849e-08,5.143905745796928e-09
1830,1.2106729641025993e-07,1.0436835395921662e-08
1831,2.8843732025052304e-07,1.091384405071949e-08
1832,1.5288865995444212e-07,1.352996914505411e-08
1833,1.969216907315996e-07,1.2741991461950875e-08
1834,1.4001795989315724e-07,1.6802156110884425e-08
1835,2.208421676641592e-07,1.0588323107185715e-08
1836,2.0027835034852615e-07,1.344150035720304e-08
1837,1.6838095873161762e-07,2.7831563720326358e-08
1838,1.836839089719433e-07,6.312161904276081e-10
1839,1.6639710809229769e-07,8.3897702118918e-09
1840,1.764403818604876e-07,2.165694112932215e-08
1841,1.5858754442987788e-07,3.5955071808757566e-08
1842,1.663649680239132e-07,1.609983613093391e-08
1843,1.228637529493426e-07,8.269675610961258e-09
1844,1.201994876964818e-07,1.1525978393933656e-08
1845,1.1439467328955288e-07,1.5066614622583074e-08
1846,1.6216968945492738e-07,1.6392604607062822e-08
1847,1.2889805134363996e-07,1.4022381478184798e-08
1848,1.3274615184855065e-07,7.24069959545659e-09
1849,1.5837094924364692e-07,1.5920887719289567e-08
1850,1.1473403560557927e-07,5.431196825611551e-09
1851,1.6123597390560462e-07,1.7413483988093503e-08
1852,1.263045845689703e-07,1.6276363368206148e-08
1853,1.6422811999206033e-07,2.1498955282694965e-08
1854,1.465177374981863e-07,1.1430461910322265e-08
1855,1.586774267536839e-07,7.960405667972736e-09
1856,1.827547810862029e-07,1.3460691838940164e-08
1857,1.5035048339662183e-07,1.7573432709028225e-08
1858,1.8644905064313377e-07,1.6149130033227266e-08
1859,1.5938502384571507e-07,1.2221216039165483e-08
1860,1.7759474246759055e-07,1.6477862629926676e-08
1861,1.7260426798948458e-07,2.7824185455660455e-08
1862,1.8388203670838266e-07,2.1686334505943705e-08
1863,2.3724449249584723e-07,1.1487628293060936e-08
1864,2.0185804028294285e-07,2.6371004491210215e-08
1865,2.1651483450568776e-07,1.0825742413622663e-08
1866,2.1846601860886494e-07,2.6760870852626795e-08
1867,2.3827303863299676e-07,9.7056229719783e-09
1868,4.2334721683801035e-07,7.409810987013543e-09
1869,2.4515264840374584e-07,2.978946633813706e-08
1870,3.1135886047195527e-07,6.880858549607183e-09
1871,2.1029930508120742e-07,9.559059321873065e-09
1872,3.537693373800721e-07,2.1770421021471975e-08
1873,1.98735346568224e-07,2.095101514498765e-08
