year,ses_DET août_NOUN,ses_DET routes_NOUN
1800,0.0,3.301372775155187e-07
1801,0.0,1.476333271188679e-07
1802,0.0,1.3650824826072494e-07
1803,0.0,1.5407680109547073e-07
1804,0.0,8.651478111687538e-08
1805,0.0,2.1605870870189392e-07
1806,2.881669125542885e-08,1.873084869430386e-07
1807,0.0,2.44838133767189e-07
1808,6.798221985349073e-09,2.3567168883076306e-07
1809,0.0,1.2424667783506038e-07
1810,2.3401267590372754e-09,2.129515319637676e-07
1811,7.521229861140455e-09,7.771937760026049e-08
1812,8.00162425207418e-09,1.733685350835401e-07
1813,0.0,1.8692320225000003e-07
1814,3.1466771410748606e-09,1.6362721666496327e-07
1815,0.0,1.1867783467067738e-07
1816,0.0,7.416332259424507e-08
1817,0.0,1.5257359908815715e-07
1818,0.0,1.9550731522599563e-07
1819,0.0,1.8114337940744463e-07
1820,0.0,1.1747816408558265e-07
1821,0.0,1.4101928824672427e-07
1822,1.0025615893027862e-09,1.7645083971729036e-07
1823,0.0,1.4033415496328416e-07
1824,0.0,2.9473894347376017e-07
1825,0.0,1.558563464953977e-07
1826,0.0,1.1098060581637981e-07
1827,0.0,1.8711064048160253e-07
1828,9.172301251858528e-10,2.2839029628629604e-07
1829,8.57317605795771e-10,2.1347208378763582e-07
1830,0.0,2.7553247594624963e-07
1831,0.0,2.9935116430124253e-07
1832,1.3529969367098715e-09,2.205385070119803e-07
1833,0.0,2.5947326776076807e-07
1834,2.8003592777992026e-09,2.0722658922167625e-07
1835,7.563087933704082e-10,2.7983423933619633e-07
1836,0.0,2.399307845735166e-07
1837,0.0,3.2632507618313156e-07
1838,0.0,2.6195473101786604e-07
1839,6.9914751765765e-10,1.7758347148344455e-07
1840,0.0,2.401372696247961e-07
1841,6.420548537278137e-10,2.3370796187194287e-07
1842,6.708265054555795e-10,2.4820581234763495e-07
1843,0.0,2.457274965728118e-07
1844,0.0,2.4972955192659185e-07
1845,7.254296274794569e-09,2.209770209038453e-07
1846,1.1709002656346001e-09,1.5982788248436464e-07
1847,0.0,1.7258315843093897e-07
1848,8.045221711050488e-10,1.424004269501289e-07
1849,1.005529792763582e-08,2.9830717895862335e-07
1850,3.394498016007219e-09,2.1792677706855557e-07
1851,1.2898877521649865e-09,2.0186743188155276e-07
1852,1.9531636308300904e-09,1.386746220077839e-07
1853,5.971931837933653e-10,1.9110182170045675e-07
1854,0.0,1.9431785230894505e-07
1855,0.0,1.5708533496194832e-07
1856,2.0708756931497874e-09,1.5376252715526562e-07
1857,4.881508974818871e-09,1.7475803038013993e-07
1858,0.0,2.339177123111824e-07
1859,0.0,1.8586432082301485e-07
1860,0.0,2.0002293066312404e-07
1861,0.0,1.914681209136404e-07
1862,0.0,2.5526623703697737e-07
1863,0.0,1.4933915903903028e-07
1864,0.0,1.6733600016749506e-07
1865,4.706844358715045e-10,1.670929714592262e-07
1866,4.865612912574591e-10,2.136004031427774e-07
1867,0.0,1.965388705116311e-07
1868,0.0,2.0747470586002237e-07
1869,0.0,1.880154867350825e-07
1870,5.734048791339319e-10,1.5825974442051916e-07
1871,0.0,3.101383738712826e-07
