year,toutes_DET aides_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,1.3596443970698147e-08
1809,0.0
1810,2.3401267590372754e-09
1811,3.760615285841595e-08
1812,0.0
1813,0.0
1814,3.776012391654149e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,2.966620371580575e-08
1821,9.86148829262845e-10
1822,3.0076847679083585e-09
1823,9.882686891060644e-10
1824,0.0
1825,1.584979791857677e-08
1826,5.2847905607222856e-08
1827,0.0
1828,2.8434133270138773e-08
1829,6.858540846366168e-09
1830,1.5655253093882493e-08
1831,0.0
1832,0.0
1833,1.0425265983826648e-08
1834,1.0267983796552471e-08
1835,1.285724948729694e-08
1836,1.1425274948351216e-08
1837,1.9482094937295358e-08
1838,5.680945491803868e-09
1839,2.7965900706306e-09
1840,1.0191501864653674e-08
1841,1.926164561183441e-09
1842,1.0062397581833693e-08
1843,1.2995204023980023e-08
1844,8.781698035420504e-09
1845,6.696273757711424e-09
1846,0.0
1847,1.4022381478184798e-08
1848,1.850401076808339e-08
1849,3.3517659758786067e-09
1850,5.431196825611551e-09
1851,5.159551008659946e-09
1852,1.8880582430824688e-08
1853,4.180352286553557e-09
1854,7.79349651480743e-09
1855,2.600399184871094e-08
1856,2.2261913201759853e-08
1857,3.4170564155999728e-09
1858,8.31924928945682e-09
1859,1.9859475841599306e-08
1860,2.746310290291376e-09
1861,1.6034276684173676e-08
1862,8.13237568952907e-09
1863,1.7481172620570362e-08
1864,6.712618905169165e-09
1865,1.8827376990770972e-08
1866,1.1677471434268227e-08
1867,1.4073153309368536e-08
1868,5.9278488784286765e-09
1869,5.371870948067681e-09
1870,8.027668307875047e-09
1871,1.274541272522356e-08
1872,5.442605477412599e-09
1873,4.788803575905831e-09
1874,1.3144139998644278e-08
1875,1.3159512590732447e-08
1876,5.441413541973361e-09
1877,6.184816214727107e-09
1878,1.268208649207736e-08
1879,1.2829582729523281e-08
1880,5.134277003548959e-09
1881,3.4862537301449947e-09
1882,1.4641846846075168e-08
1883,1.390254544819669e-08
1884,1.0562715146988921e-08
1885,1.933690718658454e-08
1886,2.0005737511041843e-08
1887,2.2198344495905076e-08
1888,3.1703073499755874e-09
1889,1.0024218788373673e-08
1890,1.0487018642368895e-08
1891,1.3385862196457765e-08
1892,1.5044429702015805e-08
1893,8.621783342821487e-09
1894,8.822155450616265e-09
1895,3.611168697403855e-09
1896,3.538217441256819e-09
1897,1.3401440845939305e-08
1898,5.0925195393958234e-08
1899,9.949641111006713e-09
1900,7.78657960331941e-09
1901,1.676621730339889e-09
1902,6.8743973291596205e-09
1903,1.5660639007819555e-08
1904,9.674325340824907e-09
1905,1.6514429157510335e-08
1906,7.716276506641861e-09
1907,5.65712765521198e-09
1908,6.875944702500192e-09
1909,7.701377313651392e-09
1910,4.809735720812114e-09
1911,4.788336727123976e-09
