year,dois_VERB envoyer_VERB,dois_VERB renvoyer_VERB
1800,6.288328968651058e-09,1.8864987794131594e-08
1801,3.5717739876872656e-08,3.095537337571841e-08
1802,2.0140561218795483e-08,5.594600338554301e-08
1803,0.0,5.655983770225248e-08
1804,9.887403784603066e-09,3.460591457837836e-08
1805,2.842877711017877e-09,8.24434565060983e-08
1806,8.645007376628655e-09,0.0
1807,1.4234775136401367e-08,7.971474502710407e-08
1808,0.0,1.3596443970698147e-08
1809,1.129515236897305e-08,4.969867006821005e-08
1810,2.106114038724627e-08,4.914266327205041e-08
1811,7.521229861140455e-09,4.262030373070047e-08
1812,0.0,2.400487453257938e-08
1813,8.627225156487839e-09,2.3293507922517165e-07
1814,9.440030979135372e-09,8.496028414128887e-08
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,9.502176112619054e-08
1817,1.2454987263765815e-08,9.49692804397273e-08
1818,4.768470951432846e-09,4.6492591110336434e-08
1819,1.7596784473994376e-08,6.003609342997152e-08
1820,3.678609061807947e-08,6.051905643289501e-08
1821,2.2681422962023134e-08,4.7335142028259725e-08
1822,1.2030739071633434e-08,3.709477880420309e-08
1823,3.9530746676064155e-08,2.3718449426723964e-08
1824,2.189489300974401e-08,7.073734309415158e-08
1825,7.044354433105582e-09,6.516027895031584e-08
1826,7.0463874735082754e-09,4.315912249808207e-08
1827,1.8434546111834038e-09,1.6591091167583727e-08
1828,1.834460228167245e-08,3.118582370120748e-08
1829,1.2859763920403111e-08,9.344761764396026e-08
1830,1.6698937344017395e-08,6.262101237552997e-08
1831,6.236482441579483e-09,4.8332740476553226e-08
1832,1.8941957335982806e-08,4.6001897402447867e-08
1833,4.6334514003376626e-09,3.243415847009601e-08
1834,1.5868701908061666e-08,4.29388435918554e-08
1835,1.5126175867408165e-08,3.7059130875150004e-08
1836,2.8899226123257904e-08,5.511014933290426e-08
1837,3.339787468803479e-08,4.0355768504696243e-08
1838,2.019891809368346e-08,4.607878167917079e-08
1839,2.586845759822154e-08,6.641901251214222e-08
1840,1.9746034141121527e-08,7.516232614079854e-08
1841,2.632424944692957e-08,5.8426991245141835e-08
1842,2.0795621225033756e-08,3.6895457355967665e-08
1843,2.658109998776581e-08,8.210606239344997e-08
1844,1.0428266250528395e-08,7.519329159322297e-08
1845,9.48638767539478e-09,1.0937246486264485e-07
1846,1.5807152919933287e-08,7.083946940156238e-08
1847,5.9325460100012606e-09,5.123562374365065e-08
1848,3.298540818263973e-08,6.677534258869855e-08
1849,2.513824481908955e-09,2.76520690789539e-08
1850,3.869727649430388e-08,4.820187271548093e-08
1851,1.2253933867611977e-08,4.901573547044791e-08
1852,2.148479971708639e-08,4.557381672043448e-08
1853,3.2248433257109355e-08,4.777545470346922e-08
1854,4.052618152172727e-08,3.4810952342922974e-08
1855,1.2736649068756378e-08,5.3600064831016425e-08
1856,2.0708757375587084e-08,1.7602443946884705e-08
1857,5.125584578991038e-08,2.5383847912507917e-08
1858,1.0766087576996597e-08,4.600055447667728e-08
1859,1.8331824946926645e-08,3.8700516569178944e-08
1860,1.4646988510946812e-08,5.126446112058147e-08
1861,9.903524222920623e-09,2.2165028923382124e-08
1862,2.3493528900075944e-08,3.8402884428023754e-08
1863,1.1987090431375691e-08,3.696019490462277e-08
1864,2.6371003158942585e-08,2.0617330065419992e-08
1865,9.88437331983505e-09,2.0710114512212385e-08
1866,2.7247432754506917e-08,2.6760870852626795e-08
1867,1.261730986357179e-08,2.814630661873707e-08
1868,1.6301584082611953e-08,2.766329387782207e-08
1869,1.2697149998075474e-08,3.7603097524652185e-08
1870,2.0069171213776826e-08,3.956493799250893e-08
1871,3.080141297573391e-08,3.9298356568906456e-08
1872,1.3908880269752899e-08,2.8422494580127022e-08
1873,2.095101514498765e-08,5.926144552859114e-08
1874,8.364453130127458e-09,3.0470506118263074e-08
1875,2.9179789251543298e-08,2.1169650921137873e-08
1876,9.673623679873344e-09,7.013377256726017e-08
1877,9.27722432209066e-09,5.1952454782622226e-08
1878,1.268208649207736e-08,4.408534692856847e-08
1879,1.221865097988939e-08,2.1382637882538802e-08
1880,1.9895322722618403e-08,3.144744553651435e-08
1881,1.6036766581351003e-08,2.998178416646624e-08
1882,9.317538740560849e-09,3.394246306243076e-08
1883,1.3902545781263598e-08,1.579834751908038e-08
1884,6.601696966868076e-09,1.1222884843675729e-08
1885,1.4180398189012067e-08,2.2559724754955823e-08
1886,6.453463874400711e-10,4.323820945728585e-08
1887,1.8933882017790893e-08,1.697520346510828e-08
1888,1.268122939990235e-08,1.014498351992188e-08
