year,vous_PRON appelez_VERB,vous_PRON rappelez_VERB
1800,1.3645673959672422e-06,1.1224666991438426e-06
1801,1.8406541784088404e-06,8.524633798856485e-07
1802,1.0629740927470266e-06,8.459035427677009e-07
1803,9.576165567182215e-07,1.3067272988109835e-06
1804,1.3891801842191853e-06,1.3619898311389989e-06
1805,1.105879377405472e-06,6.794477798166554e-07
1806,1.0662176279652158e-06,5.302271048890361e-07
1807,7.85759610266723e-07,7.231266145879545e-07
1808,6.345007435015759e-07,5.076005855642052e-07
1809,1.0097866365299524e-06,9.91714372844399e-07
1810,1.3900352655582537e-06,1.1139003390781e-06
1811,8.223211693803023e-07,4.989082853512627e-07
1812,8.29501757948492e-07,1.037543995607848e-06
1813,9.518705077482537e-07,9.001071532566129e-07
1814,1.422298012698775e-06,1.1422438177532968e-06
1815,1.0977699886893788e-06,9.979727337849909e-07
1816,1.0359689355254886e-06,7.439508351581026e-07
1817,1.5848970917886618e-06,8.734059520065784e-07
1818,1.8275164848091663e-06,1.0848271188024228e-06
1819,1.5630085314910502e-06,7.32854367413438e-07
1820,1.5200961911432387e-06,1.092902905952542e-06
1821,2.1468459152629293e-06,1.1952123344372012e-06
1822,1.774534041487641e-06,1.0145922999527102e-06
1823,1.5772768335864384e-06,1.05942405781434e-06
1824,1.4021152452414753e-06,8.210584923062925e-07
1825,1.2855946849299471e-06,7.669541162158566e-07
1826,1.4418670417626345e-06,7.081619344262435e-07
1827,1.2729054432725206e-06,6.839216482035226e-07
1828,1.53085713350265e-06,1.3391559861020141e-06
1829,1.3991423628567645e-06,1.3176971833672724e-06
1830,1.558219608455147e-06,1.2931240149782752e-06
1831,2.0128246802642025e-06,1.3455210989832267e-06
1832,1.662833184923329e-06,1.3299959817913987e-06
1833,1.626341472160675e-06,1.3645514798099612e-06
1834,1.7968971661730393e-06,1.1612156498586046e-06
1835,1.9837979436942987e-06,1.4256420968195016e-06
1836,1.7473950464363952e-06,1.303825456488994e-06
1837,1.5321275981250437e-06,1.3839245553981527e-06
1838,1.4555845098129794e-06,1.0730675370496101e-06
1839,1.502468052194672e-06,1.2304996488410325e-06
1840,1.48859625426212e-06,1.3656612054546713e-06
1841,1.5357951568262251e-06,1.4195832420682564e-06
1842,1.5824796832930588e-06,1.3912942193883282e-06
1843,1.7230459832262568e-06,1.1996936422065119e-06
1844,1.7107845167174673e-06,1.1657704135359381e-06
1845,1.704201636698599e-06,1.0178335685395723e-06
1846,1.8617314623270431e-06,1.2042709016668596e-06
1847,1.4362154772129543e-06,1.1428240753730279e-06
1848,1.9574025031943165e-06,1.5768634682444826e-06
1849,2.0403875566898932e-06,1.7554874602865311e-06
1850,1.8914143282700024e-06,1.4582763441239877e-06
1851,1.6007507213089411e-06,1.4221012065718242e-06
1852,1.7285497619923262e-06,1.1621324205179917e-06
1853,1.421916991262151e-06,1.100627017081024e-06
1854,1.63975169442665e-06,1.1882484471925636e-06
1855,1.4376492742940172e-06,1.1749559263307674e-06
1856,1.5122569934078456e-06,1.0716781986275237e-06
1857,1.578679984959308e-06,1.2076853295184264e-06
1858,2.007875210097154e-06,1.3066114661341999e-06
1859,1.5363087015884958e-06,1.2002252844922623e-06
1860,1.7970024401847695e-06,1.367204816915546e-06
1861,1.7260427398468892e-06,1.4595907771308703e-06
1862,1.6824980377805332e-06,1.5862649433984188e-06
1863,1.9184338100330933e-06,1.3140847556769586e-06
1864,1.808571369110723e-06,1.681031591260762e-06
1865,1.8003680111178255e-06,1.8060162290112203e-06
1866,1.6290072011315715e-06,1.5029878284167353e-06
1867,1.6004572103156534e-06,1.4655490758741507e-06
1868,1.6360862673536758e-06,1.5560602832920267e-06
1869,1.9856388320249607e-06,1.4211040593181679e-06
1870,1.5252569625090473e-06,1.3973876491490955e-06
1871,1.4763435842723993e-06,1.5549403826753405e-06
1872,1.797873935061034e-06,1.994412542671853e-06
1873,1.484529164486048e-06,1.9616136341937818e-06
1874,1.4034356681236204e-06,2.0952954855602e-06
1875,1.806858222153096e-06,1.8223063875666412e-06
1876,1.4619263239978864e-06,1.6572126924074837e-06
1877,1.223356576929291e-06,1.4862113175695413e-06
1878,1.1431994835220394e-06,1.2458639560009033e-06
1879,1.5829261315047916e-06,1.4717364962280044e-06
1880,1.4318215519892874e-06,1.3971651071642555e-06
1881,1.4698045447403274e-06,2.0094766739475745e-06
1882,1.5067792560330417e-06,1.4515395605485537e-06
1883,1.2562845768115949e-06,1.601952419605368e-06
1884,1.1929266605648081e-06,1.5771454116020323e-06
1885,1.0828667669215974e-06,1.7370987563936069e-06
1886,1.0738563887002783e-06,1.7140399677373352e-06
1887,1.1197105891369574e-06,1.6740162891437649e-06
1888,1.216129888348405e-06,1.5991030579698418e-06
1889,1.1327367275271172e-06,1.561898585578092e-06
1890,1.0375594001743593e-06,1.5317600912112539e-06
1891,1.0103138876615958e-06,1.7267762189021596e-06
1892,9.722462763761541e-07,1.71819922911709e-06
1893,9.767248414505048e-07,1.6794001851394569e-06
1894,1.0044653464547082e-06,1.563411842653295e-06
1895,1.1760372515823292e-06,1.8982709661941044e-06
1896,9.158086129446019e-07,1.6346564564173605e-06
1897,9.526676834070713e-07,1.7882184124573541e-06
1898,1.0343472709450907e-06,1.7218374068761477e-06
1899,1.0706919866265707e-06,1.7445037769903138e-06
1900,1.02004192115146e-06,1.6647707639094733e-06
1901,9.176709241387471e-07,1.7235671236903727e-06
1902,8.131430107027882e-07,1.3277407049372414e-06
1903,9.11017174587414e-07,1.3441147643789009e-06
1904,1.0888990189528158e-06,1.357092827447559e-06
1905,1.0306035846952e-06,1.3990817251396948e-06
1906,8.482760449624038e-07,1.2773009814281977e-06
1907,9.611974149947855e-07,1.520224515161317e-06
1908,1.0289359977377899e-06,1.4852040521873278e-06
1909,9.90727130556479e-07,1.5056191386975115e-06
1910,1.0356963926483331e-06,1.629965964866642e-06
1911,9.081878644678909e-07,1.2385831382744072e-06
1912,9.027926779481277e-07,1.3935201650383533e-06
1913,9.009779660118511e-07,1.4943825021873636e-06
1914,8.685676782249629e-07,1.2810870373414218e-06
1915,6.726815229285421e-07,1.3759929800016835e-06
1916,8.603182948263566e-07,1.6635017630051152e-06
1917,7.522967422346483e-07,1.602194572569715e-06
1918,9.074237325989998e-07,1.730996871174284e-06
1919,8.471220418471148e-07,1.5727005404642114e-06
1920,9.404711676097577e-07,1.5984981018846156e-06
1921,8.852541668602498e-07,1.6417716039995867e-06
1922,1.0211062146936456e-06,1.7050408587238053e-06
1923,1.0775187107014972e-06,1.5276348790393968e-06
1924,1.1628245033534768e-06,1.625633871071841e-06
1925,1.0756218316032573e-06,1.559541658480157e-06
1926,1.1001238533481228e-06,1.508072500655544e-06
1927,1.1650939768514945e-06,1.8050594690066646e-06
1928,8.935164146350871e-07,1.3779806238289893e-06
1929,1.1541460480657406e-06,1.5886219557614822e-06
1930,9.589790082031868e-07,1.3686195643458632e-06
1931,9.272554919448339e-07,1.2397622697335464e-06
1932,9.1183346029311e-07,1.271306217631718e-06
1933,8.235935382572279e-07,1.0920070394604409e-06
1934,9.058074681433936e-07,1.0987108680637903e-06
1935,9.299356662495484e-07,1.0149105236223477e-06
1936,9.117785353396357e-07,1.086374396663814e-06
1937,8.247182563536626e-07,9.946983539066423e-07
1938,7.869885223499296e-07,1.0073971452584374e-06
1939,9.665839684203092e-07,9.619957523909761e-07
1940,6.593035735136255e-07,7.252338889429666e-07
1941,7.526331557983212e-07,9.62189858455531e-07
1942,9.132977325521097e-07,9.102635658564395e-07
1943,8.245187856914526e-07,1.0683905600217258e-06
1944,1.0250063766648054e-06,9.125448627855803e-07
1945,1.202534257060961e-06,1.3528510294236185e-06
1946,1.1387463842993384e-06,1.2723889994958881e-06
1947,1.2624202767597126e-06,1.3995102676744864e-06
1948,1.2220002361118532e-06,9.15412968538476e-07
1949,9.316340694454084e-07,7.902691550043528e-07
1950,1.24646439303433e-06,1.0965057697376324e-06
1951,1.1908785637615438e-06,1.198341550434634e-06
1952,1.0639707141990584e-06,9.585226763419996e-07
1953,9.125431574830145e-07,8.295847067074646e-07
1954,1.0700927148832307e-06,9.977759418688947e-07
1955,8.831857201130333e-07,8.193635636644103e-07
1956,1.0953754170373031e-06,9.471159643226201e-07
1957,8.896883230136154e-07,8.357945517900589e-07
1958,9.066378581223944e-07,1.0067320346252018e-06
1959,9.742689783820424e-07,8.820351240501623e-07
1960,9.391570827688156e-07,7.592154389612915e-07
1961,1.1276862110776165e-06,8.879747355194922e-07
1962,1.037544052451267e-06,7.978181031376153e-07
1963,1.1095747680656132e-06,7.733399769449534e-07
1964,1.1815066329745605e-06,9.624837815636056e-07
1965,9.521355437414059e-07,8.295617988096637e-07
1966,9.998030066071806e-07,8.674191036561751e-07
1967,1.060022178478448e-06,8.332267213972955e-07
1968,1.1264471098115791e-06,8.744786441639008e-07
1969,1.0468751554526534e-06,7.770947405560946e-07
1970,9.427386231664059e-07,7.197004805448159e-07
1971,9.870861745753245e-07,6.839207031816841e-07
1972,8.864893885629499e-07,6.51015611197181e-07
1973,8.837665390615257e-07,6.367750557956242e-07
1974,8.51711540406086e-07,5.625571759537706e-07
1975,7.322117312469345e-07,4.929007388909667e-07
1976,8.290327642157536e-07,4.5422538619277475e-07
1977,8.392044428262579e-07,4.619150431039998e-07
1978,8.322768572099903e-07,4.728710791823687e-07
1979,1.0041986371334133e-06,5.805157528016025e-07
1980,8.794927950361853e-07,5.412263419657393e-07
1981,9.266930121043515e-07,6.009272084384065e-07
1982,9.025708109788866e-07,5.139812060406257e-07
1983,8.860388334142044e-07,5.797460147505262e-07
1984,9.011659258817417e-07,5.793209396642851e-07
1985,8.548108034744928e-07,4.5236995305231176e-07
1986,9.627143455759324e-07,5.353075565039944e-07
1987,8.255713410676435e-07,4.778658748705311e-07
1988,8.862906710760399e-07,4.6413326515448716e-07
1989,9.165164058799746e-07,5.433240843899512e-07
1990,8.494446603890538e-07,4.680391043621057e-07
1991,9.776923874937893e-07,5.117059060921747e-07
1992,8.094108245870757e-07,4.925889953710794e-07
1993,9.422191880048558e-07,4.957590746812457e-07
1994,8.186685889199907e-07,4.5047872987424853e-07
1995,8.361419006064352e-07,4.6904200701192167e-07
1996,8.653047700590832e-07,4.911044868549652e-07
1997,7.475240408894024e-07,4.0564808756471393e-07
1998,7.81973199082131e-07,4.377142559519598e-07
1999,7.869886573530493e-07,5.118625381328457e-07
2000,7.638776544638404e-07,4.5063922016197466e-07
2001,8.087716736326911e-07,4.573984995204228e-07
2002,7.79857451504995e-07,4.591520195162957e-07
2003,8.663032957656469e-07,5.000307581326524e-07
2004,8.906488062621065e-07,5.003842957762572e-07
2005,8.831852724711098e-07,5.706250760795228e-07
2006,9.425849825106525e-07,5.468557873200552e-07
2007,1.0549420395022935e-06,6.075603380395478e-07
2008,1.1461027611403551e-06,6.777843708505316e-07
2009,1.2926569468163507e-06,7.247652291653139e-07
2010,1.6013658807878528e-06,9.716842157558858e-07
2011,1.911986004188293e-06,1.2661170956107526e-06
2012,2.376849295160355e-06,1.6752327383073862e-06
2013,2.4672600602571038e-06,2.027415035854574e-06
2014,2.595935754357015e-06,1.8057646968827612e-06
2015,2.587630035577604e-06,2.0370327433738566e-06
2016,2.625423434210461e-06,2.0065071453245764e-06
2017,2.235875314227087e-06,1.4907513161688257e-06
2018,2.5112508978963888e-06,1.93222777511437e-06
2019,2.4798151656568734e-06,1.8512518522584287e-06
