year,avez_VERB emporté_VERB,avez_VERB remporté_VERB
1800,4.087413785214267e-08,3.458580977167003e-08
1801,8.096020565062645e-08,3.095537337571841e-08
1802,4.0281122437590966e-08,3.8043282302169246e-08
1803,5.265916058760922e-08,1.5602713787643552e-08
1804,5.9324420931261557e-08,2.9662210465630778e-08
1805,3.695740957709859e-08,4.8328921309348516e-08
1806,4.610670600868616e-08,1.0085842205853623e-07
1807,2.562259560079383e-08,2.2775640928784924e-08
1808,4.078933102391602e-08,1.3596443970698147e-08
1809,1.3554183553310395e-08,3.388545621874073e-08
1810,4.914266327205041e-08,4.44624070894406e-08
1811,2.0056614147279106e-08,2.757784400841956e-08
1812,2.400487453257938e-08,2.1337665856435706e-08
1813,3.163315653864629e-08,1.4378708002027452e-08
1814,1.5733386149463513e-08,1.2586708564299443e-08
1815,2.4275012222574333e-08,1.8880564667256294e-08
1816,4.4034472068688046e-08,5.7940098940889584e-08
1817,4.3592454090912724e-08,3.42512151974006e-08
1818,7.987188865854478e-08,4.6492591110336434e-08
1819,2.898294049202832e-08,2.173720581311045e-08
1820,3.322614716694261e-08,5.93324074316115e-08
1821,4.339054981983281e-08,5.9168929311681495e-08
1822,6.015369535816717e-08,6.616906489398389e-08
1823,6.127265805844218e-08,6.127265805844218e-08
1824,3.8737120178211626e-08,6.315834610859383e-08
1825,2.4655239627691117e-08,5.6354835464844655e-08
1826,3.6112734136395375e-08,4.051672775062798e-08
1827,4.147772969531616e-08,5.899054755786892e-08
1828,3.8523666034961934e-08,6.053718948351161e-08
1829,3.3435387791769244e-08,2.3147574523818548e-08
1830,5.740259823028282e-08,1.982998831806526e-08
1831,2.6505050598757407e-08,5.76874619184764e-08
1832,3.111892965534935e-08,4.329590197471589e-08
1833,1.50587169400751e-08,4.170106393530659e-08
1834,2.8003592333902816e-08,8.58776871837108e-08
1835,3.1764969321557146e-08,3.781543966852041e-08
1836,3.1587525484155776e-08,4.5029025841358816e-08
1837,4.244313345225237e-08,3.6876823372722356e-08
1838,2.7142295522253335e-08,4.7341213615936795e-08
1839,4.61437359433603e-08,4.544459031308179e-08
1840,2.293087852933695e-08,5.414235459966221e-08
1841,2.632424944692957e-08,1.733548060656176e-08
1842,2.1466448174578545e-08,5.970355942963579e-08
1843,2.7171790151214736e-08,4.961805188941071e-08
1844,3.0187088384536764e-08,2.4149668931272572e-08
1845,1.6182660544927785e-08,2.3436957263811564e-08
1846,2.8101606375230404e-08,1.8148954339380907e-08
1847,1.5640349459999925e-08,2.426950729272903e-08
1848,2.091757700384278e-08,3.057184372323718e-08
1849,1.508294644736452e-08,5.865590324560799e-08
1850,2.5119284430275002e-08,2.7834882843080777e-08
1851,1.7413483988093503e-08,1.6123596680017727e-08
1852,2.2135854038651814e-08,2.539112742283578e-08
1853,1.4332636411040767e-08,5.1358615138497044e-08
1854,3.3771819119010615e-08,3.948704829781491e-08
1855,4.7231740296638236e-08,2.812676669350367e-08
1856,5.1254172461767666e-08,4.038207634948776e-08
1857,2.5383847912507917e-08,1.2691923956253959e-08
1858,2.0553439838977283e-08,3.327699715782728e-08
1859,1.9350258284589472e-08,7.485494535330872e-08
1860,3.020941363729435e-08,6.408057373619158e-08
1861,3.1125360067107977e-08,2.8295781717702084e-08
1862,6.189641510445654e-08,3.6595690033891515e-08
1863,3.0467187883687075e-08,4.694943456229339e-08
1864,2.7329949858767577e-08,5.3221480555976086e-08
1865,2.165148416111151e-08,4.1890913848874334e-08
1866,3.405929049904444e-08,4.962925004292629e-08
1867,2.9602150064533816e-08,3.979305418511103e-08
1868,3.7049055379156925e-08,2.321740844024589e-08
1869,2.0510780629479086e-08,2.8324411260882698e-08
1870,2.6376625328339287e-08,2.981705193860762e-08
1871,3.292564798584863e-08,9.559059321873065e-09
1872,2.116568786902917e-08,1.5723081503438152e-08
1873,3.412022664406322e-08,2.0352414864532875e-08
1874,1.9716210886144836e-08,1.4936523129449597e-08
1875,1.0870901512305409e-08,2.2313955128083762e-08
1876,2.8416270225761764e-08,1.4510435519810017e-08
1877,1.855444864418132e-08,1.6699003069220453e-08
1878,1.268208649207736e-08,1.4493812372506909e-08
1879,3.0546626561545054e-08,1.710611030603104e-08
1880,3.914886193001621e-08,2.3746030919369332e-08
1881,2.4403776777148778e-08,1.8825771164188154e-08
1882,2.7952617998039386e-08,3.8601232432711186e-08
1883,4.2339571848515334e-08,2.8437025179073316e-08
1884,3.3668655419205606e-08,1.9144920315739e-08
1885,1.933690718658454e-08,1.0313017106966527e-08
1886,3.0976625708944994e-08,7.098810428374236e-09
1887,3.721487118468758e-08,1.697520346510828e-08
1888,2.4728397107764977e-08,1.3315291091942072e-08
1889,3.5084767091575486e-08,2.0674951528576457e-08
1890,2.3595791986963377e-08,1.8352281472289178e-08
1891,2.358461337337303e-08,1.5935549768641977e-08
1892,2.0686091062316336e-08,1.3163876211308434e-08
1893,1.7243566574620672e-08,1.1700991287000306e-08
1894,1.2603078580752936e-08,2.2685540557176864e-08
1895,2.467631965430428e-08,1.0833506536300774e-08
1896,1.1794058174530164e-08,1.2973464080801023e-08
1897,9.322741689743452e-09,9.322741689743452e-09
1898,1.1316709347397591e-08,1.4145887128336199e-08
1899,1.1055156790007459e-08,1.7688250864011934e-08
1900,1.5054054003371675e-08,6.22926377147337e-09
1901,6.147612641171918e-09,1.3412973842719111e-08
1902,1.3748794991386148e-08,1.1293653123800595e-08
1903,1.5120615870500842e-08,1.296052865029651e-08
1904,1.6123875568041512e-08,1.666133897515465e-08
1905,1.651442893546573e-08,2.4255568220610257e-08
1906,7.201858220895474e-09,5.144184633820714e-09
1907,1.542852956504248e-08,1.131425531042396e-08
1908,2.2592390180875555e-08,1.276961114626829e-08
1909,1.5952851484257735e-08,1.5402754627302784e-08
1910,1.7101282168141552e-08,2.1911017000775246e-08
1911,8.51259862599818e-09,1.2236860413850081e-08
1912,1.2502610502451716e-08,2.031674206648404e-08
1913,1.2727175757731857e-08,2.5454351515463713e-08
1914,2.1429579888376793e-08,1.4732836284281348e-08
1915,4.712304768617059e-09,1.4136913861761968e-08
1916,2.307367097387214e-08,2.5271162940043723e-08
1917,3.5092558192673096e-08,1.7546279096336548e-08
1918,2.2972752589112133e-08,1.8378202071289707e-08
1919,1.8415697411455767e-08,1.5653341733923298e-08
1920,2.1202248845497706e-08,2.4231141537711665e-08
1921,2.499006690470651e-08,7.572747762196741e-09
1922,1.623145884366295e-08,1.0329110011753073e-08
1923,4.246379248229459e-09,1.1677542488541803e-08
1924,3.0939897754933554e-08,9.02413699321869e-09
1925,2.969508017258704e-08,1.2097995494286806e-08
1926,1.89484357093761e-08,3.1209186346359274e-08
1927,2.4528294062520217e-08,1.6723836537835268e-08
1928,1.82816659588525e-08,1.82816659588525e-08
1929,2.0052731031228177e-08,1.5596569369336066e-08
1930,2.4158287814657342e-08,2.2057568216382606e-08
1931,5.7026783295555106e-09,1.1405356659111021e-08
1932,1.753525857850491e-08,1.4247397928102146e-08
1933,1.261772819560747e-08,1.0323596200123575e-08
1934,1.7972370258689807e-08,1.7972370258689807e-08
1935,1.4361940969820353e-08,8.377798899061872e-09
1936,2.5461901032031165e-08,1.091224355320719e-08
1937,6.295559185076627e-09,7.554670666820584e-09
1938,2.074434313215079e-08,1.5558256905023882e-08
1939,4.7411557346777045e-08,1.8352860564618823e-08
1940,1.5214697057785997e-08,7.607348528892999e-09
1941,2.9515025090631752e-08,5.9030051957620344e-09
1942,3.034211815133858e-08,1.8205270180260413e-08
1943,2.322588166236983e-08,1.1612940831184915e-08
1944,5.1410978585408884e-08,9.639558484764166e-09
1945,1.9606536838523425e-08,1.5249527862692958e-08
1946,1.9489545977080525e-08,1.1136883415474585e-08
1947,2.8610090296865565e-08,1.3112957830685446e-08
1948,1.9569398546082084e-08,1.4133454406817236e-08
1949,1.7670615193310368e-08,1.8652315247891238e-08
1950,2.6588404367089424e-08,5.317680518146517e-09
1951,1.8124383771578323e-08,2.1322803078760444e-08
1952,1.2653764258629963e-08,1.370824520563474e-08
1953,1.2928593307037772e-08,2.0470272588113403e-08
1954,2.5408594339637602e-08,1.6613311615287785e-08
1955,1.783265446420046e-08,1.595553378308523e-08
