year,voulons_VERB emporter_VERB,voulons_VERB remporter_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,2.9584463767662328e-09,0.0
1822,0.0,0.0
1823,0.0,9.882686891060644e-10
1824,1.6842225392110777e-09,0.0
1825,2.641632912414593e-09,0.0
1826,0.0,1.7615968683770689e-09
1827,0.0,3.6869092223668076e-09
1828,1.8344602503717056e-09,1.559291185060374e-08
1829,8.57317605795771e-10,4.286587973467704e-09
1830,0.0,0.0
1831,0.0,4.677361609140007e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0
1834,9.334530925997342e-10,4.667265685043276e-09
1835,7.563087933704082e-10,7.563087933704082e-10
1836,7.392825018825988e-09,5.376600054063374e-09
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,0.0,7.574594285131298e-09
1839,0.0,2.0974426639952526e-09
1840,1.9109065441114126e-09,6.369688665408546e-10
1841,6.420548537278137e-10,3.2102742686390684e-09
1842,2.683306021822318e-09,2.0124795163667386e-09
1843,3.5441467538532834e-09,1.7720733769266417e-09
1844,6.586273748609983e-09,5.488561272137815e-10
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,0.0,0.0
1847,5.393223645455691e-10,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,0.0,2.0366988096043315e-09
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,4.557382027314816e-09,2.6042181744401205e-09
