year,devons_VERB établir_VERB,devons_VERB rétablir_VERB
1800,4.7162465932615305e-08,9.432493897065797e-09
1801,1.6668277424969347e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,1.3652374342143503e-08,7.801356893821776e-09
1804,2.4718509461507665e-09,0.0
1805,3.4114531644036106e-08,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,3.172503681980743e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,2.574139479349924e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,3.776112933451259e-08,0.0
1816,3.244645441213834e-08,2.3176038865813098e-08
1817,1.5568733857662664e-08,1.0898113522728181e-08
1818,3.2187177367859476e-08,5.960588467246453e-09
1819,3.9333990287104825e-08,1.1386155129855524e-08
1820,3.559944161679596e-08,1.3053129244156025e-08
1821,2.6626018723163725e-08,7.88919063410276e-09
1822,3.308453244699194e-08,6.015369535816717e-09
1823,2.668325471688604e-08,1.3835761869529506e-08
1824,4.21055617039201e-08,8.421112696055388e-10
1825,4.842993561737785e-08,3.522177216552791e-09
1826,1.5854372037438225e-08,0.0
1827,1.3825909306319772e-08,1.566936447261469e-08
1828,1.1923991571904935e-08,7.337841001486822e-09
1829,2.6576845613135447e-08,3.429270423183084e-09
1830,4.279102583382155e-08,1.0436835840010872e-09
1831,3.585977381703742e-08,2.182768810143898e-08
1832,2.3000948701223933e-08,1.3529969367098715e-09
1833,4.51761508202253e-08,0.0
1834,2.5203233278148218e-08,6.534171426153534e-09
1835,3.479020449503878e-08,3.025235173481633e-09
1836,1.8818100855355624e-08,6.720750067579218e-10
1837,4.453050195252217e-08,0.0
1838,3.3454458758797045e-08,6.312161904276081e-09
1839,2.586845759822154e-08,2.7965900706306e-09
1840,3.885510224677091e-08,8.917564464638872e-09
1841,2.760835826620678e-08,7.0626033910059505e-09
1842,5.769107858100142e-08,4.024959032733477e-09
1843,6.025049259505977e-08,3.5441467538532834e-09
