year,avez_VERB appelé_VERB,avez_VERB rappelé_VERB
1800,8.803660733747165e-08,6.288328968651058e-09
1801,8.810375362600098e-08,1.904946067554647e-08
1802,7.384872446891677e-08,8.951360541686881e-09
1803,6.631153581793114e-08,5.851017448321727e-09
1804,7.168367943677367e-08,3.213406074564773e-08
1805,5.401467717547348e-08,8.528632911009026e-09
1806,1.2103009794373065e-07,2.881669125542885e-09
1807,1.7366426163789583e-07,2.8469550272802735e-08
1808,8.384473915157287e-08,1.5862518409903714e-08
1809,2.9367397402779716e-08,2.0331274441787173e-08
1810,8.190443878675069e-08,4.44624070894406e-08
1811,4.262030373070047e-08,0.0
1812,5.067695596494559e-08,1.0668832928217853e-08
1813,6.901780125190271e-08,2.300593315851529e-08
1814,2.171207285073251e-07,4.090680150170556e-08
1815,1.0788894400093341e-07,1.8880564667256294e-08
1816,1.1588019788177917e-07,3.244645441213834e-08
1817,5.60474440192138e-08,1.401186100480345e-08
1818,7.629553522292554e-08,1.3113295338484932e-08
1819,1.0661581484328053e-07,4.140420006848444e-09
1820,1.59010852485153e-07,1.4239777357261119e-08
1821,1.784929395398649e-07,1.2129630988511053e-07
1822,1.2532019866284827e-07,1.9048670196752937e-08
1823,9.092072161820397e-08,2.2730180404550993e-08
1824,1.1284291190349904e-07,1.431589158329416e-08
1825,7.13240879690602e-08,1.7610886970942374e-08
1826,9.776862697208344e-08,2.1139161532346407e-08
1827,6.728609491801762e-08,2.8573547083965423e-08
1828,9.172300963200541e-08,3.944089499441361e-08
1829,4.543783305166471e-08,1.1145129263923081e-08
1830,1.2002361415852647e-07,3.235419043789989e-08
1831,7.327867024287116e-08,3.4300654760954785e-08
1832,5.276687886635045e-08,2.841293600397421e-08
1833,1.0888610546544442e-07,1.50587169400751e-08
1834,1.3628415729272092e-07,1.7735608537350345e-08
1835,1.194967893525245e-07,4.0840674842002045e-08
1836,1.0148332307835517e-07,2.6210924986003192e-08
1837,8.349469027280065e-08,3.5485243188304594e-08
1838,9.657608046609312e-08,2.398621568033832e-08
1839,1.1046530801195331e-07,1.3982949909063791e-08
1840,1.0955864837569607e-07,3.4396318682183846e-08
1841,1.624398748845124e-07,3.4028907691663335e-08
1842,9.39157089874243e-08,4.293289634915709e-08
