year,avions_VERB appelé_VERB,avions_VERB rappelé_VERB
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.4849335034105025e-08
1810,1.6380887757350138e-08,1.4040760554223652e-08
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,1.5497530370112145e-08,0.0
1819,6.210630232317271e-09,9.315945348475907e-09
1820,4.746592452420373e-09,0.0
1821,9.86148829262845e-10,0.0
1822,3.0076847679083585e-09,1.804610860745015e-08
1823,0.0,5.929612356680991e-09
1824,1.6842225392110777e-09,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,1.0569580766173203e-08,0.0
1827,1.3825909306319772e-08,5.530363722527909e-09
1828,6.420610709767516e-09,4.586150570418113e-09
1829,0.0,1.714635211591542e-09
1830,6.262101504006523e-09,1.0436835395921662e-08
1831,3.741889287312006e-08,0.0
1832,2.705993873419743e-09,0.0
1833,2.20088942626262e-08,3.4750886612755494e-09
1834,1.6802156110884425e-08,9.334530925997342e-10
1835,1.9664028627630614e-08,0.0
1836,1.2097349788575684e-08,0.0
1837,9.74104708006962e-09,6.957890930081589e-10
1838,6.312161904276081e-09,6.312161904276081e-10
1839,6.9914749545318955e-09,3.4957374772659477e-09
1840,1.1465439264668476e-08,3.1848443882154243e-09
1841,1.8619591202195807e-08,6.420548537278137e-09
1842,1.609983613093391e-08,6.708265054555795e-10
1843,5.31621990873532e-09,5.906911071384968e-10
1844,1.3172547497219966e-08,2.195424508855126e-09
1845,1.2834524554250493e-08,3.348136878855712e-09
1846,4.0981511517657054e-09,0.0
1847,1.4561703842730367e-08,2.1572894581822766e-09
1848,3.218088551193432e-08,8.045221711050488e-10
1849,3.016589289472904e-08,8.379414939696517e-10
1850,2.647708541303473e-08,2.0366988096043315e-09
1851,1.4188765717904062e-08,5.159551008659946e-09
1852,1.4323200403509873e-08,0.0
1853,1.851298847554972e-08,5.971931837933653e-10
1854,1.558699302961486e-08,5.195664454227256e-10
1855,1.3798036491152743e-08,1.5920811335945473e-09
1856,2.174419400091665e-08,5.694908100650764e-09
1857,9.274867096564776e-09,2.4407544874094356e-09
1858,2.5447114637699997e-08,4.893676019968041e-10
1859,2.7497735644033128e-08,1.018434669930457e-09
1860,8.696649622663699e-09,1.8308735638683515e-09
1861,1.6977470096435354e-08,4.715963730639317e-10
1862,2.801151488540654e-08,1.3553959066214816e-09
1863,2.6471489888990618e-08,1.4983863039219614e-09
1864,2.3973639073915365e-08,1.4384183844029508e-09
1865,1.7415324293779122e-08,7.0602665935837194e-09
1866,2.1895258939252926e-08,3.8924903300596725e-09
1867,9.220341823379385e-09,1.94112459439566e-09
1868,1.6301584082611953e-08,6.421836395986702e-09
1869,9.278686263769487e-09,6.348574999037737e-09
1870,1.4335121534259088e-08,0.0
1871,2.0180236148803488e-08,2.1242354542039266e-09
