year,ayons_VERB apporté_VERB,ayons_VERB rapporté_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877755426798e-08
1806,0.0,5.76333825108577e-09
1807,0.0,1.9928686256776018e-08
1808,0.0,2.039466551195801e-08
1809,1.3554183553310395e-08,1.129515236897305e-08
1810,1.6380887757350138e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,3.42512151974006e-08
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,0.0,2.3807414706311647e-08
1820,0.0,5.933240565525466e-09
1821,1.3806083387635226e-08,1.0847637454958203e-08
1822,2.5064039732569654e-08,3.0076847679083585e-09
1823,5.929612356680991e-09,3.9530747564242574e-09
1824,1.6000115010683658e-08,2.6105450245950124e-08
1825,2.641632912414593e-09,1.1447076175841175e-08
1826,2.6423952803611428e-08,5.284790383086602e-09
1827,2.949527377893446e-08,1.6591091167583727e-08
1828,1.0089530988466322e-08,1.7427371545863934e-08
1829,8.57317605795771e-10,6.001223074036943e-09
1830,1.1480519646056564e-08,6.262101504006523e-09
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,5.411987746839486e-09,5.411987746839486e-09
1833,1.1583628278799551e-08,3.4750886612755494e-09
1834,1.0267983796552471e-08,1.120143711119681e-08
1835,1.5882484660778573e-08,7.563087933704082e-09
1836,8.064899859050456e-09,6.720750067579218e-10
1837,6.262101948095733e-09,2.0873671680021744e-09
1838,5.049729523420865e-09,6.312161904276081e-10
1839,1.3283802502428443e-08,1.3982950353153e-09
1840,1.52872523528913e-08,3.1848443882154243e-09
1841,1.2841097074556274e-08,9.630822361827995e-09
1842,1.6770663080478698e-08,6.037438549100216e-09
1843,3.1306630177141415e-08,1.7720733769266417e-09
1844,9.330554107123135e-09,2.7442805805577564e-09
1845,3.348136878855712e-09,3.348136878855712e-09
1846,2.0490753982471688e-08,5.269050973311096e-09
1847,1.0247124926365814e-08,2.6966118227278457e-09
1848,8.04522137798358e-09,8.045221711050488e-10
1849,5.02764896381791e-09,5.865590679832167e-09
1850,4.073397619208663e-09,5.431196825611551e-09
1851,1.2898877521649865e-09,5.159551008659946e-09
1852,1.7578472011337e-08,1.3021090872200602e-09
1853,1.3138249599364826e-08,8.957897534855874e-09
1854,1.0391328686409906e-08,5.195664454227256e-10
1855,3.1841622671890946e-09,2.1227748447927297e-09
1856,1.8120163147727908e-08,1.0354378465748937e-09
1857,8.298565390418844e-09,9.763018171682347e-10
1858,1.9085335978274998e-08,1.468102750479261e-09
1859,7.129042689513199e-09,5.092173349652285e-10
1860,1.8308735638683515e-09,4.119465657481669e-09
1861,5.187560159214399e-09,4.715963730639317e-10
1862,4.9697850279528666e-09,9.035972525772706e-10
1863,7.991393324857654e-09,9.989241656072068e-10
1864,3.835782358407869e-09,4.315255264231155e-09
1865,1.4120533631256649e-09,9.41368871743009e-10
1866,1.9462451650298362e-09,4.865612801552288e-09
1867,3.88224918879132e-09,3.396968040192405e-09
1868,1.975949626142892e-09,4.939874287401835e-09
1869,0.0,0.0
1870,2.2936195165357276e-09,5.734048791339319e-10
1871,1.3807530230280918e-08,0.0
1872,8.4662747923403e-09,1.2094678591978436e-09
1873,1.1972009161809183e-08,1.1972008939764578e-09
1874,1.3741600746186577e-08,5.974609140757536e-10
1875,1.0298748520654044e-08,5.721527140956084e-10
1876,3.02300739996042e-09,4.836811839936672e-09
1877,7.421779191219002e-09,4.9478527941460015e-09
1878,1.509772218355465e-08,3.6234530931267273e-09
1879,6.720257683667796e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,4.183504653809678e-09,6.972507571312292e-10
1882,5.324308105514319e-09,1.9966155395678697e-09
1883,1.0110942305630033e-08,4.423537092179686e-09
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,3.86738152613475e-09,1.933690763067375e-09
1886,5.162771099520569e-09,1.936039106809062e-09
1887,1.7628096316002484e-08,1.3057849246322917e-09
1888,4.4384300679212174e-09,0.0
1889,1.0024218788373673e-08,0.0
1890,1.0487018364813139e-08,6.554386478008212e-10
1891,5.736798147637501e-09,1.2748440081367107e-09
1892,8.149066310636499e-09,6.268512375839919e-10
1893,5.542574843531156e-09,1.2316833108982905e-09
1894,1.7014155417882648e-08,6.301539290376468e-10
1895,8.426059849853118e-09,1.8055843487019274e-09
1896,2.358811590497112e-09,1.179405795248556e-09
1897,3.4960281336537946e-09,0.0
1898,3.960848538042683e-09,6.7900258748920805e-09
1899,5.527578395003729e-10,5.527578395003729e-10
1900,5.19105292084987e-09,2.595526460424935e-09
1901,2.794369402536745e-09,5.029864968975062e-09
1902,5.4013122863239005e-09,1.9641135384773634e-09
1903,5.400220270956879e-09,5.940242076007962e-09
1904,1.3436562973367927e-08,1.0749250378694342e-09
1905,2.580379465655369e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,2.0576738091193647e-09
1907,2.057137349353866e-09,0.0
1908,3.437972351250096e-09,4.911389073214423e-10
1909,4.950885035270858e-09,0.0
1910,6.947395991829808e-09,1.6032452032632705e-09
1911,1.3832972989291648e-08,0.0
1912,8.335073964360618e-09,0.0
1913,8.484783542428431e-09,1.590896969716482e-09
1914,6.027069510139427e-09,2.0090231700464756e-09
1915,8.246533234057551e-09,0.0
1916,4.394984820521586e-09,0.0
1917,1.315970976634162e-08,0.0
1918,1.033773866510046e-08,0.0
1919,8.287063479883727e-09,0.0
1920,6.057785384427916e-09,0.0
1921,6.815472630705699e-09,0.0
1922,7.377935484775833e-10,7.377935484775833e-10
1923,3.1847844361720945e-09,0.0
1924,2.578324886925998e-09,0.0
1925,1.0998177923937646e-09,1.0998177923937646e-09
1926,5.57306911730393e-09,1.1146138456652466e-09
1927,3.3447675740205796e-09,0.0
1928,6.8556245125250825e-09,1.1426041224282812e-09
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,1.1405356659111021e-09
1932,3.287861094491973e-09,3.287861094491973e-09
1933,4.588264879146209e-09,1.1470662197865522e-09
1934,1.1981580172459871e-09,0.0
1935,1.196828414151696e-09,2.393656828303392e-09
1936,6.0623572828433225e-09,0.0
1937,3.777335333410292e-09,2.5182236296217297e-09
1938,1.2965214457594243e-09,0.0
1939,6.117620188206274e-09,1.5294050470515685e-09
1940,0.0,0.0
1941,0.0,2.9515025978810172e-09
1942,6.068423541449874e-09,0.0
1943,1.1612940831184915e-08,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,4.1763312808029696e-09,1.3921104269343232e-09
1947,2.3841741914054637e-09,0.0
1948,2.174377566888097e-09,0.0
1949,2.945102384188658e-09,0.0
1950,1.0635361480382244e-09,0.0
1951,3.1984206394497505e-09,1.0661401761424827e-09
1952,3.1634410646574906e-09,0.0
1953,4.3095309543161875e-09,1.0773827385790469e-09
1954,4.886268278880834e-09,0.0
1955,0.0,0.0
1956,8.72114158667614e-10,0.0
