year,vous_PRON accompagnez_VERB,vous_PRON raccompagnez_VERB
1800,9.432493452976587e-09,0.0
1801,1.1905913144261149e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.315576613260873e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.99286853685976e-08,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,2.106114038724627e-08,0.0
1811,7.521230305229665e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,3.236668266737297e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,2.802372112142848e-08,0.0
1818,5.960588467246453e-09,0.0
1819,4.554462162964512e-08,0.0
1820,2.966620193944891e-08,0.0
1821,4.832129274490171e-08,0.0
1822,2.7069162911175226e-08,0.0
1823,7.906149512848515e-09,0.0
1824,1.431589158329416e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,2.1139161976435616e-08,0.0
1827,1.0139000472531023e-08,0.0
1828,1.375845182227664e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,3.51779220197912e-08,0.0
1833,2.2008894817737712e-08,0.0
1834,1.0267984462686286e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,1.2097349788575684e-08,0.0
1837,1.3915782082207784e-08,0.0
1838,1.6411621173162416e-08,1.2624323808552163e-09
1839,2.6567605004856887e-08,0.0
1840,1.5287253019025115e-08,0.0
1841,8.346713098461578e-09,0.0
1842,1.677066219230028e-08,0.0
1843,1.358589518662967e-08,0.0
1844,8.232841963717874e-09,0.0
1845,1.674068350610014e-08,0.0
1846,1.8734404472198207e-08,0.0
1847,9.707802561820245e-09,0.0
1848,1.4481399412957785e-08,0.0
1849,1.4245005175439474e-08,0.0
1850,1.2220192857625989e-08,0.0
1851,2.644269869733762e-08,0.0
1852,2.0833745839610174e-08,0.0
1853,2.4484920091438767e-08,0.0
1854,2.649788943820397e-08,0.0
1855,1.6451505047143655e-08,0.0
1856,1.2942972915652717e-08,0.0
1857,2.1478639533611954e-08,0.0
1858,2.1042807274440634e-08,4.893676019968041e-10
1859,2.2405563626648473e-08,0.0
1860,1.8308735055816427e-08,0.0
1861,2.4994607272788016e-08,0.0
1862,1.355395884417021e-08,0.0
1863,2.6471490999213643e-08,0.0
1864,2.445311186871635e-08,0.0
1865,1.3649848862318237e-08,0.0
1866,3.162648321008987e-08,0.0
1867,2.9602150064533816e-08,0.0
1868,7.409811098035846e-09,0.0
1869,1.1232094476731902e-08,0.0
1870,2.981705371496446e-08,0.0
1871,2.124235387590545e-08,0.0
1872,1.2699412410555055e-08,0.0
1873,9.57760748487857e-09,0.0
1874,2.2703515067945546e-08,0.0
1875,1.0870901234749653e-08,0.0
1876,5.441413342133217e-08,0.0
1877,9.895705588292003e-09,1.2369631985365004e-09
1878,5.435179861734696e-09,0.0
1879,1.588424547449563e-08,0.0
1880,8.984984534166074e-09,0.0
1881,1.743126937236994e-08,0.0
1882,2.1962770713201962e-08,0.0
1883,1.074287619973191e-08,0.0
1884,1.5844072720483382e-08,0.0
1885,7.734762663691441e-09,0.0
1886,9.034849313138693e-09,0.0
1887,1.3710741653127911e-08,0.0
1888,8.87686080197625e-09,0.0
1889,6.265136853755848e-09,0.0
1890,1.769684337959987e-08,0.0
1891,5.099376032546843e-09,0.0
1892,1.692498385885699e-08,0.0
1893,7.390100087434348e-09,0.0
1894,5.671385361338821e-09,0.0
1895,8.426059849853118e-09,0.0
1896,8.255840455717589e-09,0.0
1897,7.574727511894253e-09,0.0
1898,1.0185038590293516e-08,0.0
1899,7.185851913504848e-09,0.0
1900,6.2292638824956725e-09,0.0
1901,1.0618603996093157e-08,0.0
1902,9.329539363278627e-09,0.0
1903,5.940242076007962e-09,0.0
1904,8.061937784020756e-09,0.0
1905,5.6768351130997985e-09,0.0
1906,1.3374879870298173e-08,0.0
1907,1.4399961001387851e-08,0.0
1908,7.858222517143076e-09,0.0
1909,8.801573692096554e-09,0.0
1910,1.229154700244095e-08,0.0
1911,1.276889793899727e-08,5.320374141248863e-10
1912,7.2931897743266916e-09,0.0
1913,1.3257474729133634e-08,0.0
1914,1.0045115239609714e-08,0.0
1915,7.068456930880984e-09,0.0
1916,2.5271163162088328e-08,0.0
1917,3.2899273305631027e-09,0.0
1918,1.2635013924011673e-08,0.0
1919,1.6574126959767455e-08,0.0
1920,1.590168619003407e-08,0.0
1921,9.844571602357632e-09,0.0
1922,8.853522803775604e-09,0.0
1923,1.5923922180860473e-08,0.0
1924,1.2891624545652292e-08,0.0
1925,7.698724546756353e-09,0.0
1926,1.671920735191179e-08,0.0
1927,5.574612438330462e-09,0.0
1928,7.998228968020271e-09,0.0
1929,1.0026365515614089e-08,0.0
1930,1.2604324250986565e-08,0.0
1931,7.983749661377715e-09,0.0
1932,6.575721855917038e-09,0.0
1933,2.4088391059606806e-08,0.0
1934,1.4377896206951846e-08,0.0
1935,1.196828414151696e-08,0.0
1936,0.0,0.0
1937,3.777335444432595e-09,0.0
1938,9.075650231338273e-09,0.0
1939,9.176430282309411e-09,0.0
1940,1.5214697723919812e-08,0.0
1941,2.066051774107791e-08,0.0
