year,vingt - trois rois
1800,0.0
1801,0.0
1802,0.0
1803,2.14285567068373e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,3.2520592441187546e-08
1816,0.0
1817,1.7061235757509507e-09
1818,0.0
1819,0.0
1820,2.589745307091107e-09
1821,0.0
1822,1.0964762431342479e-09
1823,0.0
1824,0.0
1825,5.7664228947373886e-09
1826,8.649531757498607e-09
1827,0.0
1828,2.0046215798430467e-09
1829,0.0
1830,0.0
1831,3.2517515791141705e-08
1832,3.1135172662288824e-08
1833,0.0
1834,0.0
1835,2.489881634204494e-09
1836,1.0280885476277035e-08
1837,0.0
1838,7.57046780819337e-09
1839,2.2927735265909632e-09
1840,4.175123358152177e-09
1841,1.1231664487354465e-08
1842,0.0
1843,1.3553774103058913e-08
1844,0.0
1845,1.830121387769168e-09
1846,2.562641876480143e-09
1847,1.7671799579233038e-09
1848,0.0
1849,4.5871058063085e-09
1850,4.4580401592497765e-09
1851,4.235141126684994e-09
1852,0.0
1853,0.0
1854,2.273273569386447e-09
1855,5.817787918083184e-10
1856,3.4026841344569903e-09
1857,3.744788035220381e-09
1858,4.824888932830618e-09
1859,1.1148520995263311e-09
1860,0.0
1861,1.5491531391020885e-09
1862,1.4358146671611394e-08
1863,1.0965226504566772e-09
1864,0.0
1865,1.0835171870837712e-08
1866,0.0
1867,9.581997306717938e-09
1868,2.7049558148917185e-09
1869,1.1786087217302565e-08
1870,1.884986389200094e-09
1871,3.499477596591305e-09
1872,5.3068092142893875e-09
1873,1.3120848851855271e-09
1874,5.244131351389569e-09
1875,3.772182122219192e-09
1876,2.656332487305235e-09
1877,6.8075598491645906e-09
1878,2.6587348989082216e-09
1879,0.0
1880,1.4133966219631589e-09
1881,0.0
1882,7.327633499976116e-10
1883,8.359931413792765e-09
1884,7.27484239515519e-10
1885,0.0
1886,0.0
1887,0.0
1888,1.397803828240285e-08
1889,0.0
1890,0.0
1891,9.135368905788255e-09
1892,0.0
1893,2.7171767058575824e-09
1894,4.871166581210673e-09
1895,0.0
1896,0.0
1897,3.220920863356014e-09
1898,1.2485185107991015e-09
1899,1.830123053103705e-09
1900,2.2944017241677273e-09
1901,6.167346078278513e-10
1902,1.6221457510567916e-09
1903,0.0
1904,3.5611360527099123e-09
1905,8.546844121326558e-09
1906,5.675657166470671e-10
1907,0.0
1908,5.424864446545996e-10
1909,6.066065427745571e-10
1910,5.898358468314768e-10
1911,1.1743620520476838e-09
1912,0.0
1913,5.851100159937062e-10
1914,7.386593559033372e-10
1915,7.792857914523665e-09
1916,0.0
1917,1.206102329120995e-09
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,2.346282945708822e-09
1924,0.0
1925,0.0
1926,0.0
1927,4.9370720844876814e-09
1928,3.795495473468691e-09
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,5.368917310732968e-09
1937,0.0
1938,1.4344111454178687e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,3.2113727232996325e-09
1944,3.5494505112865227e-09
1945,0.0
1946,4.619207683020932e-09
1947,1.3167827939142285e-09
1948,2.4064130688117302e-09
1949,0.0
1950,2.35255281921809e-09
1951,0.0
1952,0.0
1953,2.3816522087827252e-09
1954,0.0
1955,1.0387826154811819e-09
1956,0.0
1957,9.778776677293877e-10
1958,0.0
1959,4.287207922004654e-09
1960,7.653365718951477e-10
1961,2.300438672886429e-09
1962,3.4971289197827105e-09
1963,4.992528168656918e-09
1964,1.3422626343739807e-09
1965,0.0
1966,2.444229929565722e-09
1967,3.2591320753283526e-09
1968,9.881868656691495e-10
1969,0.0
1970,5.057877450198589e-10
1971,5.666332403286845e-10
1972,0.0
1973,6.093281434971232e-10
1974,0.0
1975,0.0
1976,6.311368094813474e-10
1977,6.494660920175477e-10
1978,0.0
1979,0.0
1980,1.878500244245629e-09
1981,0.0
1982,4.773100137356323e-09
1983,1.3883862948205206e-09
1984,2.5472526310466037e-09
1985,6.608413816167058e-10
1986,0.0
1987,0.0
1988,0.0
1989,1.205561317441095e-09
1990,1.1939991217957413e-09
1991,1.9289774222386313e-09
1992,0.0
1993,0.0
1994,1.154674023062796e-09
1995,0.0
1996,1.1667063981590786e-09
1997,5.234240263440881e-10
1998,5.202560049433202e-10
1999,1.9940571416299235e-09
2000,0.0
2001,2.388733322256087e-09
2002,0.0
2003,0.0
2004,1.9186614519384193e-09
2005,4.904935346772277e-10
2006,0.0
2007,0.0
2008,9.297675962471885e-10
2009,0.0
2010,1.5530587926804174e-09
2011,0.0
2012,0.0
2013,6.160388865694699e-10
2014,2.1556396667676836e-09
2015,9.805666278950298e-10
2016,1.1462440024923026e-09
2017,8.367059267655463e-10
2018,1.43249689887881e-09
2019,2.832501178051672e-10
