year,pouvons_VERB apporter_VERB,pouvons_VERB rapporter_VERB
1800,3.144164484325529e-09,5.0306631749208464e-08
1801,1.1905912700171939e-08,4.524246932646747e-08
1802,1.7902721083373763e-08,4.0281122437590966e-08
1803,9.751696339321825e-09,8.581492494386112e-08
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,0.0,4.8328921309348516e-08
1806,0.0,1.0662175498055149e-07
1807,5.693910232196231e-09,1.822051274302794e-07
1808,2.2660739951163578e-09,4.985362878073829e-08
1809,9.036122072814123e-09,8.132509776714869e-08
1810,7.020380277111826e-09,4.212228077449254e-08
1811,0.0,3.5099073869560016e-08
1812,5.3344164641089264e-09,4.5342538612658245e-08
1813,8.627225156487839e-09,4.888760685162197e-08
1814,3.1466771410748606e-09,1.1013369771717407e-07
1815,2.6972236000233352e-08,7.821948599939788e-08
1816,1.3905623319487859e-08,6.489290882427667e-08
1817,1.2454987263765815e-08,4.3592454090912724e-08
1818,1.4305412854298538e-08,4.2916237674717195e-08
1819,2.070210003424222e-09,7.763287612760905e-08
1820,1.6613073583471305e-08,5.814575843032799e-08
1821,1.3806083387635226e-08,4.141825016290568e-08
1822,2.0051231786055723e-08,9.524335098376469e-08
1823,1.087095569118901e-08,5.830785099192326e-08
1824,2.5263338088166165e-08,4.0421340941065864e-08
1825,4.4027217427355936e-09,1.0742640199623565e-07
1826,1.2331177856594877e-08,5.6371099788066203e-08
1827,1.474763688946723e-08,7.281645508783186e-08
1828,8.255071293206129e-09,6.145441489024961e-08
1829,2.2290258527846163e-08,1.5860375413012662e-07
1830,2.817945699007396e-08,7.618890407457002e-08
1831,1.5591206548037917e-08,6.080570358335535e-08
1832,2.976593194148336e-08,8.659180394943178e-08
1833,1.6217079235048004e-08,4.865124125785769e-08
1834,1.120143711119681e-08,8.027696907220161e-08
1835,1.3613558280667348e-08,7.563087933704082e-08
1836,7.392825018825988e-09,7.728862527756064e-08
1837,6.262101948095733e-09,6.818733311320102e-08
1838,1.2624323808552163e-08,7.574594462766981e-08
1839,2.4470162784950844e-08,6.292327725532232e-08
1840,1.9109065441114126e-09,6.624475901162441e-08
1841,1.4125206782011901e-08,6.099521243640993e-08
1842,8.049918065466954e-09,9.861149408152414e-08
1843,1.5357969118667825e-08,7.738053398043121e-08
1844,2.305195678786731e-08,8.836583731408609e-08
1845,2.1204865419122143e-08,8.760957825870719e-08
1846,1.8734404250153602e-08,9.718472426811786e-08
1847,3.074137566727586e-08,8.629157832729106e-08
1848,1.850401076808339e-08,7.240699773092274e-08
1849,2.6814127807028854e-08,6.619738002200393e-08
1850,1.968808760466345e-08,6.992665646521345e-08
1851,9.674158363282004e-09,4.772584816237213e-08
1852,2.539112742283578e-08,6.315229228448516e-08
1853,2.448492075757258e-08,5.733054564416307e-08
1854,7.79349651480743e-09,7.741540031247496e-08
1855,9.552486801567284e-09,3.343370380548549e-08
1856,2.019103817474388e-08,8.335274515047786e-08
1857,8.78671624349181e-09,6.638852312335075e-08
1858,1.7127865348243176e-08,6.753273140702731e-08
1859,1.8331824946926645e-08,5.448625373105642e-08
1860,6.865775947773045e-09,4.577183787546346e-08
1861,1.650587222457034e-08,8.960331143725853e-08
1862,1.0843167252971853e-08,5.2860439581081664e-08
1863,9.489779628779615e-09,4.844782353075061e-08
1864,1.6781548595190543e-08,8.246932026167997e-08
1865,2.4004906507002488e-08,4.848049783845454e-08
1866,2.968023871119385e-08,4.330395597662573e-08
1867,1.6014277903764196e-08,4.755755256269367e-08
1868,1.1855697756857353e-08,6.86642493974432e-08
1869,1.8557372527538973e-08,7.374114119329533e-08
1870,2.0069171213776826e-08,4.9886224928741285e-08
1871,1.4869648623516696e-08,7.009977309735405e-08
1872,1.5118347462816928e-08,6.71254696271717e-08
1873,3.112722168907567e-08,7.302925553176465e-08
1874,3.644511537004291e-08,6.153847209589003e-08
1875,1.94531928343622e-08,5.0921592276154115e-08
1876,1.6928840551599933e-08,6.348315650939185e-08
1877,3.7727378554563984e-08,5.8755752263550676e-08
1878,7.2469061862534545e-09,6.582606459915041e-08
1879,2.932476128592043e-08,6.59807142255886e-08
1880,1.2835692508872398e-08,5.711883233061599e-08
1881,3.2770785196589713e-08,5.9266312746331096e-08
1882,2.728707926280549e-08,5.0580926114207614e-08
1883,1.0110942305630033e-08,5.371438049905919e-08
1884,3.895001299270007e-08,3.8289840631478e-08
1885,1.2246707647989297e-08,5.220964993668531e-08
1886,1.4842966855610484e-08,4.1947515683204983e-08
1887,3.982643903555072e-08,5.288428894800745e-08
1888,3.6775563927449184e-08,5.0090857683926515e-08
1889,3.696430539434914e-08,5.7639258699282436e-08
1890,3.604912635069013e-08,2.7528423984790606e-08
1891,2.677172439291553e-08,3.888274235919198e-08
1892,3.0715710863660206e-08,3.57305189879753e-08
1893,3.7566341148931315e-08,4.92673315477532e-08
1894,2.898708117982096e-08,3.213785149114301e-08
1895,6.138986918813316e-08,5.356566745717828e-08
1896,2.4767521367152767e-08,4.65865284127176e-08
1897,2.505486840220783e-08,5.360576338375722e-08
1898,2.8857609635224435e-08,5.4320206999136644e-08
1899,2.8743407654019393e-08,3.537650172802387e-08
1900,2.595526638060619e-08,5.4506056557102056e-08
1901,2.738482152153665e-08,4.415103660448949e-08
1902,4.517461249520238e-08,4.075535642300565e-08
1903,2.8621167658116065e-08,3.726151831529023e-08
1904,4.03096898082822e-08,3.439760121182189e-08
1905,4.335037573355294e-08,5.1091515018697464e-08
1906,3.035068729673185e-08,4.2696733260072506e-08
1907,3.188563013623025e-08,4.371417006154843e-08
1908,4.665819730576004e-08,2.9468335327464956e-08
1909,3.5756393401698006e-08,5.170924666231258e-08
1910,3.313373397872965e-08,3.4202564336283103e-08
1911,4.735132819178034e-08,2.2877609140437016e-08
1912,4.948950049765699e-08,3.1777467768279166e-08
1913,4.2423916823963737e-08,5.090870303092743e-08
1914,8.30396231776831e-08,4.955590426902745e-08
1915,6.832841847881355e-08,5.5369582696584985e-08
1916,3.186363883855847e-08,2.0876177231343718e-08
1917,5.3735480065597585e-08,4.8252267959014716e-08
1918,4.5945505178224266e-08,4.9391417178412667e-08
1919,6.721729306491397e-08,4.051453217357448e-08
1920,3.63467123065675e-08,2.8017257847068322e-08
1921,7.875657104250422e-08,3.4077363153528495e-08
1922,5.2383342108441866e-08,1.9920426197472807e-08
1923,5.520293200333981e-08,3.290944050604594e-08
1924,4.512068585427187e-08,2.9650736976805092e-08
1925,3.409435223034052e-08,3.959344141435395e-08
1926,7.913758537370086e-08,4.124071395494866e-08
1927,4.5711821883287485e-08,4.2367055641534535e-08
1928,5.3702393643106916e-08,3.313552099371009e-08
1929,5.458799279267623e-08,2.1166771446701205e-08
1930,7.667630796959202e-08,2.7309368988426286e-08
1931,6.615106684648708e-08,2.5091784650044247e-08
1932,6.356530946050043e-08,4.274219378430644e-08
1933,5.735331143341682e-08,4.244144946596862e-08
1934,5.032263672433146e-08,4.7926320689839486e-08
