year,six_DET ans_NOUN,six_DET rangs_NOUN
1800,6.759953720347767e-06,2.2637984642415176e-07
1801,7.886476510066132e-06,2.619300847328532e-07
1802,7.107380127990837e-06,1.3650824826072494e-07
1803,7.389835104731901e-06,2.3794137860022602e-07
1804,7.1930861622604425e-06,2.0516363141709348e-07
1805,7.68145565643863e-06,2.9850215810256486e-07
1806,6.962112436781354e-06,1.123850950079941e-07
1807,6.9693459607833574e-06,1.224190668835945e-07
1808,8.413932434336857e-06,1.9261629180533646e-07
1809,9.476632953919761e-06,1.9201759671183538e-07
1810,7.1186657208954784e-06,8.892481906386251e-08
1811,9.504328119191996e-06,1.754953706800677e-07
1812,7.758908907362638e-06,1.440292436427626e-07
1813,8.233248465217002e-06,1.380355976188241e-07
1814,8.341840668890654e-06,1.0384034254684593e-07
1815,8.078184919213527e-06,1.4295285222232224e-07
1816,7.103455928358926e-06,3.569110020862354e-07
1817,7.508800294431239e-06,3.8299085114434916e-07
1818,9.274676045833985e-06,2.515368415778596e-07
1819,8.741461670069839e-06,1.5630085048456976e-07
1820,9.78510053073478e-06,2.2664978871489438e-07
1821,9.401943003695123e-06,1.5581152013055544e-07
1822,8.174887526024577e-06,1.7143803177077643e-07
1823,8.049448595670583e-06,1.5219337967664615e-07
1824,8.182794758226919e-06,1.0105335235266466e-07
1825,8.92431688725992e-06,1.9019757635518886e-07
1826,8.252200728975367e-06,1.523781349987985e-07
1827,8.277110993049064e-06,1.4102427225992642e-07
1828,8.341290694602321e-06,1.5959804011700385e-07
1829,8.215674355938063e-06,1.6803424784939125e-07
1830,7.826583114933783e-06,1.3880992355552735e-07
1831,8.09495422515738e-06,1.7150327380477393e-07
1832,8.316872239788609e-06,1.325937033502811e-07
1833,8.112014782568622e-06,1.4016190386101357e-07
1834,8.397344146260366e-06,1.9509170101628115e-07
1835,7.983595736504867e-06,9.983276072489389e-08
1836,9.062259721304144e-06,1.397915951883988e-07
1837,9.680513755938591e-06,1.6281464665368617e-07
1838,8.56118555248031e-06,2.165071579796063e-07
1839,8.098225379171708e-06,1.0557127438914904e-07
1840,8.282506257728528e-06,1.8981672694762253e-07
1841,8.23692136009413e-06,2.4269672538324016e-07
1842,8.677811962343185e-06,1.30811168563838e-07
1843,9.178749195370983e-06,1.1813822120565476e-07
1844,8.18783567524406e-06,1.0538037598095684e-07
1845,8.483620376864565e-06,1.4787604707411361e-07
1846,8.659393159859974e-06,1.4402072823216372e-07
1847,8.745651399522103e-06,1.4993161467913296e-07
1848,9.116845689050024e-06,1.1102406061169745e-07
1849,7.959606250551587e-06,1.5250535412292265e-07
1850,8.359969399407419e-06,1.2966982865236787e-07
1851,7.934099699014041e-06,1.5801125030634466e-07
1852,8.295086217913195e-06,2.207074851767743e-07
1853,8.6885632697431e-06,1.540758347573501e-07
1854,8.29332003604577e-06,1.1950028522278444e-07
1855,8.936351576949164e-06,1.1622192630511563e-07
1856,8.318707813259607e-06,9.733115619026123e-08
1857,8.520673929979239e-06,1.3717040492355892e-07
1858,8.792957231662513e-06,1.2185253206453694e-07
1859,8.425509747667093e-06,8.249320693209938e-08
1860,8.256781939053326e-06,1.1351415840632484e-07
1861,8.391113908601255e-06,9.997843131159811e-08
1862,8.504657046159991e-06,8.674533813479712e-08
1863,9.00729875752404e-06,9.839403303235628e-08
1864,8.913879014471604e-06,1.1842978153708827e-07
1865,8.438900920282322e-06,1.3085027772419267e-07
1866,8.401940647217998e-06,7.541699886814968e-08
1867,9.219371634117124e-06,9.899735431417866e-08
1868,8.474848101513999e-06,1.0472533129579631e-07
1869,8.290750784567535e-06,9.522862143285238e-08
1870,9.004749870200612e-06,1.5137888453864434e-07
1871,7.561216136764415e-06,8.921789174110017e-08
1872,8.254617711145329e-06,5.624025478656591e-08
1873,8.536042628293217e-06,9.697327046920279e-08
1874,8.848395907534723e-06,6.990292433783907e-08
1875,9.37243396492704e-06,9.554950253232164e-08
1876,1.0109541591418747e-05,7.79935935835141e-08
1877,8.723682753952744e-06,8.1021086284494e-08
1878,9.005488635693837e-06,1.3950294869280455e-07
1879,9.308778459171663e-06,7.086817532808709e-08
1880,9.038252812842984e-06,9.434234127247976e-08
1881,8.993837383286518e-06,8.227559078477498e-08
1882,9.235012072394966e-06,7.320923600673268e-08
1883,9.712824123653263e-06,1.1880356964866223e-07
1884,9.60612931066862e-06,9.638477571627391e-08
1885,9.295251317098518e-06,7.992588463290318e-08
1886,8.962570746007259e-06,6.905206362262106e-08
1887,9.25409787555509e-06,9.532229938713499e-08
1888,9.33401850033988e-06,1.1730137328136436e-07
1889,8.90589154778354e-06,1.0086870272374426e-07
1890,8.727821324328033e-06,9.83158002232365e-08
1891,8.660015652139919e-06,9.178877158344534e-08
1892,9.039194992510602e-06,1.0531100924637826e-07
1893,8.597765742024421e-06,7.82118902975526e-08
1894,8.841059724318256e-06,9.956431967772517e-08
1895,8.795001605221842e-06,8.847363242026063e-08
1896,8.83846732335769e-06,8.845543120195032e-08
1897,8.67306337681839e-06,8.507002036139966e-08
1898,8.799873086218213e-06,7.921696720813998e-08
1899,9.519595380425017e-06,7.683334324326552e-08
1900,9.252533004655561e-06,8.305685195164614e-08
1901,8.830207377741317e-06,5.085752263767063e-08
1902,7.725840589500876e-06,1.0066081590487386e-07
1903,8.553949015777107e-06,1.0260418803476057e-07
1904,9.039582124614753e-06,1.0426773133787037e-07
1905,9.115964360262296e-06,6.863809431933987e-08
1906,9.140701195065049e-06,1.0648461934437137e-07
1907,9.28437549418959e-06,1.0748542678129525e-07
1908,9.266317562151016e-06,8.251133465364546e-08
1909,9.199295163853094e-06,1.0286839441375761e-07
1910,8.924197516080312e-06,8.390316708073442e-08
1911,9.115396665038134e-06,1.0108711179235286e-07
1912,9.872894793261366e-06,1.1564915314288271e-07
1913,9.067052019418043e-06,7.15903638592863e-08
1914,9.057345749852175e-06,8.103060022968123e-08
1915,6.9506495208315755e-06,7.775302890422608e-08
1916,6.81881874697865e-06,6.372727767711694e-08
1917,6.603980949648758e-06,4.8252267959014716e-08
1918,6.936622725106645e-06,7.810736057933809e-08
1919,7.513604458608825e-06,5.524708868165362e-08
1920,8.302195169562765e-06,7.042175598215294e-08
1921,7.881715504254316e-06,7.572747723338935e-08
1922,7.11675654940791e-06,9.148640039979838e-08
1923,7.289971534873985e-06,5.94493081429448e-08
1924,7.915457615581545e-06,7.60605871619191e-08
1925,8.166147040356009e-06,8.688560337866136e-08
1926,7.673001761077103e-06,6.35329865383838e-08
1927,8.101026736540007e-06,8.584903377073516e-08
1928,7.646306698916305e-06,6.85562482338753e-08
1929,8.35307687907516e-06,5.458799012814097e-08
1930,8.281041317559357e-06,4.7266214497909687e-08
1931,8.560860919715196e-06,1.0949142481564422e-07
1932,8.659129548505007e-06,6.356531490059325e-08
1933,7.585548985389323e-06,7.570636895160021e-08
1934,7.029593177776405e-06,1.1142869738023364e-07
1935,7.556774704653435e-06,9.813992996043908e-08
1936,7.696768733467252e-06,8.366053361186232e-08
