year,dus_VERB avoir_VERB
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,1.0847637454958203e-08
1822,1.0025615893027862e-09
1823,0.0
1824,0.0
1825,2.641632912414593e-09
1826,8.807984341885344e-10
1827,2.7651818612639545e-09
1828,9.172301140836225e-09
1829,1.7146351893870815e-08
1830,0.0
1831,6.236482441579483e-09
1832,0.0
1833,3.4750886612755494e-09
1834,1.4935249481595747e-08
1835,1.1344631900556124e-08
1836,2.016224964762614e-09
1837,6.957890930081589e-10
1838,8.2058102535143e-09
1839,5.5931801412612e-09
1840,2.5478754661634184e-09
1841,0.0
1842,1.2074877098200432e-08
1843,5.906911071384968e-10
1844,4.9397050894128824e-09
1845,1.0044410636567136e-08
1846,4.0981511517657054e-09
1847,1.0786447290911383e-09
1848,4.02261068899179e-09
1849,5.02764896381791e-09
1850,8.146795238417326e-09
1851,5.8044946626978344e-09
1852,3.906327261660181e-09
1853,1.1943863675867306e-09
1854,7.27393034694046e-09
1855,5.306937111981824e-10
1856,5.177189343896771e-09
1857,3.4170564155999728e-09
1858,9.787352039936081e-10
1859,8.656694916453489e-09
1860,2.746310290291376e-09
1861,1.2733101684148096e-08
1862,6.776979422085105e-09
1863,1.4484400345793347e-08
1864,2.3014694150447212e-08
1865,8.001635798393636e-09
1866,1.216403244796993e-08
1867,1.94112459439566e-09
1868,5.9278488784286765e-09
1869,2.9301114867763545e-09
1870,4.013834153937523e-09
1871,1.911811864374613e-08
1872,4.8378714367913744e-09
1873,8.380406590902112e-09
1874,3.5847653734322193e-09
1875,9.154443425529735e-09
1876,1.4510435519810017e-08
1877,3.0924081073635534e-09
1878,7.2469061862534545e-09
1879,9.163987790827832e-09
1880,2.1178893305773272e-08
1881,1.045876096839038e-08
1882,1.1979693681496428e-08
1883,1.8958017378167824e-09
1884,7.922036360241691e-09
1885,1.933690763067375e-09
1886,3.2267319927115068e-09
1887,9.140494583448344e-09
1888,5.706553452000662e-09
1889,6.265136742733546e-10
1890,8.520702365899524e-09
1891,1.9122660788184476e-08
1892,1.1283322720601063e-08
1893,1.1700991287000306e-08
1894,1.0082462864602348e-08
1895,6.6204757231957956e-09
1896,3.5382172747233653e-09
1897,5.2440420894583895e-09
1898,6.224190496340043e-09
1899,8.291367592505594e-09
1900,6.22926377147337e-09
1901,8.941982265753268e-09
1902,6.874397495693074e-09
1903,3.7801539676252105e-09
1904,7.524475265086039e-09
1905,2.580379465655369e-09
1906,6.173021205313489e-09
1907,1.0799970695529737e-08
1908,8.840499887696751e-09
1909,1.5952851484257735e-08
1910,2.137660271017694e-09
1911,9.576673676292558e-09
1912,7.814131564032323e-09
1913,5.302989602995467e-09
1914,6.696743604095445e-09
1915,7.068456930880984e-09
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,1.722956355365568e-08
1919,6.4454939163738345e-09
1920,4.543339038320937e-09
1921,6.058197943303867e-09
1922,4.426761179843197e-09
1923,2.1231896241147297e-09
1924,1.0313299547703991e-08
1925,4.399271169575059e-09
1926,8.916910765321973e-09
1927,1.1149224654616319e-08
1928,3.4278122562625413e-09
1929,1.4482528065684619e-08
1930,1.3654684494213143e-08
1931,1.1405356659111021e-09
1932,1.53433514782364e-08
1933,6.882397318719313e-09
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,4.849885826274658e-09
1937,7.554670666820584e-09
1938,1.2965214457594243e-09
1939,1.3764645423464117e-08
1940,7.607348528892999e-09
1941,0.0
1942,1.2136847082899749e-08
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,3.267756198965799e-08
1946,1.2528993842408909e-08
1947,1.4305045148432782e-08
1948,1.7395020535104777e-08
1949,6.8719057111366055e-09
1950,8.508289184305795e-09
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,1.8315507332999914e-08
1954,6.840775057526116e-09
1955,9.385607846468247e-09
1956,1.4825940475304833e-08
1957,1.1485549400447326e-08
1958,9.099467845885556e-09
1959,1.3176271629333769e-08
1960,7.612916519406099e-09
1961,6.94815938118154e-09
1962,1.2683912586908264e-08
1963,1.2932106940866106e-08
1964,1.0951143103454797e-08
1965,1.3132904541635071e-08
1966,1.0524241922382771e-08
1967,1.1339771788243524e-08
1968,7.635406973349745e-09
1969,9.083515273289322e-09
1970,8.7375777724219e-09
1971,5.652237344833111e-09
