year,pourrons_VERB appliquer_VERB
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,0.0
1803,1.950339267864365e-08
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,1.0028307073639553e-08
1812,5.3344164641089264e-09
1813,0.0
1814,3.776012391654149e-08
1815,0.0
1816,2.3176038865813098e-09
1817,2.490997452753163e-08
1818,4.768470951432846e-09
1819,0.0
1820,2.0173018810965004e-08
1821,3.94459531705138e-09
1822,1.1028177482330648e-08
1823,3.9530747564242574e-09
1824,5.052667617633233e-09
1825,8.805443041381977e-10
1826,1.8496766784892316e-08
1827,2.7651818612639545e-09
1828,2.7516904310687096e-09
1829,3.429270423183084e-09
1830,1.1480519646056564e-08
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,3.025235173481633e-09
1836,8.064899859050456e-09
1837,1.1828414692161004e-08
1838,8.2058102535143e-09
1839,1.11863602825224e-08
1840,1.0191501864653674e-08
1841,5.778493683550323e-09
1842,4.024959032733477e-09
1843,4.7255288571079745e-09
1844,8.232841963717874e-09
1845,5.580227835366713e-09
1846,2.9272506640865004e-09
1847,1.6179670936367074e-08
1848,1.367687652020777e-08
1849,8.379414939696517e-10
1850,6.788996032014438e-09
1851,7.094382858952031e-09
1852,1.0416872697760482e-08
1853,9.555090940693844e-09
1854,7.79349651480743e-09
1855,1.3798036491152743e-08
1856,7.765783571755946e-09
1857,7.810414537345878e-09
1858,1.468102750479261e-09
1859,5.601390462572908e-09
1860,4.577183909670879e-10
1861,5.659156698811785e-09
1862,6.776979422085105e-09
1863,3.995696662428827e-09
1864,1.2466292886870178e-08
1865,1.5061901947888146e-08
1866,1.216403244796993e-08
1867,2.5719900875742496e-08
1868,1.778354707937524e-08
1869,1.12320943657096e-08
1870,2.6376625328339287e-08
1871,0.0
1872,4.23313739617015e-09
1873,1.3767810003173508e-08
1874,1.6131444624534197e-08
1875,1.716458086775674e-08
1876,1.3301232115736639e-08
1877,8.658742167710898e-09
1878,8.4547240319921e-09
1879,9.163987790827832e-09
1880,1.6686399817444908e-08
1881,1.1853263259808955e-08
1882,4.6587693702804245e-09
1883,1.1374810426900694e-08
1884,1.0562715146988921e-08
1885,1.2246707647989297e-08
1886,4.5174246565693466e-09
1887,1.697520346510828e-08
1888,1.0779045211961602e-08
1889,1.7542383545787743e-08
1890,2.0974036729626278e-08
1891,2.932141285327816e-08
1892,1.0656471260972467e-08
1893,2.4017824173938607e-08
1894,1.2603078580752936e-08
1895,1.9861428057765806e-08
1896,2.358811590497112e-09
1897,1.1070755867592652e-08
1898,1.1882545614128048e-08
1899,1.6582735185011188e-08
1900,2.699347589896206e-08
1901,1.5089595351014395e-08
1902,4.910283735171106e-09
1903,1.83607493653426e-08
1904,7.524475265086039e-09
1905,1.5998352864698973e-08
1906,9.773950537805831e-09
1907,1.3885677496716653e-08
1908,3.094175227147389e-08
1909,1.6502950117569526e-08
1910,1.870452770447173e-08
1911,2.074945903984826e-08
1912,8.335073964360618e-09
1913,1.3257474229533273e-08
1914,1.0045115850232378e-08
1915,2.8273827723523937e-08
1916,2.197492410260793e-09
1917,1.5352993543160665e-08
1918,1.378365155346728e-08
1919,1.1970202606903513e-08
1920,1.8930579770426448e-08
1921,1.8931869405491852e-08
1922,2.2133805899215986e-08
1923,2.229349149729387e-08
1924,1.4180787211159895e-08
1925,2.4195990988573612e-08
1926,1.7833821530643945e-08
1927,1.2264147031260109e-08
1928,1.1426041446327417e-08
1929,6.684243825105796e-09
1930,1.7856125467119455e-08
1931,2.2810713318222042e-08
1932,6.575722188983946e-09
1933,6.882397318719313e-09
1934,2.2765002327673756e-08
1935,1.555876849579363e-08
1936,8.487299751891442e-09
1937,1.3850230295986421e-08
1938,3.8895642262559704e-09
1939,1.070583532936098e-08
1940,0.0
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,1.3921104269343232e-08
1947,1.3112957830685446e-08
1948,1.6307831529616124e-08
1949,1.570721330779179e-08
1950,2.4461330738745346e-08
1951,9.595261474260042e-09
1952,1.370824520563474e-08
1953,1.1851209791302608e-08
1954,1.07497895029951e-08
1955,1.595553378308523e-08
1956,2.1802854632824165e-08
1957,1.0602045463770082e-08
1958,1.4062814024384807e-08
1959,1.007597205671118e-08
1960,7.612916519406099e-09
1961,6.94815938118154e-09
1962,5.0735651235811474e-09
1963,9.052474325699222e-09
1964,9.125952438182594e-09
1965,1.2585699593614663e-08
1966,1.1078149952936656e-08
1967,1.1339771788243524e-08
1968,3.1439910674890825e-09
1969,4.087581828571274e-09
1970,1.0577067222072856e-08
1971,5.652237344833111e-09
1972,7.69522046084603e-09
1973,8.821126051827832e-09
1974,6.1881286761433785e-09
1975,5.711480177694739e-09
1976,6.8562320265641574e-09
1977,2.3507127355770763e-09
1978,2.970295565063452e-09
