year,voulez_VERB amener_VERB,voulez_VERB ramener_VERB
1800,0.0,3.144164395507687e-08
1801,0.0,4.7623651688866175e-09
1802,1.3427040812530322e-08,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.0331274441787173e-08
1810,2.3401267590372754e-09,2.3401266702194334e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,0.0,9.270415546325239e-09
1817,3.113746815941454e-09,1.0898113522728181e-08
1818,0.0,9.536941902865692e-09
1819,0.0,1.035105001712111e-09
1820,4.746592452420373e-09,1.3053129244156025e-08
1821,5.9168927535324656e-09,1.7750679148775816e-08
1822,1.2030739071633434e-08,1.5038423839541792e-08
1823,0.0,6.917880934764753e-09
1824,0.0,4.210556348027694e-09
1825,0.0,3.522177216552791e-09
1826,2.642395191543301e-09,7.0463874735082754e-09
1827,0.0,1.013900075008678e-08
1828,0.0,7.337841001486822e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,2.0873671680021744e-09,1.1480519646056564e-08
1831,0.0,4.677361609140007e-09
1832,0.0,5.411987746839486e-09
1833,1.1583628500844156e-09,1.50587169400751e-08
1834,5.600718555598405e-09,9.334531370086552e-09
1835,9.832014313815307e-09,1.4369867074037757e-08
1836,2.688300027031687e-09,6.72075017860152e-09
1837,4.174734336004349e-09,2.7831563720326358e-09
1838,1.2624323808552163e-09,4.418513555037862e-09
1839,5.5931801412612e-09,6.292327547896548e-09
1840,3.821813088222825e-09,8.917564464638872e-09
1841,4.494383976094696e-09,8.346713542550788e-09
1842,0.0,5.366612043644636e-09
1843,5.906911071384968e-10,6.497602011990011e-09
1844,0.0,1.0977122322231025e-08
1845,1.1160455892778032e-09,1.2834524554250493e-08
1846,0.0,4.6836010625384006e-09
1847,5.9325460100012606e-09,5.9325460100012606e-09
1848,0.0,6.43617736884039e-09
