year,voulons_VERB amener_VERB,voulons_VERB ramener_VERB
1800,0.0,0.0
1801,0.0,4.7623651688866175e-09
1802,0.0,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,1.129515236897305e-08
1810,4.680253518074551e-09,4.680253518074551e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,5.97868634599763e-08
1815,0.0,5.394447111228828e-09
1816,0.0,9.270415546325239e-09
1817,0.0,4.670620334934483e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,7.24573512300708e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,0.0,6.903041693817613e-09
1822,0.0,1.2030739071633434e-08
1823,0.0,1.9765373782121287e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,7.044354433105582e-09
1826,4.403992281964975e-09,2.8185549894033102e-08
1827,0.0,1.8434546333878643e-08
1828,0.0,1.3758452155343548e-08
1829,0.0,5.143905745796928e-09
1830,4.174734336004349e-09,1.1480519646056564e-08
1831,9.354723218280014e-09,1.870944643656003e-08
1832,6.764984572527055e-09,5.411987746839486e-09
1833,1.1583628278799551e-08,1.1583628500844156e-09
1834,9.334530925997342e-10,1.7735608537350345e-08
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,1.1425274948351216e-08,2.688300027031687e-09
1837,0.0,9.74104708006962e-09
1838,0.0,5.680945491803868e-09
1839,0.0,1.0487212875887053e-08
1840,2.5478754661634184e-09,1.7198159341091923e-08
1841,0.0,1.3483152372373297e-08
1842,2.683306021822318e-09,8.049918065466954e-09
1843,5.906911071384968e-10,1.1223130869097986e-08
1844,2.195424508855126e-09,2.085653250105679e-08
1845,5.580227946389016e-10,1.3950569588416784e-08
1846,2.9272506640865004e-09,1.2879903366069811e-08
1847,8.089835468183537e-09,7.011190739092399e-09
1848,7.24069959545659e-09,1.126331028444838e-08
1849,3.3517659758786067e-09,7.54147322368226e-09
1850,3.394498016007219e-09,5.431196825611551e-09
1851,3.8696632564949596e-09,1.0319102017319892e-08
1852,1.3021090872200602e-09,1.1067927019325907e-08
1853,1.7915795513800958e-09,1.7318601663873778e-08
1854,1.0391328908454511e-09,6.234797567117312e-09
1855,0.0,4.776243400783642e-09
1856,1.0354378465748937e-09,4.141751386299575e-09
1857,1.4644527812635033e-09,3.905207268672939e-09
1858,3.9149408159744326e-09,3.4255731584664773e-09
1859,7.129042689513199e-09,4.073738679721828e-09
1860,4.57718396518203e-09,4.57718396518203e-09
1861,9.903524222920623e-09,1.650587222457034e-08
1862,4.517986262886353e-10,2.2589932147099034e-09
1863,5.494082966350788e-09,9.489779628779615e-09
1864,1.0068928801842958e-08,1.6781548595190543e-08
1865,6.589582213223366e-09,1.6003271596787272e-08
1866,3.4059290943133647e-09,2.1408697037372804e-08
1867,3.396968040192405e-09,4.85281148598915e-09
1868,2.4699371437009177e-09,6.915823469455518e-09
1869,1.953407657850903e-09,7.813630631403612e-09
1870,7.454262984651905e-09,1.3188312664169644e-08
1871,5.3105884134652115e-09,6.37270636261178e-09
1872,4.8378714367913744e-09,1.0885210954825197e-08
1873,0.0,8.979006871356887e-09
1874,4.779687312606029e-09,8.961913877669758e-09
1875,5.721527140956084e-10,1.6592428764283795e-08
1876,4.232210137899983e-09,6.04601479992084e-09
1877,1.8554447978047506e-09,6.184816214727107e-09
1878,3.6234530931267273e-09,4.831270938865373e-09
1879,6.10932526790009e-10,9.163987790827832e-09
1880,6.417846254436199e-10,1.4119262203848848e-08
1881,1.045876096839038e-08,4.8807553554297556e-09
1882,1.3310770263785798e-09,9.983077475794744e-09
1883,0.0,1.0742875922176154e-08
1884,5.281357573494461e-09,6.601696966868076e-09
1885,2.5782542767416317e-09,1.2246707647989297e-08
1886,6.453463874400711e-10,7.744156427236248e-09
1887,3.264462256069578e-09,6.528924512139156e-09
1888,4.4384300679212174e-09,1.2047167707862627e-08
1889,5.6386229019267375e-09,3.132568426877924e-09
1890,7.865263995654459e-09,4.5880703680722945e-09
1891,5.099376032546843e-09,9.561330394092238e-09
1892,3.761107425503951e-09,4.387958441043338e-09
1893,6.15841644346915e-09,2.463366621796581e-09
1894,2.520615716150587e-09,7.561847148451761e-09
1895,1.2037228991346183e-08,1.745398137131815e-08
1896,2.948514543632541e-09,4.1279202278587945e-09
1897,4.661370844871726e-09,1.0488084178916779e-08
1898,1.6975064687230201e-09,7.921697076085366e-09
1899,5.527578395003729e-10,9.949641111006713e-09
1900,3.114631885736685e-09,4.15284251431558e-09
1901,8.38310842965484e-09,1.2854099118442264e-08
1902,2.9461704187383475e-09,1.2275709337927765e-08
1903,7.560307935250421e-09,3.2401321625741275e-09
1904,5.374625189347171e-09,1.0749250378694342e-08
1905,4.1286072338664326e-09,9.28936660926638e-09
1906,5.144184633820714e-09,5.144184633820714e-09
1907,2.057137349353866e-09,1.6457098794830927e-08
1908,7.858222517143076e-09,7.858222517143076e-09
1909,7.701377313651392e-09,1.980354014108343e-08
1910,3.740905363258662e-09,9.619471441624228e-09
1911,8.51259862599818e-09,5.320374141248863e-10
1912,1.6670147928721235e-08,4.167536982180309e-09
1913,5.833288518886093e-09,4.772690687104841e-09
1914,4.018046340092951e-09,1.3393487430235496e-09
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,1.0987462051303964e-09,6.592477230782379e-09
1917,6.57985488317081e-09,1.4256351654751143e-08
1918,6.89182577673364e-09,4.594550517822427e-09
1919,6.4454939163738345e-09,1.012863304339362e-08
1920,8.329454459499175e-09,7.572231730534895e-09
1921,1.5145494858259667e-09,1.060184651180407e-08
1922,3.6889677978990676e-09,4.426761179843197e-09
1923,5.307974060286824e-09,4.246379248229459e-09
1924,1.1602462102189293e-08,1.2891624656674594e-08
1925,4.399271169575059e-09,7.698724324711748e-09
1926,1.1146138456652466e-09,8.916910765321973e-09
1927,1.1149224876660924e-09,7.804457524684949e-09
1928,2.2852082448565625e-09,4.570416489713125e-09
1929,5.570202965543558e-09,2.2280812750352652e-09
1930,4.201441416995522e-09,3.1510811737689437e-09
1931,6.843213995466613e-09,6.843213995466613e-09
1932,5.4797681947604815e-09,8.767629289252454e-09
1933,2.2941324395731044e-09,4.588264879146209e-09
1934,1.1981580172459871e-08,2.3963160344919743e-09
1935,4.787313656606784e-09,1.196828414151696e-09
1936,4.849885826274658e-09,9.699771652549316e-09
1937,8.813782592653752e-09,5.0364472592434595e-09
1938,5.186085783037697e-09,5.186085783037697e-09
1939,1.2235240376412548e-08,6.117620188206274e-09
1940,0.0,5.0715658339584024e-09
1941,5.9030051957620344e-09,1.1806010391524069e-08
1942,9.102635090130207e-09,9.102635090130207e-09
1943,0.0,0.0
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,1.089252066321933e-08,6.535512131478072e-09
1946,5.568441707737293e-09,5.568441707737293e-09
1947,5.960435700558264e-09,7.152522574216391e-09
1948,6.523132700664291e-09,4.348755133776194e-09
1949,9.817008317369869e-10,1.9634016634739737e-09
1950,2.1270722960764488e-09,2.1270722960764488e-09
1951,5.330700769690111e-09,4.264560704569931e-09
1952,9.490323193972472e-09,1.0544803918932644e-09
1953,2.1547654771580937e-09,5.386913581872932e-09
1954,3.9090144454689835e-09,4.886268278880834e-09
1955,5.631364707880948e-09,9.385607846468247e-10
1956,1.744228317335228e-09,3.488456634670456e-09
1957,3.534015080575159e-09,3.534015080575159e-09
1958,1.1581140491045971e-08,4.9633461784992505e-09
1959,1.5501495642666896e-09,2.325224457422337e-09
1960,6.920833350854139e-10,4.152500121534786e-09
1961,7.64297514166401e-09,8.33779090214648e-09
1962,1.2683912808952869e-09,2.5367825617905737e-09
1963,6.466053470433053e-09,2.5864212993553792e-09
1964,8.517555549758526e-09,4.867174663303331e-09
1965,3.830430195250756e-09,4.377634699181954e-09
1966,5.539074976468328e-09,6.092982118843793e-09
1967,3.451234853457663e-09,3.944268467392931e-09
1968,7.635406973349745e-09,4.940557296606585e-09
1969,0.0,2.7250546263957176e-09
1970,7.3579600190498695e-09,3.219107425067591e-09
1971,1.0276794526475896e-08,3.5968783507200897e-09
1972,2.0520587451500205e-09,1.0260293725750103e-09
1973,5.513203671370093e-09,2.205281512956958e-09
1974,1.6876715580593782e-09,2.812785782069227e-09
1975,6.282628195464213e-09,2.8557400888473694e-09
1976,1.7140580066410394e-09,3.4281160132820787e-09
1977,7.052138428775834e-09,3.526069214387917e-09
1978,5.346532105932056e-09,4.158414057542359e-09
1979,3.5111840102075575e-09,2.3407893401383717e-09
1980,3.97960553399912e-09,1.1370301367108482e-09
1981,1.2651099057237047e-09,1.2651099057237047e-09
1982,4.966001831974154e-09,3.7245013739806154e-09
1983,9.47297440490047e-09,3.157658134966823e-09
