year,vos_DET routes_NOUN
1800,1.8864987794131594e-08
1801,2.1430643926123594e-08
1802,0.0
1803,7.801356893821776e-09
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,0.0
1807,1.9928686256776018e-08
1808,6.798221985349073e-09
1809,6.7770917766551975e-09
1810,2.3401266702194334e-08
1811,4.011322829455821e-08
1812,1.600324850414836e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,4.315557688983063e-08
1816,3.476405652236281e-08
1817,9.341240669868967e-09
1818,1.0729059418679299e-08
1819,4.140420006848444e-09
1820,1.779972080839798e-08
1821,4.141824927472726e-08
1822,7.017931125119503e-09
1823,1.680056804787e-08
1824,2.4421225930382207e-08
1825,4.4027217427355936e-09
1826,1.8496767562048433e-08
1827,1.474763688946723e-08
1828,2.476521321348457e-08
1829,2.7434162719330857e-08
1830,3.1310507075943406e-08
1831,7.795602829929749e-09
1832,2.841293600397421e-08
1833,1.853380560135065e-08
1834,2.6136685704614138e-08
1835,2.3445572594482655e-08
1836,3.024337402735e-08
1837,6.957891152126194e-09
1838,2.2723781967215473e-08
1839,5.243606271410073e-08
1840,2.356784811752277e-08
1841,1.733548060656176e-08
1842,3.957876471005761e-08
1843,2.8353173142647847e-08
1844,1.5916826967554698e-08
1845,1.9530797867872707e-08
1846,2.517435504501009e-08
1847,4.6921044827286096e-08
1848,4.103063133698015e-08
1849,3.77073661184113e-08
1850,2.1045888587423178e-08
1851,2.902247508984601e-08
1852,2.2135854038651814e-08
1853,2.6276500753041887e-08
1854,2.9615287833184567e-08
1855,2.7596072982305486e-08
1856,1.9155599773057475e-08
1857,2.0990488514005534e-08
1858,3.0830157982109085e-08
1859,1.2221216039165483e-08
1860,2.2885919104265184e-08
1861,3.819930682880113e-08
1862,5.421583540443642e-08
1863,4.4452124203786525e-08
1864,2.0617330065419992e-08
1865,2.4475590221229027e-08
1866,2.092213513549268e-08
1867,1.7955402498159856e-08
1868,2.420538258718352e-08
1869,2.539429910797253e-08
1870,1.6628741938973235e-08
1871,2.7615060460561835e-08
1872,9.675742873582749e-09
1873,2.334541715498517e-08
1874,1.2546679251101978e-08
1875,8.010138330405425e-09
1876,1.3905833595728723e-08
1877,9.27722432209066e-09
1878,1.2078177513696886e-08
1879,5.6205792020591616e-08
1880,1.6686400705623328e-08
1881,1.3945014920579979e-08
1882,1.2645231972641113e-08
1883,1.5798347186013473e-08
1884,1.8484751507230612e-08
1885,2.0626034213933053e-08
1886,1.0970888586481209e-08
1887,1.4363633837888301e-08
1888,5.07249175996094e-09
1889,1.9421924069007446e-08
1890,2.883930128039225e-08
1891,1.2748440081367107e-08
1892,1.3163876211308434e-08
1893,1.847524983000781e-08
1894,1.6384001710889606e-08
1895,1.5046536461227333e-08
1896,1.0024949259612725e-08
1897,1.7480140668268973e-09
1898,1.584339415217073e-08
1899,2.9296165493519766e-08
1900,1.1420316803345543e-08
1901,1.6207343245255856e-08
1902,1.0311596021495006e-08
1903,1.78207268941577e-08
1904,1.0749250378694342e-08
1905,9.805442013899324e-09
1906,1.0288369267641428e-08
1907,1.3371392604266674e-08
1908,1.3260750719723546e-08
1909,1.7603147384193107e-08
1910,5.878565634276356e-09
1911,1.4897047928563723e-08
1912,1.354449502555255e-08
1913,1.5908969752675972e-08
1914,7.36641797560722e-09
1915,4.712304768617059e-09
1916,1.4283700444650549e-08
1917,9.869782324756216e-09
1918,1.8378201183111287e-08
1919,1.6574126959767455e-08
1920,3.9375606775138294e-08
1921,1.1359120755116692e-08
1922,9.591315963675129e-09
1923,1.6985516548828627e-08
1924,1.1602462102189293e-08
1925,1.649726644181726e-08
1926,1.4489979882625903e-08
1927,5.574612327308159e-09
1928,9.14083297942625e-09
1929,1.2254447234738564e-08
1930,2.6259009189288918e-08
1931,1.2545892325022123e-08
1932,5.4797681947604815e-09
1933,6.882397318719313e-09
1934,8.38710612072191e-09
1935,1.795242532409702e-08
1936,2.7886843945168494e-08
1937,1.3850229851897211e-08
1938,1.2965214679638848e-08
1939,1.2235240376412548e-08
1940,1.2678914806940611e-08
1941,1.4757512545315876e-08
1942,3.6410540360520827e-08
1943,8.709705845433291e-09
1944,2.5705489292704442e-08
1945,4.357008087652048e-09
1946,2.227376771912759e-08
1947,8.344609447874518e-09
1948,1.6307831529616124e-08
1949,2.1597417965146803e-08
1950,1.9143651330821854e-08
1951,1.0661401650402524e-08
1952,9.490323193972472e-09
1953,1.939289007157896e-08
1954,1.3681550115052232e-08
1955,6.569925492527773e-09
1956,1.308171282410342e-08
1957,1.1485549400447326e-08
1958,1.6544487224656734e-08
1959,1.0851047171911432e-08
1960,1.314958364417862e-08
1961,1.320150300188061e-08
1962,1.1415521861124489e-08
1963,2.198458126656533e-08
1964,1.52099203787337e-08
1965,1.4227312938874803e-08
1966,8.862519718100259e-09
1967,1.035370456037299e-08
1968,1.4821672722487023e-08
1969,1.407944960618579e-08
1970,1.0117195081704722e-08
1971,9.762954999992246e-09
1972,5.643161493651405e-09
1973,1.1026407842340546e-08
1974,1.5751600079827455e-08
1975,6.8537762132336866e-09
1976,1.085570122683066e-08
1977,3.526069214387917e-09
1978,1.5445537515645924e-08
1979,7.607565355449708e-09
1980,1.0233271174886482e-08
1981,8.855769062510177e-09
1982,1.551875572491923e-08
1983,7.578379146444547e-09
1984,9.278413592994639e-09
1985,9.023336966507145e-09
1986,1.079007377891017e-08
1987,1.2221633927111952e-08
1988,1.0793796745289796e-08
1989,1.0976244468885454e-08
1990,9.807571754727462e-09
1991,6.4476117778156095e-09
1992,1.1019888113139586e-08
1993,6.647048800267896e-09
1994,1.4242301338285301e-08
1995,5.4224509327127635e-09
1996,1.2277612038147367e-08
1997,7.671831170341648e-09
1998,1.239713631751016e-08
1999,8.683381846896765e-09
2000,6.627047355323157e-09
2001,1.0076787404500465e-08
2002,5.6955880012310445e-09
2003,1.2917460712191797e-08
2004,1.1452457648886138e-08
2005,1.7114248795913056e-08
2006,1.029472451730129e-08
2007,6.391167151065247e-09
2008,8.514879246135365e-09
