year,veuillez_VERB aller_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,2.3579115548955087e-08
1825,2.641632912414593e-09
1826,8.807984341885344e-10
1827,1.8434546111834038e-09
1828,2.7516904310687096e-09
1829,3.429270423183084e-09
1830,0.0
1831,1.247296466111436e-08
1832,2.976593294068408e-08
1833,3.4750886612755494e-09
1834,7.467624740797874e-09
1835,5.294161553592858e-09
1836,6.720749901045764e-09
1837,2.0873672568200163e-08
1838,3.1560809521380406e-09
1839,1.3982950353153e-09
1840,6.369688665408546e-10
1841,5.1364388298225094e-09
1842,0.0
1843,1.7720733214154905e-09
1844,3.841993001518773e-09
1845,2.2320911785556063e-09
1846,1.7563503984519002e-09
1847,7.550513103637968e-09
1848,8.849743549088629e-09
1849,5.02764896381791e-09
1850,3.394498016007219e-09
1851,1.2898877521649865e-09
1852,1.9531636308300904e-09
1853,0.0
1854,5.195664454227256e-10
1855,1.5920811335945473e-09
1856,0.0
1857,3.90520732418409e-09
1858,1.957470352476065e-09
1859,1.5276520048956854e-09
1860,6.865775947773045e-09
1861,6.130752905342263e-09
1862,7.22877824266277e-09
1863,4.495158800743582e-09
1864,8.630510306417705e-09
1865,8.943004170536284e-09
1866,7.784980660119345e-09
1867,1.94112459439566e-09
1868,5.9278488784286765e-09
1869,5.860223084575011e-09
1870,2.2936195165357276e-09
1871,9.559059321873065e-09
1872,1.330414689526549e-08
1873,2.3944017879529156e-09
1874,2.0313670745508716e-08
1875,6.865832347102696e-09
1876,1.1487428341894201e-08
1877,8.658742500777805e-09
1878,6.0390887290928674e-09
1879,1.588424591858484e-08
1880,7.701415727368044e-09
1881,1.3945015142624584e-09
1882,1.1314154502173324e-08
1883,9.479008356017005e-09
1884,7.2618666635548834e-09
1885,1.0313017106966527e-08
1886,1.0970888864036965e-08
1887,3.9173548849191775e-09
1888,5.07249175996094e-09
1889,4.385595775424633e-09
1890,2.621754646714436e-09
1891,0.0
1892,2.5074049503359674e-09
1893,8.621783065265731e-09
1894,6.301539290376468e-10
1895,4.814891374493868e-09
1896,5.897029087265082e-09
1897,5.826713445067355e-09
1898,9.05336783318944e-09
1899,9.39688327150634e-09
1900,5.71015834616162e-09
1901,5.588738916095792e-10
1902,5.401312397346203e-09
1903,3.7801541896698154e-09
1904,6.987012746151322e-09
1905,6.192911072844254e-09
1906,1.5432553568395235e-09
1907,1.028568674676933e-09
1908,7.367083387777029e-09
1909,4.4007870125817306e-09
1910,6.947395880807505e-09
1911,1.0640748282497725e-09
1912,2.083768435579003e-09
1913,4.242391826725367e-09
1914,4.68772043404897e-09
