year,devriez_VERB envoyer_VERB,devriez_VERB renvoyer_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,5.960588467246453e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,3.94459531705138e-09,0.0
1822,2.8071724500478012e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,5.894778887238772e-09,8.421112696055388e-10
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,2.290075862276808e-08,0.0
1827,1.8434546111834038e-09,0.0
1828,1.8344602503717056e-09,2.7516904310687096e-09
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,3.1182412207897414e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,0.0
1835,2.2689263801112247e-09,0.0
1836,8.736974699274924e-09,0.0
1837,1.6003149028165353e-08,1.3915781860163179e-09
1838,1.009945904684173e-08,0.0
1839,1.0487212875887053e-08,0.0
1840,1.9109065441114126e-09,0.0
1841,0.0,0.0
1842,3.3541325272778977e-09,0.0
1843,1.1813822142769936e-09,0.0
1844,5.488561272137815e-10,0.0
1845,4.464182357111213e-09,5.580227946389016e-10
1846,1.1709002656346001e-09,0.0
1847,5.393223645455691e-10,0.0
1848,0.0,0.0
1849,8.379414939696517e-10,2.513824481908955e-09
1850,1.0183494048021657e-08,0.0
1851,6.449438760824933e-10,0.0
1852,3.580800012059626e-08,0.0
1853,2.388772735173461e-09,0.0
1854,4.676098175337984e-09,0.0
1855,4.2455496895854594e-09,0.0
1856,2.5885946719483854e-09,0.0
1857,4.393358121745905e-09,4.881509085841174e-10
1858,4.404308473482388e-09,4.893676130990343e-09
1859,0.0,1.018434669930457e-09
1860,9.154367819341758e-10,0.0
1861,3.772770984511453e-09,0.0
1862,6.325180823552046e-09,0.0
1863,1.9479021062807078e-08,9.989241656072068e-10
1864,2.8768367688059016e-09,0.0
1865,6.589582213223366e-09,4.706844358715045e-10
1866,2.432806400776144e-09,9.731225825149181e-10
1867,0.0,4.85281148598915e-10
1868,9.87974813071446e-10,1.975949626142892e-09
1869,1.1720445947105418e-08,4.883519144627257e-10
1870,4.587239033071455e-09,5.734048791339319e-10
1871,6.37270636261178e-09,0.0
1872,5.442605477412599e-09,0.0
1873,3.591602570907071e-09,0.0
1874,8.961913877669758e-09,0.0
1875,4.005069165202713e-09,0.0
1876,6.04601479992084e-10,0.0
1877,3.0924081073635534e-09,0.0
1878,1.3285995414946683e-08,0.0
1879,4.27652757650776e-09,0.0
1880,3.2089231272180996e-09,1.2835692508872398e-09
1881,1.1156012114099667e-08,2.7890030285249168e-09
1882,9.983077475794744e-09,1.9966155395678697e-09
1883,8.847074184359371e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,6.445635691854079e-10,0.0
1886,6.4534639854230136e-09,0.0
1887,6.528924623161458e-10,6.528924512139156e-09
1888,5.07249175996094e-09,0.0
1889,3.759081934617825e-09,0.0
1890,7.865263995654459e-09,0.0
1891,4.461953917456185e-09,0.0
1892,8.149066310636499e-09,0.0
1893,6.15841644346915e-09,0.0
1894,5.041231432301174e-09,0.0
1895,3.0093072478365457e-09,0.0
1896,2.358811590497112e-09,5.89702897624278e-10
1897,5.2440420894583895e-09,1.1653427112179315e-09
1898,2.8291773368493978e-09,3.3950129374460403e-09
1899,2.2110313580014918e-09,0.0
1900,5.19105292084987e-09,5.191053142894475e-10
1901,2.794369402536745e-09,0.0
1902,4.419255628107521e-09,0.0
1903,1.6200660812870638e-09,0.0
