year,aurions_VERB ajouté_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.4234775136401367e-08
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,1.8540831092650478e-08
1817,0.0
1818,8.344824387052086e-09
1819,0.0
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,0.0
1824,8.421112696055388e-10
1825,0.0
1826,8.807984341885344e-10
1827,1.1060727445055818e-08
1828,1.1006761724274838e-08
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,7.795603274018958e-09
1832,0.0
1833,0.0
1834,0.0
1835,3.025235173481633e-09
1836,0.0
1837,1.3915781860163179e-09
1838,5.049729523420865e-09
1839,2.0974426639952526e-09
1840,1.9109065441114126e-09
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,1.4176587015413133e-08
1844,9.330554107123135e-09
1845,4.464182357111213e-09
1846,1.7563503984519002e-09
1847,1.240441438454809e-08
1848,4.82713291560799e-09
1849,2.6814127807028854e-08
1850,6.788996032014438e-10
1851,1.9348316282474798e-09
1852,4.557382027314816e-09
1853,5.971931837933653e-10
1854,5.195664454227256e-10
1855,1.2736649068756378e-08
1856,1.0354378465748937e-09
1857,8.78671624349181e-09
1858,4.893676130990343e-09
1859,5.092173349652285e-09
1860,1.9681891672007623e-08
1861,3.772770984511453e-09
1862,1.8071945717679228e-08
1863,5.9935452156878455e-09
1864,2.3973640850272204e-09
1865,8.001635798393636e-09
1866,5.352174259343201e-09
1867,5.82337378318698e-09
1868,9.87974813071446e-10
1869,3.906815315701806e-09
1870,4.587239033071455e-09
1871,7.434824311758348e-09
1872,7.256807155187062e-09
1873,5.387403856360606e-09
1874,5.377148060148329e-09
1875,9.7265964171811e-09
1876,1.0278225381910033e-08
1877,8.040260901509555e-09
1878,7.850815109122777e-09
1879,6.720257683667796e-09
1880,7.059631101924424e-09
1881,2.7890030285249168e-09
1882,3.3276925659464496e-09
1883,4.423537092179686e-09
1884,1.3203393933736152e-09
1885,1.933690763067375e-09
1886,2.5813855497602844e-09
1887,6.528924623161458e-10
1888,2.53624587998047e-09
1889,6.265136742733546e-10
1890,5.243509182406569e-09
1891,6.374220040683554e-10
1892,6.268512375839919e-10
1893,1.847525021858587e-09
1894,0.0
1895,5.416753268150387e-09
1896,8.255840455717589e-09
1897,4.661370844871726e-09
1898,0.0
1899,5.527578395003729e-09
1900,6.748368974740515e-09
1901,1.1177477832191585e-09
1902,9.820567692386817e-10
1903,1.6200660812870638e-09
1904,5.374625189347171e-09
1905,5.160759042333041e-10
1906,4.115347618238729e-09
1907,1.5428529565042481e-09
1908,3.437972351250096e-09
1909,6.60118004702781e-09
1910,3.740905363258662e-09
1911,6.384448969498635e-09
1912,3.125652625612929e-09
1913,3.71209285532359e-09
1914,6.696743715117748e-10
1915,0.0
1916,1.0987462051303964e-09
1917,5.483212106582869e-09
1918,4.594550517822427e-09
1919,9.207848372660976e-10
1920,1.514446346106979e-09
1921,1.5145494858259667e-09
1922,1.4755870969551665e-09
1923,2.1231896241147297e-09
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,1.1426041224282812e-09
1929,1.1140406375176326e-09
1930,0.0
1931,4.5621426636444085e-09
1932,0.0
1933,1.1470662197865522e-09
1934,8.38710612072191e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,3.777335333410292e-09
1938,0.0
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,1.3071024262956144e-08
1946,5.568441707737293e-09
1947,2.3841741914054637e-09
1948,2.174377566888097e-09
1949,3.9268033269479474e-09
1950,3.190608444114673e-09
1951,1.0661401761424827e-09
1952,6.326882129314981e-09
1953,7.54167928107563e-09
1954,3.9090144454689835e-09
1955,0.0
1956,2.616342476002842e-09
1957,0.0
1958,0.0
1959,6.975672928177801e-09
1960,2.076250060767393e-09
