year,dix_DET routes_NOUN,dix_DET août_NOUN
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,1.729001475325731e-08,2.881669125542885e-09
1807,2.2775640928784924e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.401186100480345e-08,0.0
1818,7.152706427149269e-09,0.0
1819,0.0,3.105315005136333e-09
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,0.0,1.1833785507064931e-08
1822,4.010246357211145e-09,2.105379337535851e-08
1823,0.0,1.9765373338032077e-08
1824,0.0,1.51580028528997e-08
1825,8.805443041381977e-10,5.283265824829186e-09
1826,8.80798456392995e-09,5.284790716153509e-09
1827,2.5808365222701468e-08,2.7651819167751057e-09
1828,7.337841001486822e-09,0.0
1829,1.714635211591542e-09,0.0
1830,6.262101504006523e-09,0.0
1831,2.8064171431196883e-08,0.0
1832,1.0823975604701275e-08,0.0
1833,0.0,5.791814139399776e-09
1834,0.0,0.0
1835,2.2689263801112247e-09,1.5126175867408165e-09
1836,1.0753200108126748e-08,6.720750067579218e-10
1837,2.365682938432201e-08,2.7831563720326358e-09
1838,1.009945904684173e-08,1.2624323808552163e-09
1839,2.0974426639952526e-09,0.0
1840,4.458782232319436e-09,5.095750932326837e-09
1841,3.852329122366882e-09,1.2841097074556274e-09
1842,1.542901006956754e-08,6.708265054555795e-10
1843,4.7255288571079745e-09,9.451057936260554e-09
1844,1.4270259640625227e-08,6.586273526565378e-09
1845,1.562463802784464e-08,1.1160455892778032e-09
1846,4.0981509297211005e-09,0.0
1847,4.314578916364553e-09,1.0786447290911383e-09
1848,5.63165514222419e-09,1.6090443422100975e-09
1849,4.189707469848258e-09,5.02764896381791e-09
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,6.449438760824933e-09,0.0
1852,7.161599979710331e-09,0.0
1853,8.95789731281127e-09,1.7915795513800958e-09
1854,3.117398783558656e-09,0.0
1855,5.306937111981824e-09,5.306937111981824e-10
1856,2.070875637638636e-09,1.5531567143511893e-09
1857,6.8341128311999455e-09,4.881509085841174e-10
1858,1.4681028059904122e-09,1.9574704079872163e-09
1859,0.0,0.0
1860,9.154367819341758e-10,4.577183909670879e-10
1861,4.71596389717277e-09,6.602349444939648e-09
1862,3.162590411776023e-09,4.517986262886353e-10
1863,4.994620717013731e-09,4.994620828036034e-10
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,5.648213063924601e-09,0.0
1866,4.865612801552288e-09,4.865612912574591e-10
1867,4.85281148598915e-09,2.91168689159349e-09
1868,9.879747908669856e-09,0.0
