year,avons_VERB usé_VERB,avons_VERB rusé_VERB
1800,1.2576657937302116e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,2.842877755426798e-08,0.0
1806,1.729001475325731e-08,0.0
1807,6.832692633906845e-08,0.0
1808,5.891792298484688e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,6.786367379163494e-08,0.0
1811,7.771937760026049e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.888760685162197e-08,0.0
1814,5.664018942752591e-08,0.0
1815,3.236668177919455e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,7.784366928831332e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,4.140419918030602e-08,0.0
1820,4.9839222526770754e-08,0.0
1821,1.577838126820552e-08,0.0
1822,3.308453244699194e-08,0.0
1823,4.0519015698237126e-08,0.0
1824,2.3579115548955087e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,1.76159691278599e-08,0.0
1827,1.7512819638909605e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,3.5485243188304594e-08,0.0
1831,5.456922025359745e-08,0.0
1832,1.2176972319366541e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,5.600718466780563e-08,0.0
1835,2.4958190181223472e-08,7.563087933704082e-10
1836,2.419469957715137e-08,0.0
1837,3.2006298056330706e-08,0.0
1838,1.7042836475411605e-08,0.0
1839,2.1673573158409454e-08,0.0
1840,3.121147429396842e-08,0.0
1841,1.3483152372373297e-08,0.0
1842,3.287049921141261e-08,0.0
1843,1.6539351221922516e-08,0.0
1844,2.8540519281250454e-08,0.0
1845,2.6785095030845696e-08,0.0
1846,1.4636253098387897e-08,0.0
1847,2.534815024546333e-08,0.0
1848,2.896279838182636e-08,0.0
1849,3.351765798242923e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,2.579775504329973e-08,0.0
1852,4.166749079104193e-08,0.0
1853,2.9859659633757474e-08,5.971931837933653e-10
1854,1.558699302961486e-08,0.0
1855,2.9188154115900034e-08,0.0
1856,1.6049286344355096e-08,0.0
1857,1.9526035899275485e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,2.0877910955618972e-08,0.0
1860,5.309533435138292e-08,0.0
1861,2.5466203368296192e-08,0.0
1862,9.035972858839614e-09,0.0
1863,2.8469338886338846e-08,0.0
1864,3.068625886726295e-08,0.0
1865,2.3063536858103362e-08,0.0
1866,2.578774882522339e-08,0.0
1867,2.5719900875742496e-08,0.0
1868,2.222943251695142e-08,0.0
1869,1.8557372527538973e-08,0.0
1870,3.1537268796455464e-08,0.0
1871,1.6993883633631413e-08,0.0
1872,2.1770421909650395e-08,0.0
1873,3.112722168907567e-08,5.9860045809045914e-09
1874,2.9873046258899194e-08,0.0
1875,2.1169650921137873e-08,0.0
1876,1.209202959984168e-08,0.0
1877,9.27722432209066e-09,0.0
1878,2.5968081018845623e-08,0.0
1879,2.5659165459046562e-08,0.0
1880,9.626769603698904e-09,0.0
1881,2.2312024228199334e-08,0.0
1882,2.5290463057103807e-08,0.0
1883,2.338155447034751e-08,0.0
1884,1.0562715146988921e-08,0.0
1885,2.5782542323327107e-08,0.0
1886,1.613365974151293e-08,6.453463874400711e-10
1887,1.8933882017790893e-08,0.0
1888,1.521747527988282e-08,0.0
1889,2.4434033463194282e-08,0.0
1890,2.4906668727453507e-08,0.0
1891,2.2947192590550003e-08,0.0
1892,2.8835156484774416e-08,0.0
1893,1.23168328869383e-08,0.0
1894,1.5123694296903523e-08,1.2603078580752936e-09
1895,2.467631965430428e-08,0.0
1896,2.7126333179694484e-08,0.0
1897,6.409385022720926e-09,0.0
1898,4.130599151608294e-08,0.0
1899,1.3818945987509323e-08,0.0
1900,1.7130474816440255e-08,0.0
1901,1.5648469187112823e-08,0.0
1902,1.6694965410124496e-08,4.910283846193408e-10
1903,2.592105730059302e-08,0.0
1904,1.9348650681649815e-08,0.0
1905,1.4450125540577119e-08,0.0
1906,1.6975809202790515e-08,0.0
1907,3.445705232252294e-08,0.0
1908,9.331639461152008e-09,0.0
1909,1.320236009405562e-08,5.500983557560346e-10
1910,1.9238942883248455e-08,0.0
1911,1.276889793899727e-08,0.0
1912,1.3023552902780011e-08,0.0
1913,1.1666577037772186e-08,0.0
1914,2.343860217024485e-08,0.0
