year,veux_VERB amener_VERB,veux_VERB ramener_VERB
1800,0.0,0.0
1801,0.0,7.143547975374531e-09
1802,2.2378401354217203e-09,2.0140561218795483e-08
1803,0.0,7.801356893821776e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,2.697223555614414e-09
1816,1.3905623319487859e-08,1.8540831092650478e-08
1817,0.0,0.0
1818,5.960588467246453e-09,1.668964877410417e-08
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,3.94459531705138e-09,0.0
1822,0.0,6.015369535816717e-09
1823,2.9648061783404955e-09,1.8777104315859106e-08
1824,0.0,8.421112696055388e-10
1825,7.044354433105582e-09,8.805443041381977e-10
1826,2.642395191543301e-09,2.642395191543301e-09
1827,0.0,2.7651818612639545e-09
1828,3.668920500743411e-09,2.7516904310687096e-09
1829,2.571952872898464e-09,3.429270423183084e-09
1830,7.305785310052215e-09,1.0436835840010872e-09
1831,1.2472964883158966e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,2.3167256557599103e-08
1834,0.0,9.334530925997342e-10
1835,0.0,7.563087933704082e-10
1836,2.688300027031687e-09,1.3441500135158435e-09
1837,6.262101948095733e-09,4.174734336004349e-09
1838,5.049729523420865e-09,6.943378316748294e-09
1839,2.0974426639952526e-09,6.9914751765765e-10
1840,6.369688665408546e-10,5.732719632334238e-09
1841,6.420548537278137e-10,7.704658244733764e-09
1842,1.0062397137744483e-08,1.408735705865638e-08
1843,5.906911071384968e-10,5.906911071384968e-10
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,2.7901139176833567e-09,7.254296274794569e-09
1846,3.5127007969038004e-09,4.0981511517657054e-09
1847,1.6179670936367074e-09,5.3932236454556914e-09
1848,8.045221711050488e-10,1.126331028444838e-08
1849,1.5920887719289567e-08,1.75967720394965e-08
1850,1.765138968323754e-08,4.752297222410107e-09
1851,1.2898877521649865e-09,1.9348316282474798e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,5.971931837933653e-10,2.388772735173461e-09
1854,5.195664343204953e-09,3.63696517347023e-09
1855,3.714855978387277e-09,1.3798036491152743e-08
1856,4.659470143053568e-09,8.28350277259915e-09
1857,1.9526036343364694e-09,5.857811125054013e-09
1858,1.1255455234504552e-08,3.4255731584664773e-09
1859,2.036869339860914e-09,2.5460866748261424e-09
1860,0.0,3.204028820036342e-09
1861,4.2443675241088386e-09,2.4051415081771665e-08
1862,4.517986262886353e-10,2.2589932147099034e-09
1863,3.995696662428827e-09,5.494082966350788e-09
1864,4.315255264231155e-09,9.109982990196386e-09
1865,3.294791106611683e-09,4.706844247692743e-09
1866,2.919367858567057e-09,1.702964524952222e-08
1867,1.94112459439566e-09,2.91168689159349e-09
1868,9.87974813071446e-10,5.9278488784286765e-09
1869,3.906815315701806e-09,5.371870948067681e-09
1870,2.8670243956696595e-09,9.747882501187632e-09
1871,0.0,2.1242354542039266e-09
1872,3.628403577593531e-09,7.256807155187062e-09
1873,3.591602570907071e-09,1.1972008939764578e-09
1874,4.779687312606029e-09,2.3898436563030145e-09
1875,1.2587359599081083e-08,9.7265964171811e-09
1876,0.0,3.02300739996042e-09
1877,3.710889595609501e-09,2.4739263970730008e-09
1878,1.2078177347163432e-09,3.0195443923020093e-09
1879,1.221865097988939e-08,1.221865053580018e-09
1880,5.134277003548959e-09,3.2089231272180996e-09
1881,1.3945015142624584e-09,1.3945015142624584e-09
1882,1.9966155395678697e-09,6.655385131892899e-10
1883,6.319338941018771e-10,5.0554711528150165e-09
1884,2.6406787867472303e-09,5.941527270181268e-09
1885,2.5782542767416317e-09,3.86738152613475e-09
1886,3.2267319927115068e-09,4.5174246565693466e-09
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,2.53624587998047e-09,3.804368819970705e-09
1889,3.132568426877924e-09,5.6386229019267375e-09
1890,1.1797895993481688e-08,6.554386478008212e-10
1891,7.0116419337296065e-09,2.5496880162734215e-09
1892,2.5074049503359674e-09,5.014809900671935e-09
1893,6.15841644346915e-09,3.079208221734575e-09
1894,2.520615716150587e-09,4.411077725308132e-09
1895,9.027921521465032e-09,1.023164486468886e-08
1896,6.486732040400511e-09,1.179405795248556e-09
1897,1.1653427112179315e-09,1.1653427112179315e-09
1898,1.6975064687230201e-09,1.13167097914868e-09
1899,0.0,2.2110313580014918e-09
1900,2.07642125715779e-09,1.038210628578895e-09
1901,4.470991132876634e-09,6.706486921359556e-09
1902,1.4730852093691738e-09,4.910283846193408e-10
1903,5.400220270956879e-10,2.1600881083827517e-09
1904,5.374625189347171e-10,2.1498500757388683e-09
1905,9.805441791854719e-09,1.5482277682110634e-09
1906,8.230695236477459e-09,1.0288369045596824e-09
1907,1.028568674676933e-09,4.114274698707732e-09
1908,6.384805573134145e-09,1.4734167219643268e-09
1909,2.7504918342913243e-09,6.60118004702781e-09
1910,2.137660271017694e-09,1.1757131268552712e-08
1911,1.0640748282497725e-09,1.0640748282497725e-09
1912,5.209421227725386e-10,4.167536982180309e-09
1913,4.242391771214216e-09,5.302989602995467e-09
1914,8.036092680185902e-09,1.3393487430235496e-09
1915,7.068456930880984e-09,1.1780761921542648e-09
1916,0.0,4.394984820521586e-09
1917,1.0966424435210342e-09,1.0966424435210342e-09
1918,2.2972752589112133e-09,0.0
1919,1.8415696745321952e-09,1.8415696745321952e-09
1920,4.543339038320937e-09,2.2716695191604686e-09
1921,8.330022005509363e-09,7.572747762196741e-09
1922,0.0,3.6889677978990676e-09
1923,0.0,5.307974060286824e-09
1924,2.578324886925998e-09,1.289162443462999e-09
1925,4.399271169575059e-09,3.299453377181294e-09
1926,1.1146138456652466e-09,1.114613823460786e-08
1927,0.0,2.2298449753321847e-09
1928,1.1426041224282812e-09,1.1426041224282812e-09
1929,0.0,8.912325100141061e-09
1930,7.352522590764465e-09,6.302162347537887e-09
1931,0.0,1.1405356659111021e-09
1932,2.1919073223131136e-09,3.287861094491973e-09
1933,1.1470662197865522e-09,3.4411986593596566e-09
1934,1.1981580172459871e-09,0.0
1935,1.196828414151696e-09,0.0
1936,1.2124714565686645e-09,1.2124714565686645e-09
1937,0.0,2.5182236296217297e-09
1938,2.5930428915188486e-09,2.5930428915188486e-09
1939,6.117620188206274e-09,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,1.517105907566929e-08
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,0.0,0.0
1945,4.357008087652048e-09,4.357008087652048e-09
1946,6.960552134671616e-09,2.7842208538686464e-09
1947,4.7683483828109274e-09,0.0
1948,0.0,5.435944139264848e-09
