year,très_ADV usé_VERB,très_ADV rusé_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,0.0
1802,0.0,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,0.0
1810,0.0,7.020380277111826e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,5.394447111228828e-09
1816,0.0,1.3905623319487859e-08
1817,0.0,1.556873407970727e-09
1818,0.0,4.768470951432846e-09
1819,0.0,4.140420006848444e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,9.86148829262845e-10
1822,0.0,1.0025615893027862e-09
1823,0.0,0.0
1824,0.0,2.4421225930382207e-08
1825,0.0,7.044354433105582e-09
1826,0.0,1.0569580766173203e-08
1827,0.0,9.217273055917019e-10
1828,0.0,9.172301251858528e-10
1829,0.0,1.7146351893870815e-08
1830,0.0,1.461157062010443e-08
1831,0.0,6.236482441579483e-09
1832,0.0,1.6235963684607668e-08
1833,0.0,6.950177322551099e-09
1834,0.0,1.7735608537350345e-08
1835,0.0,9.075705520444899e-09
1836,0.0,6.048674894287842e-09
1837,0.0,6.262101948095733e-09
1838,0.0,2.1461350030449466e-08
1839,0.0,5.5931801412612e-09
1840,0.0,7.64362617644565e-09
1841,0.0,8.988767952189392e-09
1842,0.0,7.379091560011375e-09
1843,0.0,1.1813821920725331e-08
1844,4.390849017710252e-09,1.097712254427563e-09
1845,0.0,3.348136878855712e-09
1846,0.0,4.6836010625384006e-09
1847,0.0,2.6966118227278457e-09
1848,0.0,5.63165514222419e-09
1849,0.0,4.1897072478036534e-09
1850,0.0,2.0366988096043315e-09
1851,0.0,1.9348316282474798e-09
1852,0.0,2.539112742283578e-08
1853,5.971931837933653e-10,1.970737528722566e-08
1854,1.0391328908454511e-09,4.1565315633818045e-09
1855,0.0,1.2205955357558196e-08
1856,0.0,2.5885946719483854e-09
1857,0.0,1.9526036343364694e-09
1858,0.0,3.9149408159744326e-09
1859,0.0,5.092173349652285e-10
1860,0.0,1.373155145145688e-09
1861,0.0,8.017138064531082e-09
1862,2.2589932147099034e-09,4.066187830886747e-09
1863,7.491931519609807e-09,3.995696662428827e-09
1864,0.0,7.1920918109924514e-09
1865,3.294791106611683e-09,1.882737743486018e-09
1866,0.0,0.0
1867,0.0,4.85281148598915e-10
1868,1.4819622196071691e-09,3.951899252285784e-09
1869,0.0,3.4184632902167778e-09
1870,0.0,4.013834153937523e-09
1871,0.0,0.0
1872,0.0,1.8142017887967654e-09
1873,0.0,5.986004469882289e-10
1874,0.0,5.377148060148329e-09
1875,0.0,1.716458086775674e-09
1876,0.0,2.418405919968336e-09
1877,0.0,2.4739263970730008e-09
1878,0.0,1.2078177347163432e-09
1879,0.0,7.94212251520321e-09
1880,6.417846254436199e-10,1.0910338410496934e-08
1881,1.3945015142624584e-09,2.091752193678076e-08
1882,1.3310770263785798e-08,3.394246306243076e-08
1883,4.423537092179686e-09,2.338155447034751e-08
1884,3.300848483434038e-09,3.102797485610154e-08
1885,6.445635691854079e-10,2.3848852226393547e-08
