year,voulions_VERB entrer_VERB,voulions_VERB rentrer_VERB
1800,1.5720821977538435e-08,0.0
1801,4.286128785224719e-08,0.0
1802,7.161088433349505e-08,0.0
1803,1.950339267864365e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,5.1171799242411e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,5.693910054560547e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,3.388545621874073e-08,0.0
1810,7.020380277111826e-09,0.0
1811,4.262030373070047e-08,0.0
1812,3.467370746079723e-08,0.0
1813,3.738464116054274e-08,0.0
1814,9.440030979135372e-09,2.2026739543434815e-08
1815,3.776112933451259e-08,2.697223555614414e-09
1816,7.184571870766376e-08,2.3176038865813098e-09
1817,6.85024303948012e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.1053151161586356e-08,0.0
1820,3.20394981656591e-08,0.0
1821,1.2819934447350079e-08,0.0
1822,4.0102463572111446e-08,9.023054303725075e-09
1823,3.9530746676064155e-08,0.0
1824,7.494790565942822e-08,0.0
1825,1.6730341556581152e-08,8.805443041381977e-10
1826,1.76159691278599e-08,0.0
1827,1.566936447261469e-08,9.217273055917019e-10
1828,4.769596628761974e-08,9.172301251858528e-10
1829,1.457439946506156e-08,8.57317605795771e-10
1830,3.757260813586072e-08,0.0
1831,1.870944643656003e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,2.20088942626262e-08,1.2741991461950875e-08
1834,1.7735608537350345e-08,0.0
1835,5.067268915581735e-08,5.294161553592858e-09
1836,3.024337402735e-08,2.688300027031687e-09
1837,4.244313345225237e-08,0.0
1838,4.1660268124132926e-08,5.680945491803868e-09
1839,4.61437359433603e-08,4.894032734625853e-09
1840,3.758116307039927e-08,0.0
1841,3.980740004294603e-08,3.2102742686390684e-09
1842,3.957876515414682e-08,6.708265054555795e-10
1843,3.839492279666956e-08,1.1813822142769936e-09
1844,3.787107161201675e-08,0.0
1845,3.4039391749729475e-08,5.580227946389016e-10
1846,3.3956109035671034e-08,2.9272506640865004e-09
1847,3.343798482546845e-08,5.3932236454556914e-09
1848,2.011305433313737e-08,0.0
1849,4.1897074254393374e-08,8.379414939696517e-10
1850,2.851378333446064e-08,2.0366988096043315e-09
1851,2.3217978650791338e-08,7.094382858952031e-09
1852,2.148479971708639e-08,1.3021090872200602e-09
1853,3.4637203327747557e-08,0.0
1854,4.2084881357595805e-08,2.0782657816909023e-09
1855,2.9188154115900034e-08,1.0613874223963649e-09
1856,2.847454005916461e-08,5.177189232874468e-10
1857,2.636014961865385e-08,4.881509085841174e-10
1858,2.4468379322684086e-08,4.893676019968041e-10
1859,3.3099126994784456e-08,0.0
1860,3.524431591017674e-08,4.577183909670879e-10
1861,2.4994607272788016e-08,5.659156698811785e-09
1862,2.3493528900075944e-08,4.9697850279528666e-09
1863,1.6482248454963155e-08,0.0
1864,2.828889478223573e-08,0.0
1865,3.247722446531043e-08,4.706844358715045e-10
1866,2.578774882522339e-08,0.0
1867,2.7661025470138156e-08,2.91168689159349e-09
1868,2.865126980111654e-08,9.87974813071446e-10
1869,3.857980246380066e-08,4.883519144627257e-10
1870,1.3188312664169644e-08,1.7202146374017957e-09
1871,6.37270636261178e-09,0.0
1872,1.5118347462816928e-08,3.0236697590169115e-09
1873,2.21482157058972e-08,2.9930022904522957e-09
1874,1.7923827755339516e-08,0.0
1875,1.716458086775674e-08,1.1443054281912168e-09
1876,3.143927784776679e-08,2.418405919968336e-09
1877,4.638611983409646e-08,1.2369631985365004e-09
1878,1.9928991790152395e-08,5.435179861734696e-09
1879,2.7491964260661916e-08,1.221865053580018e-09
1880,5.0700986520269e-08,0.0
1881,4.6018548971460405e-08,2.7890030285249168e-09
1882,1.4641846846075168e-08,1.9966155395678697e-09
1883,1.516641390253426e-08,3.159669414998234e-09
1884,1.8484751507230612e-08,6.601696966868076e-10
1885,1.6114089618213256e-08,5.156508553483263e-09
1886,2.3877817056927597e-08,6.453463874400711e-10
1887,2.415702127223085e-08,1.9586774424595887e-09
1888,2.282621380800265e-08,3.804368819970705e-09
1889,1.6915869593958632e-08,1.8795409673089125e-09
1890,1.7696843102044113e-08,0.0
1891,2.2309770031370135e-08,1.9122659011827636e-09
1892,1.002961980134387e-08,2.5074049503359674e-09
1893,1.2932674486876294e-08,5.542574843531156e-09
1894,2.520615716150587e-08,1.2603078580752936e-09
1895,7.824199066419624e-09,6.018614495673091e-10
1896,1.8280790214930676e-08,5.89702897624278e-10
1897,1.4566784223291052e-08,2.9133566670225264e-09
1898,2.1501747937691107e-08,4.52668391659472e-09
1899,1.2160672469008205e-08,2.2110313580014918e-09
1900,1.661137005726232e-08,0.0
1901,1.620734302321125e-08,2.794369402536745e-09
1902,6.874397495693074e-09,1.4730852093691738e-09
1903,7.020286574288548e-09,0.0
1904,1.3974025492302644e-08,1.6123875568041512e-09
1905,1.3934049469810361e-08,5.160759042333041e-10
1906,1.4403716441790948e-08,1.5432553013283723e-09
1907,1.337139288182243e-08,0.0
1908,1.4243028090277221e-08,4.911389073214423e-10
1909,5.5009836685826485e-09,1.6502950117569526e-09
1910,9.619471441624228e-09,0.0
1911,1.1704822888702893e-08,5.320374141248863e-10
1912,1.82329742415277e-08,2.0837684910901544e-09
1913,1.5378670781274195e-08,5.30298971401777e-10
1914,4.68772043404897e-09,6.696743715117748e-10
1915,1.1780762143587253e-08,0.0
1916,1.3184954461564757e-08,0.0
1917,4.386569774084137e-09,3.289927441585405e-09
1918,4.594550517822427e-09,0.0
1919,1.1049418269237776e-08,2.762354567309444e-09
1920,1.4387239843927091e-08,7.572231730534895e-10
1921,6.815472630705699e-09,7.572747429129834e-10
1922,5.902348387820666e-09,0.0
1923,7.431163684401554e-09,2.1231896241147297e-09
1924,3.867487219366694e-09,0.0
1925,6.598906754362588e-09,0.0
