year,voudrions_VERB appeler_VERB,voudrions_VERB rappeler_VERB
1800,0.0,3.458580977167003e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,1.3652374342143503e-08
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,8.875339574387908e-09
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,6.736890156844311e-09,0.0
1825,0.0,8.805443485471187e-09
1826,2.642395191543301e-09,5.284790383086602e-09
1827,0.0,9.217273055917019e-10
1828,4.586150570418113e-09,5.503380862137419e-09
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,1.091384405071949e-08,0.0
1832,1.488296597074168e-08,0.0
1833,2.4325620628928846e-08,6.950177322551099e-09
1834,9.334530925997342e-10,1.120143711119681e-08
1835,3.781543966852041e-09,0.0
1836,1.008112526790228e-08,2.688300027031687e-09
1837,0.0,2.0873671680021744e-09
1838,0.0,1.2624323808552163e-09
1839,6.9914751765765e-10,7.690622361167243e-09
1840,6.369688665408546e-10,8.280594876453051e-09
1841,3.852329122366882e-09,0.0
1842,2.0124795163667386e-09,8.720745015011744e-09
1843,2.3627644285539873e-09,1.1813822142769936e-09
1844,1.3721403568922597e-08,3.841992946007622e-09
1845,1.3392547515422848e-08,0.0
1846,8.781752214304106e-09,2.9272506640865004e-09
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,8.04522137798358e-09,1.6090443422100975e-09
1849,2.513824481908955e-09,8.379414939696517e-10
1850,2.4440385715251978e-08,0.0
1851,3.8696632564949596e-09,0.0
1852,1.6927417689771573e-08,0.0
1853,1.6721408258035808e-08,1.1943863675867306e-09
1854,1.9743524148907454e-08,5.195664454227256e-10
1855,2.4411910715116392e-08,1.0613874223963649e-09
1856,1.8120163147727908e-08,6.212626857404757e-09
1857,8.78671624349181e-09,0.0
1858,1.663849857891364e-08,3.4255731584664773e-09
1859,1.2221216039165483e-08,1.323965115318515e-08
1860,1.785101666484934e-08,1.0985241161165504e-08
1861,1.131831339762357e-08,9.431927461278633e-10
1862,8.132375661773494e-09,5.421583626485926e-09
1863,1.548332484446746e-08,1.6482248454963155e-08
1864,2.0617330065419992e-08,4.315255264231155e-09
1865,2.0710114512212385e-08,8.47231973466478e-09
1866,1.6056523222118813e-08,8.271541673821048e-09
1867,3.008743121313273e-08,8.73506067478047e-09
1868,2.3711395513714706e-08,1.0373735648272486e-08
1869,2.5882650689368347e-08,2.9301114867763545e-09
1870,2.695002976338401e-08,2.8670243956696595e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,2.1770421909650395e-08,4.8378714367913744e-09
1873,2.3944018323618366e-08,5.387403856360606e-09
1874,2.5093358502203955e-08,5.974609140757536e-10
1875,2.9751941355016243e-08,3.432916173551348e-09
1876,1.874264654588842e-08,1.209202959984168e-09
1877,2.783167118991514e-08,5.566334504436554e-09
1878,1.2078177569208037e-08,0.0
1879,1.5273313280772527e-08,4.887460214320072e-09
1880,2.888030792291829e-08,4.492492600149944e-09
1881,3.2073533162702006e-08,1.3945014920579979e-08
1882,2.0631693686823382e-08,6.655385131892899e-09
1883,1.2006744043446815e-08,1.0742875922176154e-08
1884,2.772712726084592e-08,9.902545450302114e-09
1885,2.513797880965285e-08,4.511945039809007e-09
1886,2.9040586824180536e-08,0.0
1887,2.154545164501087e-08,3.9173548849191775e-09
1888,1.8387781963724592e-08,6.974675947901687e-09
1889,2.255449160770695e-08,1.8795409673089125e-09
1890,2.8839300725280737e-08,8.520702365899524e-09
1891,1.9760081571007504e-08,7.649063604731055e-09
1892,2.3193495124473884e-08,6.8953633913793055e-09
1893,1.3548516086814288e-08,9.23762488724833e-09
1894,3.276800342177921e-08,8.822155450616265e-09
1895,2.5278181325916194e-08,7.824199066419624e-09
1896,3.2433661090180976e-08,1.47425724961181e-08
1897,1.981082675683865e-08,9.322741689743452e-09
1898,1.1316709347397591e-08,1.1316709347397591e-08
1899,1.2713430308508578e-08,1.2713430308508578e-08
1900,1.661137005726232e-08,1.453494924419374e-08
1901,2.1237207548097103e-08,1.397184767881754e-08
1902,1.276673788908056e-08,4.910283735171106e-09
1903,2.592105730059302e-08,1.1880484152015924e-08
1904,2.3110889202371254e-08,1.5586412160928376e-08
1905,2.115911179600971e-08,1.3417973399043603e-08
1906,1.7490227932626112e-08,1.7490227932626112e-08
1907,1.6457098794830927e-08,9.257117739025489e-09
1908,1.5225305460830896e-08,1.3260750719723546e-08
1909,1.870334465081669e-08,2.475442606453271e-08
1910,2.7255168788542505e-08,1.6566866989364826e-08
1911,1.4365010514438836e-08,3.351835786702395e-08
1912,2.6047105805560022e-08,2.1879568379290504e-08
1913,1.8030165804816534e-08,1.0605979205990934e-08
1914,1.6072185360371805e-08,3.080502253283157e-08
1915,2.0027295377644805e-08,1.1780762143587253e-08
1916,4.1752354462687435e-08,3.625862632361532e-08
1917,2.52227767560953e-08,3.180263163926611e-08
1918,1.1486376294556067e-08,2.412139110674616e-08
1919,2.025726608678724e-08,1.6574126959767455e-08
1920,7.572231730534895e-09,2.8774479687854182e-08
1921,3.559191341651058e-08,2.9533714140939082e-08
1922,1.4018077365562931e-08,3.024953443286904e-08
1923,1.8047112249064412e-08,3.503262746562541e-08
1924,2.0626599095407983e-08,2.0626599095407983e-08
1925,2.74954441437103e-08,3.299453510408057e-08
1926,1.89484357093761e-08,4.56991671171636e-08
1927,3.0102906833917586e-08,1.7838759802657478e-08
1928,1.2568645679778001e-08,2.2852082892654835e-08
1929,1.5596569369336066e-08,3.230717737778832e-08
1930,2.2057568216382606e-08,2.6259009189288918e-08
1931,1.1405356659111021e-08,2.6232321204133768e-08
1932,3.1782654730250215e-08,2.301502632917618e-08
1933,1.1470662641954732e-08,3.555905436769535e-08
1934,2.036868629318178e-08,3.2350264689284813e-08
1935,1.6755597798123745e-08,3.351119559624749e-08
1936,2.3036957230715416e-08,2.66743711563322e-08
1937,2.5182236740306507e-08,3.1477796369472344e-08
1938,2.2040865133021725e-08,4.019216603978748e-08
1939,1.988226472349197e-08,4.7411557346777045e-08
1940,0.0,5.832300686847702e-08
1941,5.9030051957620344e-09,3.246652724442356e-08
1942,2.730790527039062e-08,3.6410540360520827e-08
1943,1.7419411690866582e-08,4.3548528338988035e-08
1944,2.2492303131116387e-08,3.534504600111177e-08
1945,8.714016175304096e-09,6.099811145077183e-08
1946,1.3921104269343232e-08,5.986074569364064e-08
1947,1.549713246618012e-08,3.9338875268413176e-08
1948,1.522064252412747e-08,4.240036233227329e-08
1949,2.0615717133409817e-08,5.792034940554913e-08
1950,1.914365022059883e-08,5.9558026066497405e-08
1951,1.8124383771578323e-08,6.076999170545605e-08
1952,1.4762725264461096e-08,5.2724018928529404e-08
1953,1.0773827163745864e-08,4.740483916521043e-08
1954,8.795282724349818e-09,7.915754451914836e-08
1955,1.8771215692936494e-09,6.945349895204345e-08
1956,1.2209598665435806e-08,7.849027383599605e-08
1957,7.951533653738352e-09,6.184526313290917e-08
1958,1.0753916868111446e-08,9.761247099504544e-08
1959,2.7902691712711203e-08,6.045583234026708e-08
1960,2.0070416439921246e-08,4.15249985508126e-08
1961,1.250668635321972e-08,6.80919640672073e-08
1962,5.7077609305622445e-09,7.420089076504155e-08
1963,9.052474325699222e-09,8.599850787049945e-08
1964,1.1559539991878864e-08,6.814044439806821e-08
1965,1.9699356812452606e-08,4.81539821350907e-08
1966,1.5509408868297214e-08,6.148373188352707e-08
1967,1.429797347185513e-08,4.48660522067712e-08
1968,1.8414805680322388e-08,5.29987076447469e-08
1969,5.904285060864822e-09,4.4509224750299836e-08
1970,7.817832603507213e-09,6.024329479714652e-08
1971,5.652237344833111e-09,5.5494691508783944e-08
1972,4.6171320100540925e-09,5.899669019981957e-08
1973,1.1026407342740185e-08,5.5683358368696645e-08
1974,7.313243344242437e-09,6.750686054601829e-08
1975,9.138368284311582e-09,5.6543655091445544e-08
