year,diverses_ADJ ondes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,1.013900075008678e-08
1828,0.0
1829,3.429270423183084e-09
1830,1.7742621594152297e-08
1831,1.7150327380477393e-08
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,0.0
1835,3.781543966852041e-09
1836,8.064899859050456e-09
1837,0.0
1838,1.0730675015224733e-08
1839,1.3982949909063791e-08
1840,1.9109065441114126e-09
1841,1.4767261191650505e-08
1842,1.0062397137744483e-08
1843,8.269675610961258e-09
1844,2.195424508855126e-09
1845,4.464182357111213e-09
1846,5.854501328173001e-10
1847,1.5640349459999925e-08
1848,6.43617736884039e-09
1849,2.011059585527164e-08
1850,6.788996032014438e-10
1851,0.0
1852,2.3437962681782665e-08
1853,3.5831591027601917e-09
1854,5.195664454227256e-10
1855,1.6451505047143655e-08
1856,2.329735160344626e-08
1857,3.514686497396724e-08
1858,5.872411001917044e-09
1859,2.3933214521321133e-08
1860,9.154367819341758e-10
1861,1.4147891747029462e-09
1862,0.0
1863,1.9978483312144135e-09
1864,2.8768367688059016e-09
1865,6.589582213223366e-09
1866,1.4596839292835284e-09
1867,4.85281148598915e-09
1868,1.7289560005906424e-08
1869,9.278686263769487e-09
1870,1.6055336615750093e-08
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,7.781805422268917e-09
1874,8.961913877669758e-09
1875,0.0
1876,0.0
1877,1.9172929910382663e-08
1878,4.831270938865373e-09
1879,1.3440515367335593e-08
1880,3.2089231272180996e-09
1881,5.5780060570498335e-09
1882,1.3310770263785798e-08
1883,1.1374810426900694e-08
1884,5.281357573494461e-09
1885,1.6758653131887513e-08
1886,5.808117542471791e-09
1887,0.0
1888,4.4384300679212174e-09
1889,3.132568426877924e-09
1890,9.176140736144589e-09
1891,8.92390783491237e-09
1892,2.005923960268774e-08
1893,6.774258043407144e-09
1894,2.520615716150587e-09
1895,1.5046536461227333e-08
1896,1.6511680911435178e-08
1897,3.4960281336537946e-09
1898,1.0750873968845553e-08
1899,9.949641111006713e-09
1900,6.748368974740515e-09
1901,6.706486921359556e-09
1902,8.347482705062248e-09
1903,1.1880484152015924e-08
1904,2.9022976022474722e-08
1905,1.3934049469810361e-08
1906,1.1317205839134203e-08
1907,2.6228502036929058e-08
1908,1.6698722404839828e-08
1909,1.320236009405562e-08
1910,2.8323999146095957e-08
1911,1.276889793899727e-08
1912,1.5628263128064646e-08
1913,9.545381374209683e-09
1914,2.276892807628883e-08
1915,1.6493066468115103e-08
1916,1.2086208478478966e-08
1917,3.070598708632133e-08
1918,2.5270027848023346e-08
